ダウンロードした時刻：2019/10/10 16:00:21

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,7.8,11.2,4.5
1984/12/2,10.3,16.1,5.5
1984/12/3,10.1,15.2,6.7
1984/12/4,9.0,14.7,4.1
1984/12/5,13.5,19.1,5.1
1984/12/6,9.9,17.4,5.5
1984/12/7,6.8,9.5,4.7
1984/12/8,6.9,11.8,1.8
1984/12/9,7.9,12.9,2.6
1984/12/10,9.8,14.4,4.6
1984/12/11,9.6,11.0,8.2
1984/12/12,14.0,18.6,10.7
1984/12/13,13.0,16.5,10.9
1984/12/14,13.8,17.7,10.2
1984/12/15,7.0,10.2,4.9
1984/12/16,5.0,7.2,1.9
1984/12/17,6.6,9.5,1.8
1984/12/18,8.5,15.6,4.7
1984/12/19,6.8,10.0,5.0
1984/12/20,6.2,8.3,4.6
1984/12/21,5.7,9.2,2.5
1984/12/22,8.5,12.8,4.8
1984/12/23,5.5,8.1,3.1
1984/12/24,5.1,10.1,1.4
1984/12/25,2.1,4.9,-0.8
1984/12/26,2.4,7.1,-1.3
1984/12/27,3.2,7.4,-0.9
1984/12/28,3.9,8.0,0.4
1984/12/29,3.5,6.6,0.5
1984/12/30,3.4,8.5,-1.3
1984/12/31,3.7,8.2,-0.7
1985/1/1,4.3,8.0,-0.3
1985/1/2,4.6,10.4,-0.3
1985/1/3,2.7,4.1,0.5
1985/1/4,3.3,7.8,1.0
1985/1/5,2.7,6.6,-1.0
1985/1/6,2.3,5.8,-1.8
1985/1/7,2.7,6.0,-1.2
1985/1/8,4.2,8.2,0.4
1985/1/9,4.1,7.4,0.6
1985/1/10,6.5,12.0,1.7
1985/1/11,7.5,10.3,4.9
1985/1/12,4.1,7.2,2.0
1985/1/13,5.3,9.5,1.1
1985/1/14,2.2,7.2,-0.6
1985/1/15,2.3,6.9,-2.4
1985/1/16,6.3,12.0,0.8
1985/1/17,2.5,6.7,-0.6
1985/1/18,2.1,5.0,-0.7
1985/1/19,3.3,6.7,-0.8
1985/1/20,6.1,12.5,1.4
1985/1/21,5.3,9.6,3.0
1985/1/22,4.8,8.6,1.0
1985/1/23,5.7,11.2,1.4
1985/1/24,3.8,5.8,2.6
1985/1/25,2.6,6.3,0.4
1985/1/26,1.5,7.3,-2.6
1985/1/27,2.4,4.8,-1.1
1985/1/28,4.9,10.5,0.4
1985/1/29,2.8,6.2,-0.4
1985/1/30,0.8,4.4,-2.0
1985/1/31,2.7,7.2,-3.3
1985/2/1,7.0,12.6,-1.3
1985/2/2,7.8,11.4,3.3
1985/2/3,6.1,9.4,2.3
1985/2/4,6.9,10.4,3.3
1985/2/5,5.4,8.0,4.3
1985/2/6,7.6,10.5,4.4
1985/2/7,9.4,13.0,6.9
1985/2/8,6.8,9.1,4.5
1985/2/9,5.0,7.9,3.3
1985/2/10,9.4,14.1,6.3
1985/2/11,7.7,13.4,3.8
1985/2/12,6.4,9.8,2.0
1985/2/13,6.8,12.7,2.0
1985/2/14,4.7,9.6,1.3
1985/2/15,4.8,9.0,0.8
1985/2/16,5.3,7.9,1.4
1985/2/17,7.4,11.9,3.3
1985/2/18,6.8,9.0,3.7
1985/2/19,3.5,7.5,2.2
1985/2/20,7.1,9.0,3.2
1985/2/21,7.9,13.4,3.0
1985/2/22,3.7,8.3,0.0
1985/2/23,4.6,8.3,0.3
1985/2/24,5.0,9.4,1.9
1985/2/25,5.4,10.2,0.7
1985/2/26,5.5,8.2,2.8
1985/2/27,5.5,7.5,3.8
1985/2/28,2.8,4.7,1.4
1985/3/1,6.6,10.0,3.8
1985/3/2,6.7,8.1,5.7
1985/3/3,8.2,14.1,4.5
1985/3/4,5.6,8.7,2.7
1985/3/5,5.2,6.7,4.0
1985/3/6,5.7,7.9,5.1
1985/3/7,6.9,9.8,4.1
1985/3/8,9.9,14.6,6.1
1985/3/9,12.3,20.0,6.2
1985/3/10,7.6,11.1,5.8
1985/3/11,1.8,6.8,0.6
1985/3/12,5.5,7.7,1.8
1985/3/13,7.3,10.6,4.2
1985/3/14,4.6,7.2,2.5
1985/3/15,5.0,7.7,3.9
1985/3/16,6.1,10.0,3.0
1985/3/17,5.3,7.8,3.6
1985/3/18,10.8,16.8,5.6
1985/3/19,6.2,10.8,3.6
1985/3/20,8.2,12.5,4.2
1985/3/21,7.1,8.4,5.1
1985/3/22,9.2,12.7,5.1
1985/3/23,5.9,7.5,4.3
1985/3/24,6.9,11.0,3.1
1985/3/25,10.5,15.3,3.8
1985/3/26,15.5,21.4,10.9
1985/3/27,6.2,10.9,3.3
1985/3/28,8.7,10.7,5.7
1985/3/29,9.6,12.4,7.5
1985/3/30,10.0,14.2,7.8
1985/3/31,6.9,12.4,4.7
