ダウンロードした時刻：2019/10/10 15:43:53

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,8.0,11.2,5.1
2004/12/2,9.1,11.7,4.8
2004/12/3,7.5,13.9,1.6
2004/12/4,11.4,16.9,5.9
2004/12/5,13.0,17.7,7.6
2004/12/6,8.1,11.1,5.8
2004/12/7,8.3,12.6,3.6
2004/12/8,9.4,11.3,5.8
2004/12/9,9.0,12.0,5.7
2004/12/10,11.5,17.4,4.6
2004/12/11,9.4,13.6,6.6
2004/12/12,8.0,12.5,2.7
2004/12/13,9.7,12.6,6.9
2004/12/14,7.2,11.5,3.1
2004/12/15,9.4,14.8,5.4
2004/12/16,7.4,11.6,5.1
2004/12/17,5.8,8.4,3.4
2004/12/18,6.3,11.4,2.3
2004/12/19,8.2,8.9,7.1
2004/12/20,10.1,15.2,6.5
2004/12/21,5.2,7.0,2.8
2004/12/22,3.3,4.5,2.5
2004/12/23,4.1,6.7,0.6
2004/12/24,2.9,4.7,1.6
2004/12/25,4.8,8.5,2.1
2004/12/26,3.0,5.7,1.0
2004/12/27,3.1,5.0,1.1
2004/12/28,2.2,5.2,0.5
2004/12/29,2.0,4.0,0.1
2004/12/30,2.3,4.3,0.3
2004/12/31,0.7,2.5,0.0
2005/1/1,2.3,4.0,-0.1
2005/1/2,2.0,3.8,-0.3
2005/1/3,4.7,10.5,1.1
2005/1/4,5.5,10.3,1.3
2005/1/5,2.1,3.7,0.1
2005/1/6,3.1,5.7,-0.1
2005/1/7,4.9,8.7,2.6
2005/1/8,1.9,4.6,-0.3
2005/1/9,1.2,4.7,-0.9
2005/1/10,1.3,2.9,-0.6
2005/1/11,2.2,3.7,0.2
2005/1/12,0.3,2.3,-1.8
2005/1/13,3.5,5.2,1.4
2005/1/14,2.4,4.5,0.8
2005/1/15,4.2,6.9,0.2
2005/1/16,2.7,4.1,1.4
2005/1/17,4.5,6.4,1.7
2005/1/18,5.3,8.6,2.9
2005/1/19,5.1,9.5,0.9
2005/1/20,4.7,7.6,1.8
2005/1/21,3.5,5.7,0.9
2005/1/22,1.9,4.5,-0.6
2005/1/23,1.9,6.0,-0.6
2005/1/24,3.0,8.0,-2.1
2005/1/25,4.4,6.4,2.6
2005/1/26,2.7,3.8,0.7
2005/1/27,3.9,7.9,0.8
2005/1/28,3.3,6.7,0.7
2005/1/29,5.7,11.7,-0.6
2005/1/30,1.1,4.5,-0.5
2005/1/31,-0.2,1.8,-1.6
2005/2/1,-0.6,1.4,-2.0
2005/2/2,1.5,4.5,-1.2
2005/2/3,1.7,4.4,0.2
2005/2/4,2.4,3.5,1.1
2005/2/5,1.7,3.5,-0.3
2005/2/6,2.3,4.0,-0.4
2005/2/7,3.3,6.2,1.0
2005/2/8,1.4,5.0,-1.2
2005/2/9,2.3,6.6,-3.1
2005/2/10,2.3,5.2,-0.8
2005/2/11,0.3,2.8,-1.2
2005/2/12,0.7,4.3,-1.1
2005/2/13,0.5,3.5,-1.3
2005/2/14,1.7,5.0,-0.3
2005/2/15,2.5,6.7,-0.6
2005/2/16,3.1,4.1,1.7
2005/2/17,5.1,7.0,2.4
2005/2/18,4.0,5.4,1.8
2005/2/19,5.1,7.4,2.8
2005/2/20,3.0,6.7,-0.4
2005/2/21,0.4,1.4,-1.1
2005/2/22,0.9,2.9,-0.2
2005/2/23,3.1,8.2,-0.2
2005/2/24,1.2,2.3,0.1
2005/2/25,1.9,4.5,-0.6
2005/2/26,0.3,3.2,-1.6
2005/2/27,0.6,3.6,-1.8
2005/2/28,0.6,3.0,-2.4
2005/3/1,0.6,2.7,-1.1
2005/3/2,-0.1,1.9,-1.9
2005/3/3,1.1,3.4,-2.1
2005/3/4,1.2,2.5,0.2
2005/3/5,1.6,4.6,-0.6
2005/3/6,0.9,5.4,-3.6
2005/3/7,5.8,10.2,1.1
2005/3/8,5.6,11.2,2.4
2005/3/9,3.2,6.4,1.3
2005/3/10,7.2,14.5,0.9
2005/3/11,9.3,13.6,5.8
2005/3/12,3.2,7.6,-0.2
2005/3/13,0.7,3.7,-1.6
2005/3/14,1.3,5.1,-0.6
2005/3/15,4.6,8.9,0.6
2005/3/16,6.9,10.7,3.0
2005/3/17,9.1,13.2,3.8
2005/3/18,7.2,10.3,3.9
2005/3/19,5.4,9.3,2.0
2005/3/20,5.9,11.1,0.3
2005/3/21,7.7,11.2,4.4
2005/3/22,8.9,14.4,3.8
2005/3/23,7.7,10.0,5.2
2005/3/24,6.7,11.9,3.6
2005/3/25,3.0,5.8,0.2
2005/3/26,4.2,7.0,1.3
2005/3/27,8.7,13.6,3.3
2005/3/28,8.7,13.1,5.6
2005/3/29,6.9,10.1,3.2
2005/3/30,6.0,10.1,3.0
2005/3/31,6.6,12.1,3.3
