ダウンロードした時刻：2019/10/10 15:51:46

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,4.5,12.9,-1.2
1988/12/2,5.0,13.5,-1.3
1988/12/3,4.8,11.3,-1.3
1988/12/4,7.9,13.8,0.8
1988/12/5,9.0,15.7,4.2
1988/12/6,4.5,11.5,-1.2
1988/12/7,6.3,14.7,-0.2
1988/12/8,7.0,15.9,0.0
1988/12/9,7.2,11.2,2.1
1988/12/10,6.0,11.1,0.9
1988/12/11,4.9,12.6,-1.8
1988/12/12,6.3,14.2,-2.0
1988/12/13,8.2,11.1,4.3
1988/12/14,7.4,14.6,1.7
1988/12/15,5.7,13.0,0.2
1988/12/16,4.6,9.4,1.5
1988/12/17,2.1,7.8,-3.2
1988/12/18,2.5,11.6,-5.6
1988/12/19,4.5,11.9,-2.1
1988/12/20,5.7,14.3,-0.8
1988/12/21,4.5,10.8,-0.3
1988/12/22,3.4,9.6,-3.7
1988/12/23,2.2,9.4,-4.3
1988/12/24,4.5,11.8,-1.2
1988/12/25,3.9,9.7,-2.2
1988/12/26,1.7,9.7,-5.0
1988/12/27,2.1,9.7,-4.4
1988/12/28,2.4,8.5,-3.8
1988/12/29,1.9,8.5,-4.3
1988/12/30,2.3,10.4,-4.7
1988/12/31,2.5,10.9,-4.8
1989/1/1,5.0,9.9,1.5
1989/1/2,4.4,13.3,-2.2
1989/1/3,6.5,13.7,-0.4
1989/1/4,3.4,9.3,-2.3
1989/1/5,1.4,9.0,-5.5
1989/1/6,2.4,11.3,-5.9
1989/1/7,4.8,10.1,-0.4
1989/1/8,6.4,8.7,4.4
1989/1/9,8.2,10.3,5.2
1989/1/10,8.1,9.5,6.4
1989/1/11,7.9,13.1,3.3
1989/1/12,7.1,8.8,5.7
1989/1/13,5.9,8.7,4.2
1989/1/14,4.0,6.7,1.7
1989/1/15,2.2,5.2,-0.5
1989/1/16,2.7,7.8,-1.2
1989/1/17,3.4,9.9,-3.2
1989/1/18,6.2,11.4,1.1
1989/1/19,8.4,12.5,5.1
1989/1/20,11.9,16.4,7.9
1989/1/21,8.4,13.4,3.5
1989/1/22,4.9,9.8,-0.4
1989/1/23,5.4,9.1,1.7
1989/1/24,6.2,12.6,1.7
1989/1/25,3.1,9.2,-1.9
1989/1/26,4.1,7.4,-1.0
1989/1/27,6.5,15.4,1.0
1989/1/28,1.3,5.5,-2.1
1989/1/29,2.4,9.2,-3.5
1989/1/30,3.7,12.5,-3.5
1989/1/31,6.5,14.6,-2.3
1989/2/1,4.2,7.8,0.9
1989/2/2,3.3,8.3,-0.5
1989/2/3,1.8,7.8,-4.1
1989/2/4,1.5,8.0,-5.3
1989/2/5,3.0,10.4,-4.4
1989/2/6,4.0,12.1,-1.9
1989/2/7,4.6,12.1,-2.1
1989/2/8,5.8,11.2,-1.8
1989/2/9,7.7,9.7,5.3
1989/2/10,3.9,5.6,2.9
1989/2/11,3.6,8.5,-0.2
1989/2/12,3.9,11.2,-0.8
1989/2/13,3.8,9.0,0.4
1989/2/14,3.5,11.2,-3.4
1989/2/15,5.6,12.6,-3.0
1989/2/16,9.8,15.4,1.9
1989/2/17,7.5,14.2,5.1
1989/2/18,3.8,5.3,2.1
1989/2/19,4.6,10.8,-0.4
1989/2/20,5.9,11.0,-0.7
1989/2/21,6.8,12.1,3.6
1989/2/22,4.5,9.2,0.6
1989/2/23,2.5,6.7,-1.6
1989/2/24,2.5,4.4,0.3
1989/2/25,3.8,5.5,3.2
1989/2/26,5.1,11.5,1.4
1989/2/27,4.3,9.8,-2.2
1989/2/28,8.5,13.7,2.5
1989/3/1,10.7,16.5,3.6
1989/3/2,4.7,9.0,-0.7
1989/3/3,6.5,10.9,-0.3
1989/3/4,14.2,20.4,7.0
1989/3/5,5.7,10.6,4.0
1989/3/6,5.6,9.9,2.9
1989/3/7,4.1,5.9,3.1
1989/3/8,3.0,6.4,0.4
1989/3/9,2.5,7.8,-2.6
1989/3/10,4.8,11.3,-2.1
1989/3/11,6.8,14.4,-0.6
1989/3/12,7.2,14.2,-0.1
1989/3/13,10.1,17.0,3.2
1989/3/14,11.5,18.7,6.5
1989/3/15,8.9,15.3,2.9
1989/3/16,7.7,14.3,3.3
1989/3/17,5.5,11.5,1.3
1989/3/18,6.4,11.8,-0.3
1989/3/19,6.4,13.4,1.4
1989/3/20,7.3,14.3,-0.9
1989/3/21,6.9,10.6,3.1
1989/3/22,5.8,8.0,3.7
1989/3/23,6.5,10.8,2.2
1989/3/24,7.2,9.7,4.5
1989/3/25,10.7,17.5,5.3
1989/3/26,7.5,13.9,-0.1
1989/3/27,7.7,11.5,4.6
1989/3/28,5.3,6.5,4.2
1989/3/29,7.2,14.0,0.3
1989/3/30,7.2,13.0,0.0
1989/3/31,9.6,16.4,2.2
