ダウンロードした時刻：2019/10/10 16:11:15

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/12/1,12.2,15.7,9.2
2007/12/2,11.3,14.5,8.4
2007/12/3,11.1,14.6,9.4
2007/12/4,9.0,11.9,6.2
2007/12/5,7.7,11.2,5.0
2007/12/6,9.2,12.1,5.4
2007/12/7,11.4,14.1,8.1
2007/12/8,10.1,14.0,7.0
2007/12/9,9.1,12.4,6.4
2007/12/10,9.5,13.7,4.7
2007/12/11,10.2,11.9,8.5
2007/12/12,11.8,14.3,9.8
2007/12/13,11.8,14.7,8.7
2007/12/14,9.2,11.9,7.0
2007/12/15,8.2,11.4,5.1
2007/12/16,7.1,10.8,4.7
2007/12/17,8.5,10.7,5.3
2007/12/18,9.2,13.2,6.9
2007/12/19,8.5,12.0,6.6
2007/12/20,9.5,12.6,6.6
2007/12/21,10.2,12.4,6.6
2007/12/22,9.3,11.3,8.1
2007/12/23,12.0,15.0,9.7
2007/12/24,9.7,11.8,7.8
2007/12/25,9.6,11.9,7.2
2007/12/26,10.5,13.6,7.6
2007/12/27,10.1,14.3,5.6
2007/12/28,10.8,13.5,9.1
2007/12/29,12.3,14.8,8.5
2007/12/30,6.2,9.9,2.7
2007/12/31,4.2,6.9,2.2
2008/1/1,4.0,7.2,1.7
2008/1/2,5.2,8.8,1.6
2008/1/3,6.6,10.5,3.3
2008/1/4,7.3,11.8,4.6
2008/1/5,7.4,11.8,3.6
2008/1/6,7.8,12.4,3.9
2008/1/7,7.6,8.7,5.5
2008/1/8,9.9,13.6,5.8
2008/1/9,10.1,13.6,6.8
2008/1/10,9.1,12.4,5.5
2008/1/11,10.0,13.6,6.4
2008/1/12,9.8,12.2,5.9
2008/1/13,4.7,6.8,3.1
2008/1/14,4.2,7.6,2.7
2008/1/15,5.1,7.9,1.7
2008/1/16,7.2,11.7,4.9
2008/1/17,3.8,6.4,2.1
2008/1/18,4.5,8.0,1.6
2008/1/19,5.2,8.4,2.5
2008/1/20,4.4,6.3,3.2
2008/1/21,5.3,7.5,3.5
2008/1/22,5.0,6.9,2.7
2008/1/23,6.5,8.0,4.7
2008/1/24,4.2,7.7,0.8
2008/1/25,2.6,5.7,0.6
2008/1/26,3.5,6.7,1.3
2008/1/27,3.5,6.6,1.5
2008/1/28,3.1,6.1,1.1
2008/1/29,5.3,7.0,3.4
2008/1/30,7.2,9.4,5.3
2008/1/31,5.1,8.9,3.1
2008/2/1,4.4,7.8,2.2
2008/2/2,4.1,6.8,2.4
2008/2/3,4.7,6.6,3.0
2008/2/4,5.6,8.5,3.5
2008/2/5,5.7,8.5,3.1
2008/2/6,5.2,8.6,2.7
2008/2/7,4.6,8.5,1.7
2008/2/8,4.3,8.2,2.0
2008/2/9,2.4,3.9,0.9
2008/2/10,5.5,10.3,1.7
2008/2/11,7.0,11.7,2.9
2008/2/12,5.6,8.7,1.8
2008/2/13,1.7,5.6,-0.3
2008/2/14,3.8,7.9,0.4
2008/2/15,4.7,9.1,1.6
2008/2/16,3.7,7.3,1.3
2008/2/17,2.3,5.4,0.1
2008/2/18,3.7,7.6,0.1
2008/2/19,5.8,9.4,2.4
2008/2/20,7.4,11.1,3.9
2008/2/21,7.1,9.9,3.3
2008/2/22,8.8,12.9,4.8
2008/2/23,6.6,12.1,-0.6
2008/2/24,1.3,5.3,-1.2
2008/2/25,3.3,6.9,-0.5
2008/2/26,6.2,10.1,4.2
2008/2/27,4.3,7.7,2.0
2008/2/28,5.3,9.3,1.6
2008/2/29,7.6,12.5,2.5
2008/3/1,8.4,11.6,6.4
2008/3/2,7.9,12.0,4.2
2008/3/3,7.4,11.1,5.1
2008/3/4,6.6,10.4,4.1
2008/3/5,5.0,8.6,2.9
2008/3/6,6.3,9.6,2.3
2008/3/7,7.1,11.6,4.2
2008/3/8,7.1,10.8,3.3
2008/3/9,10.0,14.8,4.3
2008/3/10,11.8,14.8,9.6
2008/3/11,11.4,16.6,6.9
2008/3/12,13.4,18.8,8.0
2008/3/13,13.8,17.3,10.7
2008/3/14,13.8,16.5,10.2
2008/3/15,11.4,14.5,7.8
2008/3/16,12.1,17.8,7.6
2008/3/17,12.4,15.6,8.5
2008/3/18,13.4,18.6,7.6
2008/3/19,13.4,14.4,11.7
2008/3/20,11.1,12.2,10.3
2008/3/21,12.0,16.4,9.7
2008/3/22,12.3,17.6,7.4
2008/3/23,14.2,17.6,10.6
2008/3/24,13.6,16.6,11.1
2008/3/25,12.9,17.0,8.7
2008/3/26,11.8,15.8,8.1
2008/3/27,10.4,13.2,6.5
2008/3/28,11.2,15.3,8.0
2008/3/29,9.6,12.2,6.5
2008/3/30,8.6,9.6,8.0
2008/3/31,9.1,13.2,7.1
