ダウンロードした時刻：2019/10/10 16:26:06

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,10.4,17.1,4.9
2006/12/2,10.1,16.7,5.0
2006/12/3,7.2,12.8,1.8
2006/12/4,6.8,12.4,1.6
2006/12/5,8.2,16.6,2.0
2006/12/6,10.5,15.7,6.1
2006/12/7,13.1,15.7,10.0
2006/12/8,16.1,20.1,13.2
2006/12/9,15.5,20.0,12.4
2006/12/10,11.9,16.3,7.7
2006/12/11,10.6,15.7,4.4
2006/12/12,13.3,16.8,9.7
2006/12/13,16.6,22.3,12.4
2006/12/14,14.0,17.6,11.9
2006/12/15,12.4,17.3,9.9
2006/12/16,10.7,13.8,7.4
2006/12/17,8.3,12.2,3.8
2006/12/18,7.6,14.1,1.9
2006/12/19,9.1,14.5,2.7
2006/12/20,11.4,15.4,6.6
2006/12/21,11.5,12.6,9.8
2006/12/22,10.0,16.0,5.2
2006/12/23,8.2,16.6,2.1
2006/12/24,8.3,15.3,2.8
2006/12/25,10.2,14.7,4.2
2006/12/26,12.7,15.2,9.4
2006/12/27,13.0,18.7,8.6
2006/12/28,8.6,11.8,4.7
2006/12/29,4.6,9.1,0.6
2006/12/30,4.1,11.2,-2.3
2006/12/31,6.1,13.3,0.8
2007/1/1,7.8,12.8,2.1
2007/1/2,12.1,16.1,8.7
2007/1/3,11.9,14.0,10.0
2007/1/4,9.5,11.6,7.6
2007/1/5,10.2,14.3,7.3
2007/1/6,9.6,14.6,3.4
2007/1/7,6.3,10.6,2.7
2007/1/8,6.9,11.6,1.8
2007/1/9,4.7,10.4,-0.2
2007/1/10,6.9,13.3,1.5
2007/1/11,6.3,12.5,0.5
2007/1/12,6.8,12.7,1.7
2007/1/13,8.1,12.4,4.6
2007/1/14,5.3,12.0,0.0
2007/1/15,7.1,14.1,0.9
2007/1/16,11.9,17.7,5.9
2007/1/17,13.6,18.3,9.2
2007/1/18,9.6,14.3,5.3
2007/1/19,7.0,12.5,1.1
2007/1/20,10.3,15.8,6.6
2007/1/21,8.6,10.3,6.9
2007/1/22,9.2,16.0,3.0
2007/1/23,7.5,11.0,3.4
2007/1/24,8.9,14.4,4.9
2007/1/25,7.5,13.8,2.7
2007/1/26,9.0,16.1,3.1
2007/1/27,9.0,13.5,5.6
2007/1/28,7.2,12.7,3.1
2007/1/29,6.5,12.4,1.4
2007/1/30,7.9,15.0,0.5
2007/1/31,8.3,13.3,3.7
2007/2/1,5.1,10.3,0.1
2007/2/2,3.4,9.5,-0.6
2007/2/3,6.0,13.2,-1.4
2007/2/4,9.8,15.6,2.8
2007/2/5,10.7,17.6,5.8
2007/2/6,13.0,21.1,6.0
2007/2/7,12.7,19.3,5.5
2007/2/8,14.2,20.6,7.5
2007/2/9,16.6,20.7,13.4
2007/2/10,11.6,15.6,8.7
2007/2/11,9.8,15.8,4.8
2007/2/12,9.8,17.7,4.2
2007/2/13,11.0,17.4,5.1
2007/2/14,13.3,19.3,7.6
2007/2/15,9.3,16.4,4.8
2007/2/16,7.5,12.0,2.1
2007/2/17,10.1,11.8,8.3
2007/2/18,13.9,18.4,10.4
2007/2/19,11.1,15.6,6.4
2007/2/20,10.7,16.4,5.5
2007/2/21,10.6,17.1,5.0
2007/2/22,10.8,18.1,4.4
2007/2/23,13.6,20.2,8.3
2007/2/24,8.6,13.0,3.7
2007/2/25,7.4,9.8,5.2
2007/2/26,11.1,14.7,6.4
2007/2/27,14.0,18.2,10.8
2007/2/28,11.0,15.1,5.4
2007/3/1,9.2,16.1,2.1
2007/3/2,13.0,19.7,6.7
2007/3/3,14.6,20.9,8.8
2007/3/4,15.9,22.0,8.6
2007/3/5,13.5,19.4,7.7
2007/3/6,8.1,13.5,3.9
2007/3/7,6.5,12.1,3.0
2007/3/8,7.6,12.8,1.8
2007/3/9,9.6,14.5,5.3
2007/3/10,9.7,13.8,4.9
2007/3/11,9.8,14.3,5.4
2007/3/12,8.6,15.0,3.9
2007/3/13,10.1,17.0,5.7
2007/3/14,9.5,14.9,2.7
2007/3/15,9.7,11.7,7.2
2007/3/16,9.6,11.1,8.0
2007/3/17,10.1,15.0,6.6
2007/3/18,8.6,12.8,4.8
2007/3/19,7.0,11.1,4.2
2007/3/20,8.7,13.4,5.3
2007/3/21,10.0,16.1,3.2
2007/3/22,12.9,19.0,8.6
2007/3/23,14.4,20.2,7.4
2007/3/24,15.9,19.9,12.0
2007/3/25,18.4,24.2,12.5
2007/3/26,16.2,24.9,9.6
2007/3/27,12.2,13.7,9.4
2007/3/28,15.6,23.5,7.2
2007/3/29,19.4,25.2,13.5
2007/3/30,19.7,24.3,15.5
2007/3/31,19.8,26.6,12.7
