ダウンロードした時刻：2019/10/10 15:46:12

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,-0.5,2.3,-2.6
1996/12/2,-0.9,2.3,-3.0
1996/12/3,-0.8,3.5,-3.4
1996/12/4,0.4,5.6,-5.1
1996/12/5,8.1,12.4,1.6
1996/12/6,2.2,7.0,-1.7
1996/12/7,0.6,7.9,-3.7
1996/12/8,1.1,6.4,-3.1
1996/12/9,2.7,8.2,-1.8
1996/12/10,3.3,8.9,-1.3
1996/12/11,6.2,11.4,2.6
1996/12/12,4.3,10.0,-0.6
1996/12/13,4.0,7.3,1.5
1996/12/14,4.9,11.3,-0.7
1996/12/15,5.8,10.0,1.5
1996/12/16,5.2,11.6,-0.7
1996/12/17,8.5,14.6,1.6
1996/12/18,5.3,9.6,1.4
1996/12/19,2.4,7.7,-0.2
1996/12/20,0.5,4.9,-2.6
1996/12/21,1.2,7.4,-2.9
1996/12/22,3.9,10.9,-3.0
1996/12/23,1.5,4.8,-1.6
1996/12/24,0.0,7.1,-5.0
1996/12/25,1.9,8.9,-4.1
1996/12/26,1.5,4.7,-1.4
1996/12/27,0.8,6.2,-3.2
1996/12/28,0.1,3.7,-3.7
1996/12/29,1.6,7.0,-3.0
1996/12/30,1.8,9.2,-3.9
1996/12/31,2.8,8.5,-0.5
1997/1/1,5.0,12.5,-2.0
1997/1/2,5.1,12.2,0.3
1997/1/3,-0.2,1.2,-2.0
1997/1/4,-0.9,2.4,-3.7
1997/1/5,0.4,3.9,-3.3
1997/1/6,1.8,4.2,-0.9
1997/1/7,0.5,2.1,-0.6
1997/1/8,-0.4,1.9,-1.8
1997/1/9,-2.0,2.9,-5.6
1997/1/10,-3.2,2.0,-8.0
1997/1/11,-2.7,2.5,-7.6
1997/1/12,-1.4,4.0,-5.8
1997/1/13,-0.1,5.0,-4.3
1997/1/14,1.4,8.2,-5.0
1997/1/15,-0.6,1.7,-2.4
1997/1/16,-0.8,4.9,-5.4
1997/1/17,1.1,6.4,-3.0
1997/1/18,0.2,4.4,-3.1
1997/1/19,0.0,2.5,-3.1
1997/1/20,-0.1,6.1,-5.4
1997/1/21,-2.2,0.7,-7.1
1997/1/22,-5.6,-2.9,-9.0
1997/1/23,-2.8,2.1,-8.8
1997/1/24,-0.1,2.4,-2.1
1997/1/25,-2.6,-0.8,-5.4
1997/1/26,-2.7,0.8,-6.3
1997/1/27,-0.1,4.1,-5.6
1997/1/28,1.5,6.4,-0.8
1997/1/29,-0.7,2.1,-2.9
1997/1/30,-3.0,-1.1,-4.6
1997/1/31,-2.7,1.7,-7.0
1997/2/1,-2.3,1.7,-5.4
1997/2/2,-2.0,2.3,-7.4
1997/2/3,0.5,3.6,-2.7
1997/2/4,-1.7,1.5,-3.6
1997/2/5,-0.7,3.7,-3.6
1997/2/6,-0.5,4.5,-5.5
1997/2/7,0.3,3.3,-1.9
1997/2/8,0.0,5.8,-4.3
1997/2/9,0.8,6.8,-4.1
1997/2/10,1.0,6.7,-3.0
1997/2/11,0.5,7.6,-2.5
1997/2/12,-1.7,1.1,-5.3
1997/2/13,-3.1,1.6,-7.1
1997/2/14,-2.8,2.8,-8.0
1997/2/15,-0.5,5.4,-7.0
1997/2/16,2.6,6.2,0.3
1997/2/17,0.2,4.4,-3.5
1997/2/18,-1.6,2.4,-4.8
1997/2/19,-2.6,1.2,-5.7
1997/2/20,-0.5,8.1,-8.0
1997/2/21,-1.9,3.1,-6.6
1997/2/22,-5.6,-3.1,-7.2
1997/2/23,-3.3,2.7,-10.2
1997/2/24,-0.9,6.3,-6.9
1997/2/25,2.7,10.4,-4.9
1997/2/26,4.0,7.7,0.2
1997/2/27,2.0,7.4,-1.7
1997/2/28,6.4,16.7,-3.1
1997/3/1,4.2,9.9,-1.1
1997/3/2,2.1,10.8,-3.1
1997/3/3,-0.7,3.4,-3.7
1997/3/4,1.1,9.6,-5.9
1997/3/5,3.5,10.9,-2.7
1997/3/6,8.5,17.9,-1.1
1997/3/7,9.9,20.2,2.6
1997/3/8,4.7,12.0,-0.4
1997/3/9,2.2,6.0,-0.4
1997/3/10,4.8,11.3,-2.5
1997/3/11,5.0,9.4,0.9
1997/3/12,2.6,7.6,-1.2
1997/3/13,5.1,15.3,-3.7
1997/3/14,8.4,16.8,1.7
1997/3/15,6.9,8.7,4.8
1997/3/16,5.0,7.3,2.5
1997/3/17,2.5,7.6,-1.4
1997/3/18,2.4,11.2,-3.9
1997/3/19,3.5,11.2,-2.2
1997/3/20,3.3,9.8,-2.2
1997/3/21,7.4,16.7,-1.6
1997/3/22,5.6,11.2,3.3
1997/3/23,5.1,10.4,1.8
1997/3/24,0.3,3.3,-2.5
1997/3/25,3.8,14.0,-5.1
1997/3/26,7.8,15.6,0.2
1997/3/27,5.5,9.1,1.6
1997/3/28,6.1,15.2,-2.1
1997/3/29,9.2,16.0,2.3
1997/3/30,7.3,15.8,1.2
1997/3/31,4.4,11.2,-0.4
