ダウンロードした時刻：2019/10/10 15:34:30

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,5.0,8.0,1.1
1993/12/2,4.9,9.3,-0.5
1993/12/3,2.4,7.2,-0.7
1993/12/4,-1.0,1.3,-2.5
1993/12/5,-2.3,-1.1,-3.3
1993/12/6,-0.8,2.1,-3.0
1993/12/7,-0.2,1.2,-2.4
1993/12/8,1.6,6.5,-3.7
1993/12/9,0.3,2.5,-2.1
1993/12/10,1.7,4.6,-1.4
1993/12/11,3.7,4.7,2.6
1993/12/12,2.0,5.1,-0.4
1993/12/13,3.7,6.5,0.5
1993/12/14,-3.2,1.3,-6.5
1993/12/15,-7.2,-5.0,-9.9
1993/12/16,-3.8,-0.1,-9.7
1993/12/17,-2.0,3.3,-6.8
1993/12/18,-5.6,-4.2,-6.8
1993/12/19,-3.2,0.1,-5.9
1993/12/20,-0.2,4.8,-8.1
1993/12/21,4.2,7.0,-0.3
1993/12/22,-5.7,-0.1,-7.4
1993/12/23,-4.7,-2.2,-7.1
1993/12/24,-0.7,1.2,-2.5
1993/12/25,0.4,4.8,-4.7
1993/12/26,4.1,8.4,-1.2
1993/12/27,5.0,7.4,2.3
1993/12/28,1.3,3.0,0.1
1993/12/29,1.1,3.2,-0.1
1993/12/30,2.3,5.8,-2.5
1993/12/31,1.2,5.1,-2.6
1994/1/1,-2.9,-0.5,-4.6
1994/1/2,-0.2,2.4,-3.6
1994/1/3,1.3,3.5,-0.4
1994/1/4,-2.3,0.0,-5.1
1994/1/5,-8.3,-4.6,-9.8
1994/1/6,-4.8,-1.4,-10.0
1994/1/7,-6.2,-2.0,-9.8
1994/1/8,-3.3,0.6,-8.5
1994/1/9,0.2,2.6,-3.3
1994/1/10,-1.9,2.6,-6.2
1994/1/11,-3.1,0.3,-8.3
1994/1/12,-4.0,0.5,-9.1
1994/1/13,-5.3,-1.5,-9.1
1994/1/14,-3.7,-0.4,-8.3
1994/1/15,-5.2,-0.9,-9.7
1994/1/16,0.0,4.8,-5.7
1994/1/17,0.6,3.0,-2.7
1994/1/18,-5.8,-2.4,-8.8
1994/1/19,-8.3,-5.2,-9.0
1994/1/20,-5.8,-2.0,-8.4
1994/1/21,-4.8,-0.9,-8.1
1994/1/22,-3.3,0.1,-6.2
1994/1/23,-3.8,-0.7,-7.2
1994/1/24,-6.7,-5.1,-9.0
1994/1/25,-3.3,-0.5,-7.0
1994/1/26,-2.8,-0.1,-6.1
1994/1/27,-5.5,-2.7,-8.8
1994/1/28,-7.7,-5.2,-9.8
1994/1/29,-5.8,-3.0,-9.9
1994/1/30,-5.9,-1.3,-12.3
1994/1/31,-4.4,-0.6,-9.1
1994/2/1,-0.6,2.9,-6.1
1994/2/2,-3.6,-0.5,-6.7
1994/2/3,-5.1,-3.0,-8.9
1994/2/4,-6.2,-3.1,-9.4
1994/2/5,0.9,3.5,-5.1
1994/2/6,0.7,3.6,-3.0
1994/2/7,0.7,5.4,-3.5
1994/2/8,-1.4,1.4,-3.8
1994/2/9,0.5,1.8,-1.1
1994/2/10,-1.5,0.8,-3.3
1994/2/11,-4.1,-1.2,-6.4
1994/2/12,-4.6,-2.0,-7.3
1994/2/13,-4.2,0.1,-8.1
1994/2/14,-3.5,-0.4,-5.2
1994/2/15,-0.8,1.1,-3.6
1994/2/16,0.1,2.8,-1.4
1994/2/17,-0.3,3.8,-6.3
1994/2/18,2.5,5.3,-0.8
1994/2/19,1.2,4.9,-2.5
1994/2/20,3.5,9.2,-2.9
1994/2/21,6.5,8.5,2.5
1994/2/22,-0.2,5.8,-3.8
1994/2/23,-2.9,-0.1,-4.7
1994/2/24,2.4,5.0,-0.6
1994/2/25,1.7,4.4,-0.2
1994/2/26,1.5,4.2,-1.3
1994/2/27,1.7,4.3,0.0
1994/2/28,1.1,3.9,-1.2
1994/3/1,0.9,2.6,-0.1
1994/3/2,-0.1,1.9,-2.9
1994/3/3,-1.8,2.1,-7.1
1994/3/4,-3.8,-0.3,-7.7
1994/3/5,-3.5,0.2,-8.1
1994/3/6,-3.6,1.2,-9.3
1994/3/7,-0.9,2.8,-7.5
1994/3/8,2.4,4.3,1.3
1994/3/9,3.3,6.4,-1.2
1994/3/10,-2.7,1.4,-4.9
1994/3/11,-2.6,0.2,-4.7
1994/3/12,-2.4,0.7,-5.3
1994/3/13,-2.5,2.4,-6.9
1994/3/14,-2.7,1.2,-6.7
1994/3/15,-1.2,2.1,-5.4
1994/3/16,1.8,5.4,-1.0
1994/3/17,0.5,3.7,-2.8
1994/3/18,0.3,4.3,-4.4
1994/3/19,1.7,5.7,-3.6
1994/3/20,2.7,6.2,-0.5
1994/3/21,0.7,4.9,-1.9
1994/3/22,1.3,5.5,-2.1
1994/3/23,3.1,6.1,0.4
1994/3/24,3.9,7.2,1.8
1994/3/25,2.5,6.4,0.1
1994/3/26,0.9,4.3,-1.4
1994/3/27,2.0,5.4,-3.0
1994/3/28,6.5,10.8,1.5
1994/3/29,2.5,6.2,-0.6
1994/3/30,1.6,5.4,-3.4
1994/3/31,3.3,8.7,0.0
