ダウンロードした時刻：2017/07/24 15:42:54

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,13.1,16.3,9.9
2002/1/2,9.0,12.7,3.3
2002/1/3,5.7,8.5,2.0
2002/1/4,10.4,13.8,7.3
2002/1/5,11.1,14.6,7.8
2002/1/6,7.9,10.3,5.8
2002/1/7,11.0,15.6,5.0
2002/1/8,12.9,17.3,5.6
2002/1/9,8.9,10.7,6.4
2002/1/10,12.5,15.3,9.3
2002/1/11,14.3,18.0,10.3
2002/1/12,13.8,17.0,11.7
2002/1/13,14.1,17.0,12.0
2002/1/14,13.8,17.3,8.3
2002/1/15,16.9,18.7,13.8
2002/1/16,17.7,18.9,16.2
2002/1/17,13.3,17.2,11.0
2002/1/18,9.6,11.4,8.3
2002/1/19,11.1,12.3,9.7
2002/1/20,13.2,15.7,10.1
2002/1/21,16.3,17.6,14.5
2002/1/22,12.3,15.5,8.9
2002/1/23,9.7,12.3,7.8
2002/1/24,8.3,10.2,7.0
2002/1/25,9.2,13.3,6.4
2002/1/26,10.6,15.3,4.5
2002/1/27,13.8,18.1,9.6
2002/1/28,10.7,12.9,8.7
2002/1/29,8.1,10.5,6.5
2002/1/30,8.6,11.9,6.7
2002/1/31,8.4,10.4,7.5
2002/2/1,8.8,12.3,5.7
2002/2/2,10.2,14.8,4.8
2002/2/3,13.2,14.4,10.3
2002/2/4,12.8,15.6,11.4
2002/2/5,12.5,14.5,10.4
2002/2/6,13.2,17.1,10.3
2002/2/7,12.4,16.5,8.6
2002/2/8,12.5,15.5,8.6
2002/2/9,12.7,16.3,8.8
2002/2/10,7.8,10.9,5.4
2002/2/11,7.8,10.4,5.7
2002/2/12,7.8,11.3,4.2
2002/2/13,9.0,11.7,7.2
2002/2/14,8.0,10.7,6.2
2002/2/15,8.3,11.2,6.2
2002/2/16,8.9,12.7,5.8
2002/2/17,13.5,16.7,6.2
2002/2/18,11.8,15.9,7.6
2002/2/19,7.5,10.0,6.2
2002/2/20,10.6,14.2,7.7
2002/2/21,13.7,16.3,10.7
2002/2/22,15.5,17.3,12.9
2002/2/23,13.2,15.9,11.8
2002/2/24,11.7,14.0,10.7
2002/2/25,12.6,15.6,10.7
2002/2/26,13.4,17.7,11.0
2002/2/27,13.6,18.2,10.6
2002/2/28,16.9,18.7,11.4
2002/3/1,15.6,20.8,13.6
2002/3/2,14.6,17.6,12.8
2002/3/3,11.3,13.9,10.0
2002/3/4,11.5,15.7,7.5
2002/3/5,13.9,17.2,7.3
2002/3/6,16.7,19.0,11.8
2002/3/7,11.8,16.6,9.3
2002/3/8,10.5,13.7,7.5
2002/3/9,11.3,15.3,5.2
2002/3/10,15.8,18.8,13.1
2002/3/11,14.9,17.3,12.0
2002/3/12,16.0,19.0,13.2
2002/3/13,13.4,15.9,11.1
2002/3/14,15.5,18.0,13.2
2002/3/15,18.2,20.7,15.9
2002/3/16,14.2,16.9,9.2
2002/3/17,15.2,19.1,8.8
2002/3/18,17.1,20.9,12.1
2002/3/19,14.1,16.7,10.5
2002/3/20,16.6,19.0,14.6
2002/3/21,18.2,20.5,15.9
2002/3/22,17.8,19.8,14.5
2002/3/23,13.5,16.7,10.1
2002/3/24,11.3,14.1,9.3
2002/3/25,12.7,15.4,9.9
2002/3/26,14.0,16.7,12.1
2002/3/27,16.4,19.5,12.4
2002/3/28,13.8,16.8,12.2
2002/3/29,16.3,17.7,14.4
2002/3/30,16.8,20.1,12.1
2002/3/31,17.0,21.1,12.1
2002/4/1,16.8,20.0,14.7
2002/4/2,18.7,22.4,15.2
2002/4/3,18.6,20.9,17.3
2002/4/4,15.1,18.6,12.3
2002/4/5,14.4,18.1,11.9
2002/4/6,14.9,18.3,11.6
2002/4/7,16.6,19.5,13.6
2002/4/8,19.0,19.5,18.2
2002/4/9,19.3,21.7,15.9
2002/4/10,17.2,20.7,13.6
2002/4/11,14.2,16.6,12.2
2002/4/12,17.1,20.2,14.3
2002/4/13,16.3,20.2,13.5
2002/4/14,18.5,21.8,12.8
2002/4/15,19.6,22.5,18.2
2002/4/16,19.5,22.1,18.3
2002/4/17,20.3,21.9,19.2
2002/4/18,17.7,21.2,15.9
2002/4/19,16.8,21.5,11.9
2002/4/20,17.8,20.0,16.3
2002/4/21,18.3,20.6,17.1
2002/4/22,19.1,21.4,17.0
2002/4/23,18.4,20.9,16.7
2002/4/24,17.9,21.5,16.0
2002/4/25,19.2,21.0,17.8
2002/4/26,15.5,17.8,14.2
2002/4/27,16.0,19.3,14.9
2002/4/28,16.0,19.3,14.4
2002/4/29,15.7,19.5,11.3
2002/4/30,17.0,20.6,10.4
2002/5/1,19.2,20.4,18.4
