ダウンロードした時刻：2019/10/10 16:07:42

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,10.7,16.7,6.9
2000/12/2,8.7,14.3,4.5
2000/12/3,8.3,10.9,4.9
2000/12/4,7.7,11.7,3.1
2000/12/5,7.9,14.8,1.7
2000/12/6,8.2,14.5,3.3
2000/12/7,7.0,12.1,3.2
2000/12/8,7.2,14.3,1.5
2000/12/9,8.5,16.3,2.8
2000/12/10,9.4,11.0,6.3
2000/12/11,8.4,12.2,3.3
2000/12/12,4.0,7.5,2.0
2000/12/13,5.3,11.4,-0.2
2000/12/14,6.2,9.6,3.3
2000/12/15,6.5,13.1,1.4
2000/12/16,8.6,16.7,1.9
2000/12/17,8.0,9.7,6.7
2000/12/18,9.1,13.3,4.3
2000/12/19,11.8,16.5,9.7
2000/12/20,9.5,12.9,5.9
2000/12/21,8.8,12.0,6.4
2000/12/22,7.5,12.8,3.7
2000/12/23,8.0,13.7,1.4
2000/12/24,6.3,11.1,2.9
2000/12/25,4.5,10.7,1.0
2000/12/26,3.0,5.9,0.9
2000/12/27,4.0,7.8,1.3
2000/12/28,5.1,10.1,0.1
2000/12/29,3.9,6.6,0.8
2000/12/30,3.5,8.2,-1.5
2000/12/31,6.6,8.5,3.7
2001/1/1,4.8,8.0,2.2
2001/1/2,5.5,10.7,0.4
2001/1/3,4.1,8.2,1.2
2001/1/4,2.1,6.1,-0.2
2001/1/5,2.7,5.8,0.9
2001/1/6,3.2,6.3,1.6
2001/1/7,3.5,7.6,0.6
2001/1/8,7.6,12.2,5.0
2001/1/9,6.4,9.7,2.0
2001/1/10,9.0,12.1,4.0
2001/1/11,5.1,11.0,0.4
2001/1/12,3.9,8.1,1.5
2001/1/13,2.7,5.3,1.0
2001/1/14,1.1,4.6,-1.4
2001/1/15,-0.2,3.9,-3.8
2001/1/16,0.5,4.9,-3.1
2001/1/17,1.3,6.1,-2.2
2001/1/18,2.9,7.8,-2.3
2001/1/19,2.9,6.2,0.5
2001/1/20,1.0,2.7,-1.2
2001/1/21,4.3,8.5,1.4
2001/1/22,5.0,9.2,1.5
2001/1/23,4.2,11.4,1.2
2001/1/24,2.7,6.3,0.7
2001/1/25,4.4,8.0,0.9
2001/1/26,7.1,9.3,4.6
2001/1/27,5.5,7.4,4.2
2001/1/28,5.4,9.6,2.0
2001/1/29,3.7,8.1,0.5
2001/1/30,3.1,9.1,-2.0
2001/1/31,4.7,9.2,0.1
2001/2/1,4.7,8.2,2.7
2001/2/2,3.3,6.9,0.0
2001/2/3,2.7,7.3,-1.4
2001/2/4,4.3,7.7,0.6
2001/2/5,6.8,12.6,3.1
2001/2/6,6.1,8.5,3.8
2001/2/7,5.6,8.7,2.0
2001/2/8,5.1,8.4,0.7
2001/2/9,4.2,10.1,0.4
2001/2/10,3.3,8.2,0.4
2001/2/11,3.7,10.2,-1.7
2001/2/12,3.9,7.4,1.4
2001/2/13,4.0,6.6,1.2
2001/2/14,3.1,7.2,0.8
2001/2/15,2.6,7.2,-0.6
2001/2/16,2.8,6.2,0.2
2001/2/17,2.6,8.2,-1.6
2001/2/18,6.3,13.3,0.0
2001/2/19,8.3,14.8,2.5
2001/2/20,6.8,12.8,1.9
2001/2/21,7.4,12.9,0.4
2001/2/22,10.8,17.2,5.4
2001/2/23,10.8,19.2,3.8
2001/2/24,8.4,10.5,5.8
2001/2/25,4.0,7.2,1.4
2001/2/26,3.3,8.1,0.5
2001/2/27,5.7,14.6,-1.7
2001/2/28,7.6,9.4,5.0
2001/3/1,8.2,9.4,5.7
2001/3/2,5.8,10.0,2.5
2001/3/3,6.4,11.4,0.7
2001/3/4,7.3,12.0,2.4
2001/3/5,4.9,10.2,0.4
2001/3/6,8.9,15.3,3.1
2001/3/7,7.3,11.8,3.1
2001/3/8,3.3,9.5,-0.5
2001/3/9,2.2,6.4,-1.1
2001/3/10,3.8,10.5,-1.3
2001/3/11,3.5,7.5,0.4
2001/3/12,4.5,11.6,-1.6
2001/3/13,4.0,8.5,1.3
2001/3/14,9.0,18.1,0.1
2001/3/15,10.1,14.0,6.0
2001/3/16,8.2,14.5,2.0
2001/3/17,8.5,10.7,5.6
2001/3/18,11.5,17.4,7.2
2001/3/19,11.2,19.3,3.4
2001/3/20,12.6,19.5,5.7
2001/3/21,13.5,21.2,8.1
2001/3/22,14.7,23.0,5.9
2001/3/23,13.5,18.6,8.1
2001/3/24,13.7,21.4,5.1
2001/3/25,14.6,15.8,13.0
2001/3/26,12.1,16.5,6.5
2001/3/27,9.3,15.2,3.9
2001/3/28,10.1,13.1,6.2
2001/3/29,10.8,14.6,6.4
2001/3/30,6.6,12.3,3.8
2001/3/31,5.1,10.1,2.3
