ダウンロードした時刻：2017/07/24 15:36:43

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,3.5,6.6,-0.5
2007/1/2,1.5,4.9,-3.2
2007/1/3,0.2,4.3,-5.0
2007/1/4,1.4,5.1,-1.2
2007/1/5,0.8,5.5,-2.5
2007/1/6,4.9,8.6,-2.8
2007/1/7,2.6,4.3,0.8
2007/1/8,1.6,4.5,-1.2
2007/1/9,-2.9,-1.2,-4.5
2007/1/10,-3.9,-1.0,-5.3
2007/1/11,-3.9,-2.1,-5.2
2007/1/12,-2.0,1.0,-3.9
2007/1/13,-2.6,-0.1,-5.1
2007/1/14,-3.5,-2.1,-5.3
2007/1/15,-2.7,-0.5,-5.0
2007/1/16,-2.7,0.7,-6.1
2007/1/17,-1.2,3.0,-4.5
2007/1/18,-0.6,3.2,-5.1
2007/1/19,-2.4,1.3,-6.7
2007/1/20,-1.7,1.2,-4.5
2007/1/21,-1.9,2.5,-7.3
2007/1/22,-0.5,3.7,-5.1
2007/1/23,-0.1,2.1,-2.5
2007/1/24,-0.1,2.2,-1.2
2007/1/25,-1.1,1.8,-5.2
2007/1/26,-2.1,2.4,-6.7
2007/1/27,0.1,2.2,-0.8
2007/1/28,0.0,2.5,-4.1
2007/1/29,2.2,4.2,0.5
2007/1/30,2.1,5.8,-3.0
2007/1/31,2.9,6.1,-1.2
2007/2/1,-1.8,0.6,-5.2
2007/2/2,-2.9,1.5,-8.5
2007/2/3,2.2,6.2,-4.0
2007/2/4,-1.6,3.4,-3.5
2007/2/5,3.4,7.3,-3.1
2007/2/6,4.2,7.1,0.0
2007/2/7,-0.9,2.0,-3.0
2007/2/8,-0.2,1.9,-2.6
2007/2/9,1.0,4.6,-2.3
2007/2/10,0.3,3.9,-2.7
2007/2/11,-0.8,3.4,-5.0
2007/2/12,-3.5,0.6,-6.9
2007/2/13,-1.7,3.2,-5.2
2007/2/14,1.4,4.0,-4.1
2007/2/15,0.4,5.0,-1.4
2007/2/16,1.5,4.6,0.1
2007/2/17,2.1,5.5,-1.2
2007/2/18,2.2,6.3,-1.9
2007/2/19,-1.2,3.3,-4.9
2007/2/20,0.0,5.8,-5.3
2007/2/21,0.4,4.7,-2.8
2007/2/22,4.1,10.1,-4.1
2007/2/23,4.1,9.0,-2.1
2007/2/24,-2.6,0.2,-5.5
2007/2/25,-1.1,3.9,-6.5
2007/2/26,-0.5,3.9,-5.3
2007/2/27,1.4,5.6,-3.4
2007/2/28,0.3,4.2,-2.7
2007/3/1,0.3,4.7,-2.7
2007/3/2,1.5,7.4,-4.2
2007/3/3,4.0,9.1,-1.7
2007/3/4,4.2,6.3,2.4
2007/3/5,6.5,9.6,4.0
2007/3/6,1.2,7.8,-5.3
2007/3/7,-4.4,-2.7,-5.8
2007/3/8,-2.8,0.9,-6.0
2007/3/9,-1.9,2.6,-7.6
2007/3/10,2.3,5.6,-4.2
2007/3/11,-0.3,7.3,-4.4
2007/3/12,-3.7,-1.7,-4.8
2007/3/13,-1.3,2.0,-3.6
2007/3/14,-0.5,3.4,-4.7
2007/3/15,-0.1,4.1,-3.6
2007/3/16,0.4,4.5,-3.3
2007/3/17,-0.5,4.3,-5.6
2007/3/18,0.5,4.5,-2.4
2007/3/19,1.8,6.0,-0.8
2007/3/20,2.0,5.9,-0.2
2007/3/21,2.8,7.0,-0.6
2007/3/22,2.2,7.2,-2.5
2007/3/23,2.4,8.5,-2.4
2007/3/24,4.6,8.3,-2.0
2007/3/25,7.7,10.3,4.2
2007/3/26,4.8,7.7,2.8
2007/3/27,2.4,5.6,-0.6
2007/3/28,2.5,8.0,-2.0
2007/3/29,2.8,7.3,-1.2
2007/3/30,3.4,6.0,-0.4
2007/3/31,3.1,8.0,-2.4
2007/4/1,3.2,5.5,1.5
2007/4/2,4.0,7.2,2.5
2007/4/3,3.5,7.8,-0.5
2007/4/4,2.7,8.1,-1.7
2007/4/5,3.2,7.9,-0.7
2007/4/6,5.0,11.0,-1.6
2007/4/7,6.3,9.8,3.7
2007/4/8,8.1,13.4,4.0
2007/4/9,7.1,11.9,3.3
2007/4/10,4.6,8.9,2.8
2007/4/11,5.7,12.2,-0.4
2007/4/12,5.2,10.7,0.1
2007/4/13,6.5,10.7,2.9
2007/4/14,3.1,5.2,2.0
2007/4/15,3.7,6.0,2.4
2007/4/16,5.2,9.8,2.1
2007/4/17,4.8,10.1,0.3
2007/4/18,6.4,12.6,-0.8
2007/4/19,7.9,13.9,1.4
2007/4/20,9.1,12.2,3.9
2007/4/21,11.8,16.1,8.0
2007/4/22,8.8,13.1,4.4
2007/4/23,7.7,11.8,3.3
2007/4/24,9.1,14.5,1.4
2007/4/25,10.2,15.1,6.1
2007/4/26,7.3,13.0,3.9
2007/4/27,7.7,12.7,2.6
2007/4/28,10.2,14.7,3.1
2007/4/29,11.6,15.9,6.2
2007/4/30,9.6,14.0,5.7
2007/5/1,11.0,13.8,6.4
