ダウンロードした時刻：2017/07/24 15:36:40

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,2.7,6.3,0.1
1997/1/2,3.4,7.6,-2.1
1997/1/3,-1.5,1.0,-3.9
1997/1/4,1.7,4.8,-0.3
1997/1/5,1.4,4.2,-1.3
1997/1/6,2.2,2.9,0.0
1997/1/7,-0.2,2.2,-3.7
1997/1/8,-3.3,0.3,-6.6
1997/1/9,-1.4,1.9,-5.4
1997/1/10,-0.9,2.8,-4.0
1997/1/11,-0.9,3.3,-4.8
1997/1/12,-0.8,2.5,-5.9
1997/1/13,1.8,4.7,-2.0
1997/1/14,1.8,6.9,-4.2
1997/1/15,-4.3,-2.7,-5.5
1997/1/16,-1.7,0.2,-3.3
1997/1/17,-0.9,2.4,-5.7
1997/1/18,-2.1,2.2,-7.4
1997/1/19,-1.4,3.4,-7.4
1997/1/20,-2.9,0.3,-6.1
1997/1/21,-6.4,-4.1,-9.4
1997/1/22,-3.0,0.5,-9.4
1997/1/23,0.0,1.5,-2.8
1997/1/24,-3.1,0.9,-6.1
1997/1/25,-6.5,-2.9,-8.7
1997/1/26,-3.4,-1.2,-5.2
1997/1/27,-5.8,-4.4,-7.9
1997/1/28,-2.1,1.8,-5.9
1997/1/29,-1.0,1.1,-4.0
1997/1/30,-1.8,2.6,-6.8
1997/1/31,-0.4,3.0,-3.4
1997/2/1,-1.4,4.1,-6.0
1997/2/2,-0.6,3.9,-5.1
1997/2/3,-0.8,2.1,-4.5
1997/2/4,-0.4,0.7,-1.6
1997/2/5,-0.7,2.9,-5.1
1997/2/6,-0.6,3.0,-3.8
1997/2/7,-1.4,2.2,-5.2
1997/2/8,0.0,4.5,-4.7
1997/2/9,-0.9,0.7,-2.3
1997/2/10,-1.5,1.4,-3.6
1997/2/11,-1.5,1.7,-5.9
1997/2/12,-2.2,1.3,-5.7
1997/2/13,-3.6,0.4,-8.0
1997/2/14,-3.1,1.2,-7.7
1997/2/15,-1.3,2.2,-7.3
1997/2/16,3.7,6.8,1.5
1997/2/17,-0.6,2.3,-3.5
1997/2/18,-3.8,-1.0,-7.0
1997/2/19,-4.5,-0.6,-9.8
1997/2/20,-0.1,2.8,-3.0
1997/2/21,-0.6,3.8,-4.4
1997/2/22,-3.4,-1.0,-6.5
1997/2/23,-1.2,1.7,-6.4
1997/2/24,4.1,8.2,0.4
1997/2/25,5.1,9.9,-0.1
1997/2/26,-0.1,3.7,-3.8
1997/2/27,-1.2,2.2,-3.9
1997/2/28,1.0,4.6,-4.9
1997/3/1,0.4,5.4,-6.1
1997/3/2,-4.4,-1.6,-7.3
1997/3/3,-5.7,-3.5,-8.8
1997/3/4,-2.0,0.6,-4.8
1997/3/5,-0.7,2.6,-4.4
1997/3/6,1.1,7.2,-6.5
1997/3/7,3.7,7.1,-1.3
1997/3/8,-2.2,3.3,-5.9
1997/3/9,-3.4,-1.4,-5.7
1997/3/10,-0.5,3.0,-4.8
1997/3/11,0.3,3.2,-2.0
1997/3/12,-0.7,1.9,-3.6
1997/3/13,1.0,5.6,-5.2
1997/3/14,2.7,6.7,0.2
1997/3/15,1.3,3.8,-0.2
1997/3/16,-0.2,2.5,-2.6
1997/3/17,-1.7,2.8,-6.8
1997/3/18,0.6,5.5,-6.3
1997/3/19,2.3,6.2,-1.9
1997/3/20,2.9,8.8,-3.1
1997/3/21,5.5,10.4,-0.8
1997/3/22,2.9,6.9,-1.1
1997/3/23,-0.1,3.8,-4.5
1997/3/24,-0.1,3.0,-5.7
1997/3/25,4.6,8.4,-0.6
1997/3/26,3.0,7.9,-1.3
1997/3/27,2.8,8.3,-2.6
1997/3/28,6.8,12.6,-0.3
1997/3/29,10.1,15.5,3.6
1997/3/30,4.2,10.8,-2.1
1997/3/31,-0.1,2.0,-2.9
1997/4/1,3.4,6.7,0.4
1997/4/2,4.5,9.0,-1.9
1997/4/3,5.9,10.7,-0.1
1997/4/4,5.8,10.7,1.9
1997/4/5,5.6,9.0,1.5
1997/4/6,6.9,8.3,5.5
1997/4/7,6.7,8.5,5.3
1997/4/8,8.1,11.6,5.5
1997/4/9,8.6,14.5,5.7
1997/4/10,7.7,12.4,4.2
1997/4/11,3.5,7.3,0.5
1997/4/12,2.5,6.7,-1.6
1997/4/13,4.1,11.1,-2.5
1997/4/14,4.7,11.5,-1.6
1997/4/15,3.1,7.9,-0.9
1997/4/16,3.5,9.0,-2.6
1997/4/17,6.2,11.4,0.6
1997/4/18,7.8,12.4,4.3
1997/4/19,8.1,14.2,2.2
1997/4/20,6.7,11.4,1.0
1997/4/21,8.0,10.8,4.7
1997/4/22,9.5,14.6,6.2
1997/4/23,6.0,9.5,3.4
1997/4/24,5.2,9.2,1.9
1997/4/25,8.7,15.3,0.8
1997/4/26,10.1,16.8,2.3
1997/4/27,12.1,16.6,7.7
1997/4/28,14.0,21.4,7.0
1997/4/29,11.7,16.9,7.7
1997/4/30,11.0,17.3,4.1
1997/5/1,9.6,15.1,2.2
