É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:39:28

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1989/1/1,5.7,13.0,1.9
1989/1/2,4.3,11.5,-2.6
1989/1/3,6.1,12.4,-0.2
1989/1/4,2.2,8.8,-3.0
1989/1/5,1.0,7.9,-5.5
1989/1/6,2.0,9.8,-4.9
1989/1/7,4.9,9.1,0.0
1989/1/8,6.9,9.2,4.3
1989/1/9,7.5,8.3,6.7
1989/1/10,8.4,10.5,6.8
1989/1/11,9.0,13.3,3.9
1989/1/12,7.3,8.6,5.7
1989/1/13,5.4,7.7,3.4
1989/1/14,3.6,6.0,0.1
1989/1/15,1.8,5.1,-1.8
1989/1/16,1.7,7.4,-2.2
1989/1/17,2.6,10.2,-4.3
1989/1/18,6.1,11.3,0.5
1989/1/19,8.0,11.5,5.3
1989/1/20,10.1,11.8,7.6
1989/1/21,7.3,13.6,0.0
1989/1/22,3.7,9.5,-2.6
1989/1/23,2.6,5.3,0.4
1989/1/24,4.9,12.3,-0.4
1989/1/25,2.8,9.0,-2.3
1989/1/26,3.6,6.7,-1.0
1989/1/27,4.9,12.1,1.0
1989/1/28,-0.2,4.7,-3.9
1989/1/29,0.8,8.7,-6.1
1989/1/30,3.1,12.4,-4.9
1989/1/31,5.2,12.6,-2.3
1989/2/1,5.6,9.4,0.8
1989/2/2,2.6,8.4,-2.1
1989/2/3,0.5,8.0,-5.3
1989/2/4,0.8,7.3,-5.2
1989/2/5,2.4,10.2,-4.9
1989/2/6,3.1,11.0,-3.9
1989/2/7,4.9,12.3,-3.0
1989/2/8,6.1,12.4,-1.6
1989/2/9,7.9,12.9,4.9
1989/2/10,3.3,4.9,2.0
1989/2/11,2.8,7.8,-2.7
1989/2/12,3.4,11.4,-2.0
1989/2/13,2.1,8.2,-2.0
1989/2/14,3.3,11.0,-4.4
1989/2/15,4.1,10.6,-4.2
1989/2/16,7.4,12.2,0.7
1989/2/17,6.7,8.8,3.8
1989/2/18,3.1,4.8,0.4
1989/2/19,4.9,10.7,-1.2
1989/2/20,5.7,9.6,0.8
1989/2/21,5.9,12.5,1.7
1989/2/22,4.0,8.7,0.7
1989/2/23,2.6,7.4,-3.3
1989/2/24,2.3,3.6,0.4
1989/2/25,3.2,4.6,1.9
1989/2/26,4.8,11.6,-0.4
1989/2/27,4.2,10.4,-3.5
1989/2/28,7.8,10.7,2.3
1989/3/1,10.2,14.0,3.6
1989/3/2,4.5,11.8,-1.6
1989/3/3,6.5,10.7,-0.6
1989/3/4,11.9,17.8,6.6
1989/3/5,5.3,10.1,3.2
1989/3/6,5.7,10.2,2.2
1989/3/7,3.4,6.2,1.8
1989/3/8,2.8,7.7,0.1
1989/3/9,2.5,8.0,-3.5
1989/3/10,5.2,11.7,-2.6
1989/3/11,7.0,13.7,-0.4
1989/3/12,7.9,14.8,0.0
1989/3/13,9.9,16.2,2.9
1989/3/14,11.7,19.5,5.9
1989/3/15,8.6,15.5,3.1
1989/3/16,6.6,13.1,0.3
1989/3/17,5.8,11.3,1.6
1989/3/18,4.9,12.3,-0.8
1989/3/19,5.3,13.3,-2.1
1989/3/20,7.4,14.3,-1.1
1989/3/21,7.6,14.6,1.2
1989/3/22,5.9,9.1,3.9
1989/3/23,7.0,12.1,3.0
1989/3/24,6.2,7.6,5.3
1989/3/25,10.2,18.0,4.7
1989/3/26,8.1,14.5,-0.4
1989/3/27,8.2,12.6,5.1
1989/3/28,5.0,6.1,4.0
1989/3/29,7.0,13.8,-0.1
1989/3/30,7.8,14.8,-1.1
1989/3/31,9.0,12.2,3.8
1989/4/1,12.9,21.4,4.8
1989/4/2,11.5,18.7,3.0
1989/4/3,11.3,14.2,7.0
1989/4/4,12.5,18.7,7.0
1989/4/5,7.9,12.3,5.2
1989/4/6,10.8,19.1,2.5
1989/4/7,12.8,19.3,7.7
1989/4/8,12.6,15.5,9.1
1989/4/9,16.6,22.1,12.0
1989/4/10,13.6,16.5,11.3
1989/4/11,9.5,13.1,6.2
1989/4/12,8.7,13.5,5.4
1989/4/13,13.2,22.6,3.9
1989/4/14,15.0,23.2,5.1
1989/4/15,16.1,21.0,11.4
1989/4/16,17.3,22.7,14.6
1989/4/17,15.3,20.6,10.1
1989/4/18,15.2,24.6,5.5
1989/4/19,15.4,23.0,6.7
1989/4/20,16.8,24.9,8.4
1989/4/21,13.4,19.6,8.3
1989/4/22,14.4,19.3,7.8
1989/4/23,14.7,18.5,13.4
1989/4/24,15.3,20.2,11.6
1989/4/25,12.3,16.7,5.7
1989/4/26,11.1,16.4,2.8
1989/4/27,13.8,21.4,7.5
1989/4/28,10.5,14.4,5.2
1989/4/29,10.7,18.3,1.4
1989/4/30,14.3,21.6,3.5
1989/5/1,13.2,18.6,11.4
