ダウンロードした時刻：2019/10/10 16:21:05

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,13.7,17.1,10.6
2016/12/2,10.3,14.6,7.1
2016/12/3,10.6,17.4,5.6
2016/12/4,13.1,15.9,10.8
2016/12/5,13.1,17.8,9.6
2016/12/6,11.7,16.2,6.1
2016/12/7,8.6,13.4,4.1
2016/12/8,10.7,14.5,6.7
2016/12/9,14.1,17.6,8.6
2016/12/10,10.1,14.9,6.5
2016/12/11,9.3,14.3,4.5
2016/12/12,11.1,14.7,7.7
2016/12/13,13.1,14.2,11.3
2016/12/14,11.4,13.3,9.4
2016/12/15,8.3,10.8,4.3
2016/12/16,5.6,8.5,2.9
2016/12/17,7.9,12.5,3.4
2016/12/18,8.0,14.1,3.6
2016/12/19,12.2,18.3,6.3
2016/12/20,15.2,17.7,13.5
2016/12/21,16.1,19.1,12.2
2016/12/22,15.7,19.4,11.9
2016/12/23,9.7,12.5,7.6
2016/12/24,8.1,10.6,4.7
2016/12/25,10.8,15.9,6.6
2016/12/26,15.0,19.4,11.1
2016/12/27,10.5,17.3,7.1
2016/12/28,7.2,10.6,4.9
2016/12/29,6.6,9.3,4.1
2016/12/30,5.9,10.9,2.1
2016/12/31,7.3,13.4,2.9
2017/1/1,8.4,14.4,3.8
2017/1/2,10.2,14.5,5.7
2017/1/3,9.9,15.0,6.7
2017/1/4,9.8,15.6,5.4
2017/1/5,10.9,14.3,8.5
2017/1/6,9.7,14.0,6.7
2017/1/7,8.8,12.3,5.1
2017/1/8,12.2,16.2,9.9
2017/1/9,10.4,13.1,5.6
2017/1/10,7.8,10.2,5.0
2017/1/11,6.4,9.0,4.4
2017/1/12,6.5,9.4,3.0
2017/1/13,7.7,9.4,6.0
2017/1/14,5.1,7.5,3.8
2017/1/15,2.8,5.9,0.2
2017/1/16,4.5,9.1,0.2
2017/1/17,6.1,11.6,1.7
2017/1/18,8.4,12.5,3.6
2017/1/19,8.7,11.6,6.3
2017/1/20,6.6,11.0,2.6
2017/1/21,5.7,9.7,0.3
2017/1/22,6.0,9.1,3.6
2017/1/23,2.1,4.4,0.0
2017/1/24,2.8,5.6,-0.5
2017/1/25,3.3,10.1,-1.7
2017/1/26,5.8,11.1,1.5
2017/1/27,9.5,15.1,4.1
2017/1/28,7.5,13.9,2.2
2017/1/29,14.0,20.5,6.9
2017/1/30,9.5,16.1,2.7
2017/1/31,6.7,10.3,2.2
2017/2/1,7.7,10.3,3.9
2017/2/2,6.1,11.4,1.5
2017/2/3,7.8,14.1,2.0
2017/2/4,10.3,14.0,6.6
2017/2/5,11.7,14.2,9.1
2017/2/6,7.6,10.7,3.3
2017/2/7,7.0,12.1,2.6
2017/2/8,7.4,11.7,2.9
2017/2/9,4.9,6.2,2.7
2017/2/10,2.9,4.6,0.1
2017/2/11,3.3,5.8,0.6
2017/2/12,4.7,8.3,1.5
2017/2/13,5.4,11.2,0.8
2017/2/14,7.8,11.8,3.5
2017/2/15,6.3,12.2,1.3
2017/2/16,11.1,16.9,4.2
2017/2/17,15.3,18.6,10.7
2017/2/18,8.2,11.0,6.4
2017/2/19,8.5,14.3,1.7
2017/2/20,13.2,17.7,7.1
2017/2/21,8.4,12.5,5.5
2017/2/22,12.0,17.4,5.5
2017/2/23,9.3,13.6,7.4
2017/2/24,6.7,10.5,3.7
2017/2/25,6.7,11.2,2.4
2017/2/26,8.2,10.9,5.2
2017/2/27,7.9,14.0,2.8
2017/2/28,8.9,14.8,3.9
2017/3/1,9.4,15.0,4.6
2017/3/2,9.4,11.7,7.5
2017/3/3,8.3,13.1,3.4
2017/3/4,10.0,15.8,5.5
2017/3/5,9.7,13.5,6.7
2017/3/6,9.7,13.1,7.2
2017/3/7,7.6,10.8,5.3
2017/3/8,6.2,8.6,4.6
2017/3/9,9.1,11.5,5.1
2017/3/10,11.1,13.7,6.9
2017/3/11,10.1,17.3,4.2
2017/3/12,11.4,17.1,5.5
2017/3/13,10.0,12.0,8.9
2017/3/14,11.2,15.2,8.2
2017/3/15,9.0,12.7,6.4
2017/3/16,9.8,14.7,5.1
2017/3/17,10.3,16.0,5.2
2017/3/18,10.3,14.2,6.2
2017/3/19,13.0,20.2,6.4
2017/3/20,12.0,13.4,10.5
2017/3/21,11.6,14.9,8.0
2017/3/22,10.5,14.2,6.0
2017/3/23,8.8,11.3,6.0
2017/3/24,10.5,14.4,5.5
2017/3/25,10.7,13.7,8.8
2017/3/26,10.8,15.4,7.6
2017/3/27,10.1,12.6,7.5
2017/3/28,10.8,14.9,6.0
2017/3/29,11.4,15.9,8.5
2017/3/30,15.4,18.9,13.6
2017/3/31,11.4,14.0,9.5
