ダウンロードした時刻：2019/10/10 16:17:21

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,8.2,16.0,2.0
1986/12/2,10.1,16.8,3.8
1986/12/3,12.9,17.8,9.4
1986/12/4,9.4,15.1,5.0
1986/12/5,8.0,14.9,2.7
1986/12/6,9.6,16.6,2.9
1986/12/7,9.9,14.3,6.4
1986/12/8,8.8,13.4,4.3
1986/12/9,8.7,16.9,1.8
1986/12/10,9.5,16.9,5.2
1986/12/11,8.7,17.8,2.5
1986/12/12,9.2,17.8,2.4
1986/12/13,11.4,18.6,4.3
1986/12/14,12.8,13.9,11.4
1986/12/15,13.0,16.3,9.9
1986/12/16,9.7,14.0,5.9
1986/12/17,9.4,16.1,3.1
1986/12/18,12.6,17.5,9.1
1986/12/19,10.2,14.4,5.2
1986/12/20,6.9,10.3,3.4
1986/12/21,6.6,14.4,0.3
1986/12/22,7.1,12.4,3.2
1986/12/23,6.6,12.7,1.1
1986/12/24,9.2,16.3,3.0
1986/12/25,9.2,13.7,5.9
1986/12/26,7.5,13.3,3.2
1986/12/27,5.9,10.2,3.0
1986/12/28,5.3,11.2,1.2
1986/12/29,4.3,10.4,0.4
1986/12/30,6.6,13.3,-0.2
1986/12/31,9.2,15.6,6.1
1987/1/1,9.1,13.4,4.2
1987/1/2,8.3,9.9,6.7
1987/1/3,12.3,19.2,6.6
1987/1/4,8.4,14.0,3.1
1987/1/5,6.2,7.5,4.1
1987/1/6,6.9,14.6,1.5
1987/1/7,6.7,11.9,0.3
1987/1/8,8.4,15.0,3.5
1987/1/9,7.2,15.5,0.3
1987/1/10,6.1,13.8,1.4
1987/1/11,4.1,10.5,-1.0
1987/1/12,4.8,8.4,2.0
1987/1/13,0.6,4.5,-2.1
1987/1/14,1.9,7.3,-2.1
1987/1/15,4.8,12.8,-1.3
1987/1/16,7.3,13.5,0.2
1987/1/17,8.4,15.7,2.7
1987/1/18,4.9,10.9,-0.2
1987/1/19,5.5,10.0,3.1
1987/1/20,4.3,8.9,0.3
1987/1/21,4.4,10.9,-1.5
1987/1/22,6.0,13.0,-0.6
1987/1/23,8.3,11.9,3.8
1987/1/24,8.3,11.1,4.6
1987/1/25,3.5,8.1,-0.1
1987/1/26,2.7,9.2,-2.6
1987/1/27,4.9,12.8,-0.7
1987/1/28,5.5,12.9,-0.7
1987/1/29,6.7,14.4,-0.1
1987/1/30,8.3,17.3,3.2
1987/1/31,5.7,12.6,1.2
1987/2/1,4.2,10.4,-0.9
1987/2/2,4.5,8.4,2.1
1987/2/3,3.5,7.0,-0.9
1987/2/4,5.0,8.7,0.9
1987/2/5,4.8,12.3,-1.5
1987/2/6,7.0,13.6,-0.2
1987/2/7,8.8,16.7,1.1
1987/2/8,8.3,16.0,1.6
1987/2/9,8.2,16.5,0.9
1987/2/10,10.2,18.3,2.5
1987/2/11,14.1,20.0,8.3
1987/2/12,14.4,18.7,9.9
1987/2/13,11.2,15.9,6.6
1987/2/14,11.7,18.8,4.7
1987/2/15,8.7,13.0,3.5
1987/2/16,7.3,14.0,0.1
1987/2/17,7.5,9.3,5.5
1987/2/18,9.9,14.1,6.3
1987/2/19,7.2,10.6,5.2
1987/2/20,7.6,13.4,1.9
1987/2/21,6.0,9.0,2.8
1987/2/22,7.1,11.6,4.5
1987/2/23,8.2,15.5,1.8
1987/2/24,9.8,16.3,3.8
1987/2/25,4.4,10.2,-0.3
1987/2/26,2.1,8.0,-2.5
1987/2/27,1.9,8.6,-2.0
1987/2/28,2.9,9.0,-2.7
1987/3/1,2.5,7.0,0.2
1987/3/2,3.5,9.0,-1.4
1987/3/3,5.1,12.3,-2.3
1987/3/4,7.7,14.5,0.3
1987/3/5,11.5,20.4,3.5
1987/3/6,13.3,22.1,5.0
1987/3/7,8.4,11.9,4.9
1987/3/8,7.3,13.4,1.8
1987/3/9,7.2,10.8,4.0
1987/3/10,7.5,12.2,2.2
1987/3/11,9.2,15.0,5.9
1987/3/12,10.4,15.4,4.4
1987/3/13,10.6,12.5,8.7
1987/3/14,13.6,18.3,9.8
1987/3/15,9.6,15.3,4.5
1987/3/16,9.2,14.6,2.6
1987/3/17,7.8,8.7,6.5
1987/3/18,11.8,19.7,4.9
1987/3/19,12.3,15.9,7.7
1987/3/20,15.0,20.8,9.7
1987/3/21,13.8,20.4,8.5
1987/3/22,15.5,21.6,9.8
1987/3/23,15.1,15.8,14.2
1987/3/24,17.0,22.3,10.7
1987/3/25,9.3,14.6,4.7
1987/3/26,6.7,11.7,2.1
1987/3/27,6.8,13.1,0.9
1987/3/28,8.8,14.9,3.0
1987/3/29,9.3,12.3,6.5
1987/3/30,11.5,12.5,9.8
1987/3/31,10.6,14.6,4.3
