ダウンロードした時刻：2019/10/10 15:52:47

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,10.1,16.0,4.3
1997/12/2,6.5,10.1,1.4
1997/12/3,3.4,5.3,1.7
1997/12/4,4.3,9.0,1.8
1997/12/5,6.7,13.0,1.7
1997/12/6,10.3,15.0,2.8
1997/12/7,15.8,18.4,12.4
1997/12/8,13.5,15.2,11.8
1997/12/9,9.2,13.3,6.2
1997/12/10,5.7,9.2,1.0
1997/12/11,4.5,8.5,1.1
1997/12/12,4.3,6.8,1.1
1997/12/13,5.9,8.5,1.7
1997/12/14,6.1,10.3,0.6
1997/12/15,8.9,11.5,6.1
1997/12/16,8.8,12.4,4.3
1997/12/17,8.7,11.6,4.3
1997/12/18,10.8,13.5,8.8
1997/12/19,11.4,15.1,7.9
1997/12/20,12.7,16.3,9.5
1997/12/21,9.7,12.6,6.7
1997/12/22,6.6,8.8,4.2
1997/12/23,7.7,10.6,4.3
1997/12/24,6.6,11.0,2.4
1997/12/25,5.3,11.8,0.6
1997/12/26,8.0,12.0,1.1
1997/12/27,11.0,14.2,7.0
1997/12/28,9.6,12.2,7.0
1997/12/29,8.2,12.0,4.5
1997/12/30,7.7,10.3,5.6
1997/12/31,6.9,9.6,5.1
1998/1/1,6.3,9.7,5.1
1998/1/2,7.2,12.2,4.6
1998/1/3,8.1,12.2,4.2
1998/1/4,8.2,11.6,5.3
1998/1/5,4.0,7.7,0.8
1998/1/6,4.9,6.7,3.1
1998/1/7,6.6,8.9,4.3
1998/1/8,4.2,5.2,2.9
1998/1/9,5.5,7.6,1.4
1998/1/10,5.0,9.1,1.5
1998/1/11,6.0,8.3,3.3
1998/1/12,5.4,7.5,4.1
1998/1/13,5.5,9.4,2.3
1998/1/14,6.6,10.3,2.4
1998/1/15,4.8,6.2,3.4
1998/1/16,7.0,9.6,4.3
1998/1/17,7.3,12.3,0.9
1998/1/18,10.0,12.3,7.9
1998/1/19,2.3,8.5,-0.9
1998/1/20,2.2,5.9,-0.9
1998/1/21,3.3,6.3,1.0
1998/1/22,2.6,5.3,0.3
1998/1/23,3.0,4.2,1.4
1998/1/24,1.0,4.1,-1.4
1998/1/25,0.6,1.8,-1.2
1998/1/26,2.1,6.2,-1.1
1998/1/27,2.3,5.4,0.3
1998/1/28,2.4,5.1,0.5
1998/1/29,2.5,5.2,0.4
1998/1/30,4.8,8.6,1.0
1998/1/31,4.8,8.2,2.2
1998/2/1,3.8,5.6,0.8
1998/2/2,3.6,9.5,-1.0
1998/2/3,6.3,10.8,2.3
1998/2/4,3.1,6.5,1.4
1998/2/5,3.2,6.8,0.3
1998/2/6,4.8,9.1,1.1
1998/2/7,5.8,10.2,2.2
1998/2/8,4.1,9.5,0.2
1998/2/9,2.6,5.2,0.8
1998/2/10,3.7,6.0,1.7
1998/2/11,5.2,9.2,-0.8
1998/2/12,10.2,15.0,6.8
1998/2/13,8.8,13.5,3.7
1998/2/14,10.4,14.9,6.4
1998/2/15,6.1,9.2,5.0
1998/2/16,6.5,10.4,0.9
1998/2/17,5.5,7.6,2.9
1998/2/18,5.1,8.9,1.8
1998/2/19,10.1,16.4,1.3
1998/2/20,11.9,14.8,10.7
1998/2/21,8.1,11.2,4.8
1998/2/22,6.0,10.0,2.5
1998/2/23,6.1,11.9,0.7
1998/2/24,7.8,9.5,5.4
1998/2/25,8.7,10.2,7.2
1998/2/26,8.6,10.0,7.8
1998/2/27,8.3,12.8,4.6
1998/2/28,7.3,13.6,3.2
1998/3/1,6.3,8.6,3.4
1998/3/2,7.6,11.6,3.2
1998/3/3,6.4,12.4,0.8
1998/3/4,8.8,14.4,4.0
1998/3/5,6.9,8.5,5.8
1998/3/6,8.7,12.2,6.1
1998/3/7,6.4,8.5,4.1
1998/3/8,5.9,10.0,3.4
1998/3/9,9.1,14.3,3.8
1998/3/10,6.8,10.8,3.6
1998/3/11,9.5,13.6,2.4
1998/3/12,10.0,11.7,7.6
1998/3/13,8.8,13.2,5.3
1998/3/14,9.7,15.2,4.7
1998/3/15,4.9,8.0,2.8
1998/3/16,6.0,11.2,0.6
1998/3/17,6.5,11.3,3.4
1998/3/18,5.6,10.4,1.1
1998/3/19,11.8,16.7,5.4
1998/3/20,10.7,15.7,7.1
1998/3/21,8.2,11.8,6.8
1998/3/22,6.5,9.7,4.5
1998/3/23,7.1,11.3,3.6
1998/3/24,7.7,13.2,3.2
1998/3/25,9.3,13.8,5.2
1998/3/26,11.4,16.5,6.0
1998/3/27,12.6,14.8,11.5
1998/3/28,12.2,15.6,8.4
1998/3/29,13.3,21.7,6.2
1998/3/30,14.4,21.5,8.6
1998/3/31,11.0,15.5,8.3
