ダウンロードした時刻：2019/10/10 16:01:05

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,13.8,19.4,7.8
1980/12/2,12.8,19.0,6.5
1980/12/3,15.7,18.9,12.5
1980/12/4,13.7,17.5,10.1
1980/12/5,9.7,14.2,5.0
1980/12/6,7.1,14.3,1.8
1980/12/7,7.5,14.8,2.0
1980/12/8,7.5,14.4,2.7
1980/12/9,9.8,13.8,4.2
1980/12/10,9.0,14.6,3.0
1980/12/11,10.6,15.7,3.4
1980/12/12,14.7,17.2,11.0
1980/12/13,7.5,11.0,5.7
1980/12/14,7.4,9.2,5.3
1980/12/15,5.2,11.2,-1.1
1980/12/16,3.5,9.7,-2.1
1980/12/17,4.6,13.1,-1.4
1980/12/18,8.1,13.3,1.5
1980/12/19,5.1,10.5,0.8
1980/12/20,4.4,12.4,-2.0
1980/12/21,2.9,9.8,-1.5
1980/12/22,3.4,11.1,-2.8
1980/12/23,6.8,12.2,0.7
1980/12/24,7.4,10.1,4.5
1980/12/25,8.9,15.0,1.3
1980/12/26,7.0,13.5,-0.5
1980/12/27,5.6,10.1,-0.6
1980/12/28,6.5,9.1,4.9
1980/12/29,7.6,9.7,4.8
1980/12/30,3.8,12.0,-2.4
1980/12/31,3.2,12.4,-2.7
1981/1/1,3.3,10.8,-3.0
1981/1/2,7.9,12.7,0.0
1981/1/3,6.4,8.4,4.8
1981/1/4,6.2,11.2,0.3
1981/1/5,4.8,10.4,-1.7
1981/1/6,3.0,7.1,-2.6
1981/1/7,4.4,9.4,-1.8
1981/1/8,2.3,10.5,-3.6
1981/1/9,4.3,11.5,-1.3
1981/1/10,7.1,12.7,-0.4
1981/1/11,4.6,8.6,-1.0
1981/1/12,4.9,9.0,-1.3
1981/1/13,2.6,8.1,-1.9
1981/1/14,0.7,8.5,-5.0
1981/1/15,2.8,8.5,-4.3
1981/1/16,3.4,7.3,0.0
1981/1/17,2.7,8.8,-3.0
1981/1/18,5.4,10.1,-3.6
1981/1/19,7.3,11.1,1.9
1981/1/20,4.5,8.7,-0.4
1981/1/21,3.8,7.8,-0.9
1981/1/22,2.3,8.0,-3.3
1981/1/23,2.7,10.4,-4.5
1981/1/24,10.4,14.6,0.0
1981/1/25,8.1,13.8,5.0
1981/1/26,4.4,9.1,1.7
1981/1/27,3.8,8.7,0.2
1981/1/28,3.9,9.8,-1.7
1981/1/29,3.0,9.7,-2.5
1981/1/30,3.5,9.9,-1.5
1981/1/31,3.6,10.7,-2.0
1981/2/1,3.5,7.7,-0.5
1981/2/2,4.4,10.6,-1.0
1981/2/3,6.5,10.6,-0.7
1981/2/4,5.3,9.7,1.3
1981/2/5,4.4,10.7,-2.3
1981/2/6,4.5,10.6,0.3
1981/2/7,4.1,10.5,-0.5
1981/2/8,4.5,12.1,-1.2
1981/2/9,6.9,12.8,-1.6
1981/2/10,6.9,12.3,-1.3
1981/2/11,6.1,11.1,-1.7
1981/2/12,4.1,10.9,-3.5
1981/2/13,7.6,12.7,-0.5
1981/2/14,10.0,13.7,7.6
1981/2/15,11.1,14.0,6.4
1981/2/16,14.3,18.5,10.8
1981/2/17,4.4,11.0,0.6
1981/2/18,3.4,8.7,-3.5
1981/2/19,10.8,14.5,3.7
1981/2/20,6.1,9.6,0.3
1981/2/21,7.1,12.1,1.0
1981/2/22,5.7,9.6,1.6
1981/2/23,4.8,7.6,1.0
1981/2/24,4.4,6.0,1.6
1981/2/25,4.8,9.3,-0.4
1981/2/26,1.8,5.3,-1.4
1981/2/27,1.1,5.7,-3.9
1981/2/28,1.1,6.9,-4.8
1981/3/1,4.1,9.4,-2.6
1981/3/2,2.3,8.0,-1.4
1981/3/3,6.8,12.4,-2.0
1981/3/4,8.0,9.6,6.0
1981/3/5,7.8,12.8,2.0
1981/3/6,7.7,12.4,-0.6
1981/3/7,7.8,12.6,-0.6
1981/3/8,11.0,15.4,5.5
1981/3/9,5.7,7.1,3.9
1981/3/10,5.8,11.9,0.4
1981/3/11,5.3,11.2,-2.1
1981/3/12,9.9,14.1,4.1
1981/3/13,10.9,16.2,3.1
1981/3/14,12.4,16.5,9.3
1981/3/15,14.4,18.5,9.3
1981/3/16,7.7,13.3,1.9
1981/3/17,7.6,13.4,1.9
1981/3/18,8.5,15.9,0.6
1981/3/19,13.3,19.8,3.3
1981/3/20,13.2,18.5,9.2
1981/3/21,11.7,16.1,8.9
1981/3/22,11.5,16.4,9.2
1981/3/23,12.0,18.7,4.9
1981/3/24,9.9,13.6,3.6
1981/3/25,15.0,19.5,9.4
1981/3/26,16.4,19.6,11.4
1981/3/27,11.1,16.0,4.7
1981/3/28,8.8,12.7,4.8
1981/3/29,10.0,14.2,4.5
1981/3/30,8.1,9.8,5.5
1981/3/31,6.0,8.0,4.2
