ダウンロードした時刻：2019/10/10 16:02:48

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,14.3,18.1,9.8
1987/12/2,9.1,11.3,5.7
1987/12/3,11.0,12.9,7.6
1987/12/4,11.7,12.8,10.7
1987/12/5,11.5,14.5,8.8
1987/12/6,11.3,12.6,9.6
1987/12/7,11.1,14.8,9.2
1987/12/8,13.6,16.0,9.2
1987/12/9,14.8,18.1,11.7
1987/12/10,16.2,18.2,14.6
1987/12/11,14.3,17.3,11.8
1987/12/12,14.3,17.7,11.7
1987/12/13,12.6,15.0,9.1
1987/12/14,11.1,14.5,8.6
1987/12/15,13.4,16.7,7.7
1987/12/16,14.4,16.2,12.2
1987/12/17,12.9,15.3,11.6
1987/12/18,12.9,16.0,9.0
1987/12/19,14.2,16.6,13.0
1987/12/20,14.2,16.4,12.6
1987/12/21,13.1,15.0,12.0
1987/12/22,13.1,16.0,9.4
1987/12/23,14.2,17.0,10.9
1987/12/24,13.4,16.3,9.7
1987/12/25,15.9,18.4,10.3
1987/12/26,17.4,19.2,16.0
1987/12/27,17.9,20.0,16.8
1987/12/28,16.8,19.0,15.3
1987/12/29,18.0,19.7,16.3
1987/12/30,16.5,19.5,11.9
1987/12/31,11.8,15.1,9.3
1988/1/1,13.7,17.0,8.7
1988/1/2,15.9,17.4,14.4
1988/1/3,15.0,16.5,11.7
1988/1/4,16.0,19.3,10.3
1988/1/5,14.0,17.3,11.3
1988/1/6,10.5,13.7,7.1
1988/1/7,12.8,18.4,7.2
1988/1/8,14.2,18.5,12.5
1988/1/9,12.5,15.2,9.4
1988/1/10,8.1,9.8,6.8
1988/1/11,8.3,10.0,6.1
1988/1/12,10.5,13.4,5.0
1988/1/13,10.7,15.2,7.2
1988/1/14,12.5,16.2,6.7
1988/1/15,16.5,18.5,14.2
1988/1/16,14.4,17.1,12.7
1988/1/17,11.8,14.2,10.6
1988/1/18,10.6,12.6,8.9
1988/1/19,9.6,12.2,5.1
1988/1/20,11.7,15.7,8.2
1988/1/21,15.5,17.4,9.6
1988/1/22,18.0,20.7,14.8
1988/1/23,14.0,18.8,8.2
1988/1/24,7.5,9.1,4.6
1988/1/25,10.9,12.6,8.6
1988/1/26,10.9,12.4,9.7
1988/1/27,10.4,12.5,9.4
1988/1/28,11.0,13.6,9.3
1988/1/29,13.3,16.9,10.2
1988/1/30,11.6,13.3,10.1
1988/1/31,11.1,13.4,9.7
1988/2/1,9.3,12.9,6.0
1988/2/2,11.8,13.9,4.9
1988/2/3,5.9,11.0,4.2
1988/2/4,8.8,11.2,5.3
1988/2/5,16.1,18.3,11.2
1988/2/6,16.1,19.2,11.5
1988/2/7,7.5,11.7,6.2
1988/2/8,7.4,9.0,6.1
1988/2/9,8.9,11.5,5.7
1988/2/10,8.1,10.0,6.3
1988/2/11,7.5,10.3,4.8
1988/2/12,10.2,11.7,7.8
1988/2/13,10.0,12.0,8.8
1988/2/14,9.8,13.3,6.3
1988/2/15,8.5,11.2,6.6
1988/2/16,8.0,10.6,5.6
1988/2/17,7.7,10.7,6.2
1988/2/18,6.8,9.1,4.5
1988/2/19,7.4,10.2,3.1
1988/2/20,10.4,13.5,7.5
1988/2/21,9.6,12.3,7.5
1988/2/22,9.0,11.4,7.1
1988/2/23,14.4,17.8,8.8
1988/2/24,12.3,15.0,10.4
1988/2/25,11.5,12.6,9.9
1988/2/26,11.2,12.9,10.0
1988/2/27,10.5,13.5,7.8
1988/2/28,9.6,13.6,7.3
1988/2/29,11.2,14.4,7.6
1988/3/1,14.5,18.3,10.7
1988/3/2,12.8,14.6,10.8
1988/3/3,10.6,14.4,7.1
1988/3/4,6.8,8.9,5.3
1988/3/5,9.8,12.8,4.3
1988/3/6,10.9,13.1,9.0
1988/3/7,8.8,11.6,7.4
1988/3/8,8.6,11.3,6.7
1988/3/9,9.2,12.3,7.6
1988/3/10,9.9,14.2,7.1
1988/3/11,13.7,16.3,8.1
1988/3/12,15.6,19.5,11.9
1988/3/13,13.7,16.6,10.6
1988/3/14,17.4,19.6,14.9
1988/3/15,15.9,20.4,9.9
1988/3/16,10.0,11.8,7.9
1988/3/17,12.1,14.5,10.8
1988/3/18,14.6,18.6,12.1
1988/3/19,13.7,18.7,9.7
1988/3/20,14.4,18.4,12.7
1988/3/21,12.5,14.4,10.9
1988/3/22,16.7,19.5,14.3
1988/3/23,13.6,16.0,12.8
1988/3/24,12.1,15.8,9.6
1988/3/25,14.2,16.5,9.6
1988/3/26,15.1,18.8,9.5
1988/3/27,11.6,14.9,10.0
1988/3/28,12.2,13.4,10.6
1988/3/29,13.9,17.2,12.1
1988/3/30,13.3,14.5,12.4
1988/3/31,12.3,13.2,11.1
