ダウンロードした時刻：2017/07/24 15:46:54

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,4.0,9.6,-1.0
1984/1/2,4.3,10.5,-1.8
1984/1/3,5.8,13.2,1.9
1984/1/4,4.3,7.7,2.0
1984/1/5,3.3,7.5,0.9
1984/1/6,3.4,8.2,-3.8
1984/1/7,4.8,8.9,0.5
1984/1/8,5.0,8.3,0.3
1984/1/9,7.1,10.9,3.8
1984/1/10,8.7,15.0,0.7
1984/1/11,6.8,10.3,2.2
1984/1/12,3.2,9.3,-1.9
1984/1/13,5.2,10.3,-1.1
1984/1/14,6.4,12.6,1.5
1984/1/15,4.7,11.0,0.8
1984/1/16,0.6,3.8,-1.6
1984/1/17,1.2,4.3,-1.6
1984/1/18,0.8,5.7,-3.1
1984/1/19,2.6,5.2,0.1
1984/1/20,3.9,6.9,1.1
1984/1/21,3.7,6.1,1.8
1984/1/22,4.7,7.3,1.5
1984/1/23,2.8,6.6,-0.8
1984/1/24,2.7,7.1,-2.2
1984/1/25,1.8,4.6,0.8
1984/1/26,1.1,3.9,-0.7
1984/1/27,1.2,4.4,-0.6
1984/1/28,2.3,5.4,0.3
1984/1/29,2.7,6.0,-0.3
1984/1/30,2.7,5.2,0.3
1984/1/31,3.0,5.2,0.1
1984/2/1,3.7,8.4,-0.2
1984/2/2,3.3,8.0,0.5
1984/2/3,1.0,3.0,-0.6
1984/2/4,1.8,5.5,-1.8
1984/2/5,2.8,6.7,-1.6
1984/2/6,0.9,5.1,-3.0
1984/2/7,-0.6,2.5,-2.9
1984/2/8,0.6,4.3,-2.4
1984/2/9,0.8,4.3,-2.2
1984/2/10,1.4,6.2,-3.5
1984/2/11,3.2,5.3,0.4
1984/2/12,3.6,4.8,1.8
1984/2/13,4.1,9.9,-1.4
1984/2/14,4.2,8.9,0.0
1984/2/15,4.0,8.5,-2.4
1984/2/16,5.1,8.4,2.5
1984/2/17,4.5,5.9,2.9
1984/2/18,5.4,9.2,2.9
1984/2/19,3.2,8.1,-1.4
1984/2/20,4.0,10.2,-2.1
1984/2/21,5.6,10.8,-0.5
1984/2/22,5.0,8.0,0.8
1984/2/23,8.5,10.6,5.2
1984/2/24,7.7,10.1,4.4
1984/2/25,6.2,8.9,3.1
1984/2/26,8.1,11.6,6.0
1984/2/27,3.8,6.6,1.8
1984/2/28,3.7,7.4,0.6
1984/2/29,1.7,5.5,-1.1
1984/3/1,2.2,7.9,-2.9
1984/3/2,5.6,11.8,0.7
1984/3/3,3.1,7.5,-0.1
1984/3/4,2.9,6.5,-1.1
1984/3/5,3.7,8.6,-0.6
1984/3/6,3.9,7.7,-1.2
1984/3/7,4.2,9.0,-0.4
1984/3/8,5.1,10.1,-0.6
1984/3/9,5.8,9.9,0.6
1984/3/10,6.8,13.3,4.2
1984/3/11,4.9,9.7,-0.3
1984/3/12,7.3,17.0,-2.3
1984/3/13,7.4,10.6,3.8
1984/3/14,5.9,7.4,5.0
1984/3/15,6.1,7.5,4.4
1984/3/16,10.1,14.9,6.1
1984/3/17,9.1,13.6,6.2
1984/3/18,9.2,13.7,2.5
1984/3/19,5.6,7.8,3.6
1984/3/20,7.9,13.0,2.7
1984/3/21,5.8,8.9,2.5
1984/3/22,3.9,8.1,-0.4
1984/3/23,5.2,10.5,-1.5
1984/3/24,7.8,11.2,5.3
1984/3/25,9.7,14.2,5.3
1984/3/26,9.7,15.2,5.6
1984/3/27,9.2,14.5,3.4
1984/3/28,10.3,17.5,5.3
1984/3/29,9.3,15.1,2.0
1984/3/30,11.5,19.3,4.6
1984/3/31,13.0,17.6,9.4
1984/4/1,10.4,12.3,9.1
1984/4/2,10.0,13.9,7.2
1984/4/3,11.2,14.5,5.3
1984/4/4,11.3,13.8,10.4
1984/4/5,15.9,23.4,11.0
1984/4/6,11.7,16.5,7.2
1984/4/7,8.5,14.3,3.4
1984/4/8,9.8,16.1,1.2
1984/4/9,9.6,12.1,6.6
1984/4/10,11.4,12.7,9.8
1984/4/11,14.6,20.1,11.1
1984/4/12,11.9,16.7,5.5
1984/4/13,12.0,17.1,7.2
1984/4/14,12.1,18.6,4.7
1984/4/15,13.8,19.1,6.6
1984/4/16,16.5,23.3,10.1
1984/4/17,17.3,24.4,10.0
1984/4/18,19.2,24.7,13.3
1984/4/19,14.3,20.0,10.6
1984/4/20,12.5,16.9,10.1
1984/4/21,11.9,14.2,7.8
1984/4/22,12.5,17.2,8.5
1984/4/23,12.1,18.5,6.3
1984/4/24,13.8,21.2,6.5
1984/4/25,15.8,20.8,9.7
1984/4/26,15.2,18.0,13.5
1984/4/27,16.1,20.9,11.3
1984/4/28,16.2,22.5,10.7
1984/4/29,17.2,18.8,15.5
1984/4/30,15.7,17.5,14.4
1984/5/1,15.2,18.9,12.2
