ダウンロードした時刻：2019/10/10 16:00:08

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.9,16.3,5.2
2001/12/2,11.0,17.5,6.8
2001/12/3,11.4,16.9,6.2
2001/12/4,11.7,18.3,6.6
2001/12/5,10.9,15.6,5.1
2001/12/6,12.3,16.3,8.1
2001/12/7,8.6,14.8,4.5
2001/12/8,8.2,14.7,3.6
2001/12/9,9.1,16.0,4.9
2001/12/10,8.0,12.9,4.4
2001/12/11,5.9,12.6,1.1
2001/12/12,7.6,15.2,0.9
2001/12/13,12.9,18.7,9.1
2001/12/14,8.2,13.1,5.8
2001/12/15,7.0,10.1,4.4
2001/12/16,6.3,12.1,1.2
2001/12/17,7.2,11.5,2.2
2001/12/18,7.3,13.7,2.5
2001/12/19,6.3,12.5,1.1
2001/12/20,7.3,13.2,2.0
2001/12/21,7.6,8.9,6.0
2001/12/22,6.9,11.5,1.1
2001/12/23,4.7,11.1,-0.1
2001/12/24,6.3,11.5,1.7
2001/12/25,5.6,10.6,2.1
2001/12/26,6.9,11.1,2.4
2001/12/27,6.0,12.1,1.5
2001/12/28,7.3,12.0,3.0
2001/12/29,6.0,13.4,1.5
2001/12/30,7.4,11.0,2.4
2001/12/31,5.0,11.0,0.1
2002/1/1,8.4,15.8,1.5
2002/1/2,4.4,9.5,0.0
2002/1/3,3.6,7.1,0.8
2002/1/4,7.5,13.8,-0.3
2002/1/5,8.6,12.0,4.9
2002/1/6,5.2,9.5,0.9
2002/1/7,4.1,6.6,-0.3
2002/1/8,6.1,10.3,2.1
2002/1/9,5.6,9.7,1.0
2002/1/10,5.5,11.8,-0.3
2002/1/11,8.4,17.0,2.3
2002/1/12,8.0,14.2,3.0
2002/1/13,9.1,16.6,3.5
2002/1/14,8.9,13.4,4.4
2002/1/15,11.5,13.8,8.4
2002/1/16,13.3,17.1,11.1
2002/1/17,10.9,15.7,7.4
2002/1/18,6.0,10.0,2.3
2002/1/19,6.2,10.2,1.0
2002/1/20,8.7,12.0,6.8
2002/1/21,13.4,16.7,9.3
2002/1/22,6.1,10.9,1.0
2002/1/23,4.1,8.5,0.1
2002/1/24,4.6,10.2,-0.8
2002/1/25,5.1,11.0,0.2
2002/1/26,5.4,10.8,1.0
2002/1/27,10.1,13.8,6.9
2002/1/28,7.7,12.5,3.4
2002/1/29,5.2,8.9,2.4
2002/1/30,5.2,10.1,-0.1
2002/1/31,4.6,9.3,0.0
2002/2/1,3.7,10.2,-1.6
2002/2/2,5.8,10.4,0.7
2002/2/3,7.9,10.9,5.8
2002/2/4,7.3,13.1,2.0
2002/2/5,7.9,11.4,4.2
2002/2/6,8.4,14.6,3.7
2002/2/7,8.1,15.4,3.2
2002/2/8,7.5,13.3,1.5
2002/2/9,9.5,14.4,2.7
2002/2/10,4.9,10.0,1.8
2002/2/11,4.4,9.2,0.4
2002/2/12,4.6,9.9,0.1
2002/2/13,5.9,11.5,0.0
2002/2/14,5.3,10.4,0.4
2002/2/15,4.5,11.0,-1.0
2002/2/16,4.8,11.5,-1.5
2002/2/17,6.5,9.7,3.7
2002/2/18,7.3,12.6,3.1
2002/2/19,4.8,8.3,2.4
2002/2/20,6.4,13.5,-0.2
2002/2/21,8.8,15.0,2.0
2002/2/22,10.2,14.7,6.7
2002/2/23,9.6,15.0,4.0
2002/2/24,9.6,16.0,4.3
2002/2/25,7.0,12.7,1.6
2002/2/26,9.6,14.8,4.2
2002/2/27,9.8,12.8,6.5
2002/2/28,11.1,13.0,9.6
2002/3/1,13.0,18.4,7.9
2002/3/2,12.2,16.8,7.2
2002/3/3,9.6,16.2,4.4
2002/3/4,8.3,15.8,2.2
2002/3/5,8.9,12.1,5.1
2002/3/6,13.1,18.3,8.9
2002/3/7,8.6,12.5,4.4
2002/3/8,6.7,12.9,1.1
2002/3/9,7.3,14.3,0.6
2002/3/10,10.1,16.3,2.8
2002/3/11,12.0,17.8,6.6
2002/3/12,11.9,18.0,4.9
2002/3/13,10.7,17.3,5.0
2002/3/14,12.1,18.2,5.0
2002/3/15,16.7,23.2,12.3
2002/3/16,12.3,17.2,8.0
2002/3/17,12.0,17.3,5.8
2002/3/18,13.3,21.0,8.1
2002/3/19,12.5,18.0,3.9
2002/3/20,14.4,19.5,9.0
2002/3/21,15.0,22.9,7.5
2002/3/22,12.2,15.6,10.3
2002/3/23,10.5,14.1,6.6
2002/3/24,9.0,14.2,3.7
2002/3/25,9.0,13.5,4.5
2002/3/26,11.9,16.3,7.4
2002/3/27,12.7,17.3,6.6
2002/3/28,9.8,16.7,3.2
2002/3/29,11.7,14.9,6.1
2002/3/30,16.0,22.6,11.0
2002/3/31,14.1,18.3,8.0
