ダウンロードした時刻：2019/10/10 15:49:26

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,4.4,9.6,-2.4
1981/12/2,-0.7,3.7,-5.5
1981/12/3,-2.2,4.5,-8.4
1981/12/4,-1.3,9.5,-7.8
1981/12/5,4.9,10.1,-5.4
1981/12/6,2.5,7.6,-1.6
1981/12/7,1.9,7.3,-4.7
1981/12/8,1.9,6.4,-1.6
1981/12/9,2.2,8.9,-2.4
1981/12/10,0.6,6.4,-3.3
1981/12/11,3.3,10.5,-6.4
1981/12/12,6.7,12.3,2.4
1981/12/13,1.1,5.8,-2.1
1981/12/14,-1.9,0.6,-3.6
1981/12/15,-2.2,3.5,-5.5
1981/12/16,-2.1,5.6,-8.3
1981/12/17,-1.1,7.7,-7.2
1981/12/18,-0.6,6.8,-6.3
1981/12/19,3.8,10.3,-5.3
1981/12/20,2.3,7.3,-2.8
1981/12/21,-0.5,6.8,-5.9
1981/12/22,1.5,10.2,-6.0
1981/12/23,6.7,11.4,-1.8
1981/12/24,2.3,6.9,-3.7
1981/12/25,0.8,9.2,-6.5
1981/12/26,2.3,9.0,-5.6
1981/12/27,5.0,14.9,-1.9
1981/12/28,2.7,12.0,-3.5
1981/12/29,7.1,14.1,-2.4
1981/12/30,2.6,7.5,-0.9
1981/12/31,-0.1,3.9,-2.8
1982/1/1,0.4,8.3,-3.5
1982/1/2,1.0,7.3,-4.6
1982/1/3,2.7,7.2,-4.4
1982/1/4,9.8,13.6,3.5
1982/1/5,5.4,11.9,0.4
1982/1/6,0.7,5.7,-3.2
1982/1/7,-1.7,3.1,-7.5
1982/1/8,-1.6,6.0,-9.9
1982/1/9,3.3,6.3,-0.9
1982/1/10,-0.5,5.3,-4.8
1982/1/11,2.1,9.3,-6.9
1982/1/12,6.5,11.2,2.3
1982/1/13,2.9,9.1,-1.3
1982/1/14,0.3,6.2,-5.4
1982/1/15,-1.6,5.3,-7.0
1982/1/16,-3.0,-0.9,-5.7
1982/1/17,-4.4,2.3,-8.8
1982/1/18,-2.3,2.8,-11.1
1982/1/19,-1.7,0.3,-4.6
1982/1/20,-3.9,2.5,-8.8
1982/1/21,-0.9,9.6,-9.8
1982/1/22,1.2,7.2,-5.8
1982/1/23,1.8,6.4,-4.5
1982/1/24,-2.1,4.7,-8.5
1982/1/25,0.7,4.8,-1.8
1982/1/26,-0.9,4.6,-4.6
1982/1/27,-0.3,7.3,-7.1
1982/1/28,-2.2,1.6,-5.3
1982/1/29,-6.3,-2.4,-10.2
1982/1/30,-6.3,0.7,-11.5
1982/1/31,-3.4,3.2,-12.6
1982/2/1,-1.1,1.6,-4.3
1982/2/2,-4.4,2.0,-9.6
1982/2/3,-3.9,3.3,-10.3
1982/2/4,-1.8,1.4,-3.7
1982/2/5,-4.4,2.2,-9.4
1982/2/6,-2.6,4.3,-10.3
1982/2/7,-4.7,0.3,-9.1
1982/2/8,-5.7,1.7,-11.9
1982/2/9,-2.5,3.1,-9.9
1982/2/10,-2.2,3.3,-7.2
1982/2/11,-2.8,6.1,-10.5
1982/2/12,-0.2,7.6,-5.0
1982/2/13,-0.5,5.6,-4.8
1982/2/14,-1.7,5.4,-6.1
1982/2/15,-2.7,5.2,-8.5
1982/2/16,-0.9,8.9,-8.7
1982/2/17,-1.4,1.5,-4.3
1982/2/18,0.0,7.1,-5.5
1982/2/19,4.6,12.2,-3.4
1982/2/20,8.7,14.0,5.3
1982/2/21,4.1,6.9,1.9
1982/2/22,2.1,7.1,-2.3
1982/2/23,0.5,8.4,-4.3
1982/2/24,0.0,3.7,-2.1
1982/2/25,-0.7,3.7,-4.3
1982/2/26,-2.9,4.9,-8.2
1982/2/27,-1.0,7.3,-9.0
1982/2/28,3.7,12.3,-5.5
1982/3/1,1.4,2.8,-0.1
1982/3/2,-0.6,4.0,-6.1
1982/3/3,-1.9,6.3,-8.2
1982/3/4,3.4,12.3,-6.8
1982/3/5,8.9,15.7,3.3
1982/3/6,2.8,8.7,-1.4
1982/3/7,-0.3,5.4,-4.4
1982/3/8,-0.9,8.0,-6.7
1982/3/9,1.2,9.6,-5.9
1982/3/10,4.5,14.0,-5.0
1982/3/11,5.8,16.2,-3.1
1982/3/12,5.7,13.0,-2.5
1982/3/13,6.5,13.7,2.6
1982/3/14,7.4,16.1,-1.3
1982/3/15,9.2,13.5,6.0
1982/3/16,10.7,17.9,5.0
1982/3/17,5.2,13.2,0.7
1982/3/18,2.9,8.2,-0.4
1982/3/19,4.2,10.8,-2.0
1982/3/20,4.4,8.7,0.3
1982/3/21,4.7,8.3,0.8
1982/3/22,6.4,17.0,-1.0
1982/3/23,11.2,22.2,-1.0
1982/3/24,3.4,9.6,-1.2
1982/3/25,-0.1,6.6,-4.4
1982/3/26,-0.5,7.3,-6.1
1982/3/27,0.4,8.9,-6.1
1982/3/28,1.2,10.7,-5.8
1982/3/29,3.9,16.0,-5.9
1982/3/30,9.3,20.9,-3.3
1982/3/31,9.4,15.0,4.2
