ダウンロードした時刻：2019/10/10 16:04:07

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,7.2,8.7,5.9
1983/12/2,11.4,16.1,5.9
1983/12/3,9.6,13.6,6.6
1983/12/4,7.3,9.4,6.0
1983/12/5,9.0,11.4,5.2
1983/12/6,6.2,10.1,3.4
1983/12/7,7.0,14.3,2.1
1983/12/8,7.0,12.5,2.9
1983/12/9,7.9,14.0,3.1
1983/12/10,10.6,16.4,3.3
1983/12/11,7.3,12.7,2.6
1983/12/12,6.0,10.1,2.8
1983/12/13,10.2,15.2,3.5
1983/12/14,9.4,13.4,3.4
1983/12/15,6.1,10.3,2.9
1983/12/16,5.4,9.9,2.2
1983/12/17,2.1,4.5,0.3
1983/12/18,1.3,3.0,0.4
1983/12/19,4.5,8.1,1.2
1983/12/20,5.2,8.6,2.0
1983/12/21,5.1,10.3,0.9
1983/12/22,7.7,9.0,5.5
1983/12/23,2.1,7.2,0.6
1983/12/24,1.5,4.5,0.1
1983/12/25,-0.1,1.5,-1.6
1983/12/26,0.5,2.9,-0.7
1983/12/27,1.0,3.7,-0.9
1983/12/28,1.5,4.1,0.2
1983/12/29,1.3,4.4,0.0
1983/12/30,2.3,6.7,-1.6
1983/12/31,2.6,5.5,0.8
1984/1/1,3.4,7.8,-0.2
1984/1/2,3.8,7.1,1.7
1984/1/3,4.5,6.5,2.1
1984/1/4,1.7,5.5,0.4
1984/1/5,0.7,2.5,-0.4
1984/1/6,1.8,4.9,-1.0
1984/1/7,1.3,2.7,0.2
1984/1/8,2.1,6.1,-0.8
1984/1/9,3.3,6.7,-0.4
1984/1/10,7.4,11.9,2.4
1984/1/11,4.4,6.3,2.0
1984/1/12,4.0,7.2,1.2
1984/1/13,3.4,6.7,1.0
1984/1/14,5.4,9.8,0.3
1984/1/15,4.1,7.3,0.4
1984/1/16,0.1,1.9,-1.3
1984/1/17,0.6,3.1,-1.1
1984/1/18,1.3,4.8,-1.1
1984/1/19,1.5,3.7,-0.1
1984/1/20,2.0,4.8,-0.2
1984/1/21,3.2,6.5,0.2
1984/1/22,2.1,5.4,0.9
1984/1/23,2.3,6.2,0.5
1984/1/24,1.1,4.3,-0.3
1984/1/25,0.4,2.3,-0.7
1984/1/26,-0.8,0.8,-2.0
1984/1/27,-0.2,1.8,-1.4
1984/1/28,-0.1,2.2,-2.0
1984/1/29,0.5,3.9,-2.4
1984/1/30,1.2,5.2,-3.1
1984/1/31,1.2,2.5,0.3
1984/2/1,3.4,6.8,0.5
1984/2/2,3.1,6.0,0.4
1984/2/3,-0.8,1.5,-2.2
1984/2/4,-0.3,2.7,-2.8
1984/2/5,1.3,4.7,-3.0
1984/2/6,-1.4,1.8,-4.6
1984/2/7,-3.2,-1.2,-4.4
1984/2/8,-1.8,1.4,-4.1
1984/2/9,-1.7,0.5,-3.0
1984/2/10,0.3,4.0,-2.3
1984/2/11,-0.4,4.9,-5.8
1984/2/12,-0.9,3.4,-5.3
1984/2/13,0.9,5.0,-3.4
1984/2/14,2.8,6.5,0.1
1984/2/15,0.9,4.8,-2.1
1984/2/16,1.2,5.6,-3.4
1984/2/17,0.8,1.7,-1.7
1984/2/18,3.1,4.5,0.6
1984/2/19,2.3,4.8,-1.6
1984/2/20,2.9,10.6,-4.5
1984/2/21,3.6,8.6,-1.1
1984/2/22,3.6,9.0,-1.9
1984/2/23,5.9,7.2,3.4
1984/2/24,5.8,7.7,4.3
1984/2/25,5.8,7.9,3.8
1984/2/26,5.4,9.0,4.1
1984/2/27,1.4,5.3,-0.8
1984/2/28,0.4,3.0,-1.8
1984/2/29,-0.5,0.9,-1.6
1984/3/1,-0.5,2.7,-3.3
1984/3/2,1.7,4.3,-1.2
1984/3/3,1.3,4.1,-0.5
1984/3/4,0.4,4.0,-1.5
1984/3/5,2.4,6.4,-2.1
1984/3/6,1.5,3.4,-0.6
1984/3/7,2.6,7.1,-1.6
1984/3/8,3.4,8.7,-0.3
1984/3/9,3.7,8.1,-1.4
1984/3/10,3.6,8.4,1.5
1984/3/11,1.8,6.1,-0.8
1984/3/12,6.6,11.8,-0.4
1984/3/13,5.2,7.4,2.5
1984/3/14,3.9,6.0,0.6
1984/3/15,4.8,8.7,-1.2
1984/3/16,8.0,11.4,5.0
1984/3/17,5.5,8.4,2.4
1984/3/18,5.1,9.6,-0.6
1984/3/19,3.3,4.2,2.0
1984/3/20,4.7,10.2,0.4
1984/3/21,2.4,5.7,-0.3
1984/3/22,2.9,6.0,-1.5
1984/3/23,3.7,8.8,-3.4
1984/3/24,7.8,13.1,4.6
1984/3/25,8.6,14.5,3.3
1984/3/26,5.3,8.9,0.0
1984/3/27,6.5,14.4,-1.6
1984/3/28,6.9,10.8,3.5
1984/3/29,10.5,18.4,2.7
1984/3/30,12.3,19.5,4.2
1984/3/31,7.6,11.6,6.5
