ダウンロードした時刻：2019/10/10 15:36:17

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,4.4,6.4,2.9
1995/12/2,5.7,8.3,2.7
1995/12/3,6.4,9.6,3.8
1995/12/4,3.8,8.6,0.2
1995/12/5,4.0,10.1,1.5
1995/12/6,2.6,5.4,0.7
1995/12/7,3.9,6.0,1.9
1995/12/8,2.0,4.3,-0.1
1995/12/9,2.3,5.2,-1.8
1995/12/10,3.8,7.0,1.8
1995/12/11,5.6,8.3,2.9
1995/12/12,4.2,5.8,3.1
1995/12/13,3.2,4.3,0.6
1995/12/14,3.4,6.6,0.7
1995/12/15,1.8,4.0,-0.7
1995/12/16,0.5,2.5,-1.1
1995/12/17,0.5,2.4,-1.7
1995/12/18,1.5,2.8,-0.4
1995/12/19,2.0,3.3,1.2
1995/12/20,1.9,3.8,0.5
1995/12/21,2.3,4.0,0.6
1995/12/22,3.5,5.4,2.1
1995/12/23,4.8,7.2,2.3
1995/12/24,2.9,7.2,0.2
1995/12/25,-1.1,2.5,-3.7
1995/12/26,-1.3,1.7,-4.8
1995/12/27,-1.0,1.1,-3.1
1995/12/28,-0.7,1.8,-4.0
1995/12/29,1.9,5.2,-2.0
1995/12/30,2.0,3.4,-0.6
1995/12/31,4.0,6.9,1.2
1996/1/1,-1.7,2.9,-4.0
1996/1/2,-0.8,1.8,-3.0
1996/1/3,0.6,7.7,-4.6
1996/1/4,-2.0,0.3,-4.5
1996/1/5,1.8,2.7,0.2
1996/1/6,1.5,2.7,-1.2
1996/1/7,2.5,4.8,-1.2
1996/1/8,1.5,6.3,-1.8
1996/1/9,-4.6,-0.7,-6.4
1996/1/10,-0.5,2.1,-4.7
1996/1/11,3.5,5.7,0.9
1996/1/12,3.9,5.2,3.1
1996/1/13,2.5,5.0,-1.6
1996/1/14,1.4,7.1,-4.7
1996/1/15,6.8,10.0,2.7
1996/1/16,1.8,3.9,-1.2
1996/1/17,-1.0,0.8,-3.1
1996/1/18,-1.7,0.0,-2.6
1996/1/19,-2.1,-0.1,-3.4
1996/1/20,0.8,5.5,-3.4
1996/1/21,1.1,3.4,-1.5
1996/1/22,0.5,6.0,-2.6
1996/1/23,-0.4,2.8,-4.2
1996/1/24,-4.1,-0.7,-5.9
1996/1/25,-1.5,0.9,-5.6
1996/1/26,-1.7,0.7,-4.2
1996/1/27,1.6,3.8,-0.7
1996/1/28,1.5,3.8,-1.3
1996/1/29,1.3,3.7,-1.4
1996/1/30,-3.5,0.0,-6.2
1996/1/31,-5.5,-3.4,-7.1
1996/2/1,-4.9,-3.0,-6.8
1996/2/2,-5.3,-1.3,-7.6
1996/2/3,-3.1,-0.4,-5.3
1996/2/4,0.7,3.5,-1.7
1996/2/5,2.0,6.1,-1.0
1996/2/6,1.9,3.4,0.3
1996/2/7,1.2,3.1,-0.4
1996/2/8,0.7,3.6,-2.7
1996/2/9,-0.7,2.1,-3.0
1996/2/10,-2.1,-0.8,-3.7
1996/2/11,2.4,6.8,-3.0
1996/2/12,7.9,9.8,6.3
1996/2/13,8.1,11.8,3.3
1996/2/14,8.1,12.0,4.2
1996/2/15,0.9,5.1,-2.9
1996/2/16,-3.7,-2.1,-5.1
1996/2/17,-2.8,-0.1,-5.4
1996/2/18,-2.5,0.9,-4.2
1996/2/19,-3.8,-1.0,-5.3
1996/2/20,-3.3,-0.6,-5.1
1996/2/21,-3.2,-1.1,-4.7
1996/2/22,-2.0,0.1,-3.9
1996/2/23,-1.0,2.3,-3.0
1996/2/24,-1.0,2.7,-4.4
1996/2/25,1.1,3.9,-1.7
1996/2/26,1.9,5.3,-1.4
1996/2/27,3.4,8.9,-0.7
1996/2/28,3.7,6.1,0.7
1996/2/29,3.9,8.6,0.2
1996/3/1,4.1,5.7,3.1
1996/3/2,0.9,4.1,-2.1
1996/3/3,0.0,1.9,-2.4
1996/3/4,0.1,4.0,-2.2
1996/3/5,-1.5,1.0,-3.5
1996/3/6,1.1,3.3,-2.2
1996/3/7,3.6,6.6,0.2
1996/3/8,2.3,5.0,-0.4
1996/3/9,1.9,5.5,0.3
1996/3/10,0.8,2.5,-0.9
1996/3/11,0.1,1.2,-1.5
1996/3/12,0.4,1.6,-1.4
1996/3/13,1.3,5.5,-2.4
1996/3/14,3.3,8.0,-1.8
1996/3/15,5.1,10.0,0.7
1996/3/16,4.6,7.5,2.2
1996/3/17,5.8,9.4,2.5
1996/3/18,2.8,6.4,-0.7
1996/3/19,1.9,4.8,-1.6
1996/3/20,2.5,5.6,-1.5
1996/3/21,5.1,12.9,-3.2
1996/3/22,7.0,8.9,3.9
1996/3/23,1.1,4.2,0.0
1996/3/24,2.3,5.3,-1.4
1996/3/25,4.3,6.5,1.7
1996/3/26,5.4,8.6,0.9
1996/3/27,3.5,8.4,-1.7
1996/3/28,4.6,8.4,0.8
1996/3/29,4.2,8.7,-1.7
1996/3/30,6.8,11.4,1.1
1996/3/31,7.2,11.6,4.7
