ダウンロードした時刻：2017/07/24 15:43:17

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,5.2,8.4,1.8
1998/1/2,6.4,11.0,1.8
1998/1/3,7.2,14.2,0.6
1998/1/4,6.5,11.4,1.1
1998/1/5,4.3,8.2,1.6
1998/1/6,4.2,7.7,1.7
1998/1/7,4.0,6.4,2.4
1998/1/8,3.9,6.2,1.4
1998/1/9,5.7,9.0,0.7
1998/1/10,4.4,9.5,-0.1
1998/1/11,6.2,8.0,4.4
1998/1/12,4.7,7.6,2.1
1998/1/13,5.1,8.9,2.3
1998/1/14,6.5,10.0,3.5
1998/1/15,6.0,7.5,4.9
1998/1/16,7.3,9.5,5.2
1998/1/17,6.9,11.6,1.4
1998/1/18,7.9,10.3,5.9
1998/1/19,1.4,6.0,-1.7
1998/1/20,2.9,6.3,-1.0
1998/1/21,4.3,5.8,1.3
1998/1/22,3.8,6.9,0.7
1998/1/23,2.9,5.5,0.6
1998/1/24,-0.7,1.7,-3.5
1998/1/25,1.3,5.0,-1.0
1998/1/26,2.5,6.3,-0.9
1998/1/27,2.0,4.4,0.3
1998/1/28,2.5,6.7,1.1
1998/1/29,2.9,5.9,0.4
1998/1/30,4.3,9.6,-1.1
1998/1/31,5.5,7.7,3.8
1998/2/1,3.2,6.3,-0.8
1998/2/2,3.4,10.9,-2.2
1998/2/3,5.6,11.3,-0.1
1998/2/4,3.1,7.6,0.4
1998/2/5,2.7,6.4,-0.1
1998/2/6,5.3,10.7,1.2
1998/2/7,5.2,11.0,0.2
1998/2/8,3.3,6.5,0.4
1998/2/9,2.7,7.1,0.2
1998/2/10,4.1,6.2,1.7
1998/2/11,5.4,11.5,-1.1
1998/2/12,14.5,21.7,9.2
1998/2/13,10.7,17.4,5.7
1998/2/14,10.2,17.5,5.9
1998/2/15,5.0,8.2,0.6
1998/2/16,5.6,11.6,-1.0
1998/2/17,5.9,7.8,4.1
1998/2/18,5.7,9.6,1.1
1998/2/19,9.9,17.5,-0.5
1998/2/20,13.2,15.8,10.8
1998/2/21,7.9,10.8,6.2
1998/2/22,6.3,11.2,0.6
1998/2/23,5.6,11.7,-1.3
1998/2/24,8.3,11.1,6.6
1998/2/25,8.7,10.8,7.1
1998/2/26,7.2,8.6,4.3
1998/2/27,7.9,14.4,2.6
1998/2/28,7.1,10.5,4.8
1998/3/1,7.2,8.8,4.7
1998/3/2,5.8,11.5,1.3
1998/3/3,7.5,15.1,0.4
1998/3/4,8.6,14.6,3.0
1998/3/5,6.6,9.8,4.2
1998/3/6,8.1,14.7,1.6
1998/3/7,6.8,9.2,4.7
1998/3/8,6.3,11.6,2.2
1998/3/9,8.5,14.2,2.6
1998/3/10,6.9,9.8,3.5
1998/3/11,8.2,13.9,3.0
1998/3/12,9.3,11.2,7.1
1998/3/13,8.4,13.6,3.6
1998/3/14,10.2,18.1,3.5
1998/3/15,4.4,8.2,1.7
1998/3/16,6.1,12.0,0.1
1998/3/17,7.1,13.5,1.9
1998/3/18,6.3,13.5,0.0
1998/3/19,14.0,18.0,4.8
1998/3/20,10.4,16.4,5.5
1998/3/21,7.4,11.4,4.6
1998/3/22,5.7,9.2,3.6
1998/3/23,6.5,12.2,0.5
1998/3/24,9.2,15.0,4.1
1998/3/25,10.1,16.5,6.2
1998/3/26,11.1,17.3,3.6
1998/3/27,13.2,16.0,11.0
1998/3/28,12.6,18.7,8.1
1998/3/29,13.3,21.6,6.8
1998/3/30,13.7,21.4,6.6
1998/3/31,9.9,14.2,5.9
1998/4/1,5.5,8.5,3.9
1998/4/2,7.0,8.8,5.1
1998/4/3,7.6,13.8,1.9
1998/4/4,10.3,18.0,2.0
1998/4/5,14.1,21.7,6.7
1998/4/6,13.9,16.4,12.4
1998/4/7,12.6,13.3,11.7
1998/4/8,12.8,15.7,10.5
1998/4/9,12.9,14.1,11.5
1998/4/10,14.2,19.6,10.6
1998/4/11,15.5,22.6,8.5
1998/4/12,20.7,27.7,11.7
1998/4/13,22.6,25.2,17.2
1998/4/14,15.0,17.2,13.5
1998/4/15,14.1,17.7,10.9
1998/4/16,13.7,18.9,9.9
1998/4/17,15.5,24.1,9.1
1998/4/18,15.5,21.3,12.0
1998/4/19,16.4,24.4,10.7
1998/4/20,17.8,25.9,10.3
1998/4/21,20.8,26.8,14.6
1998/4/22,21.2,26.5,15.8
1998/4/23,21.6,22.9,20.4
1998/4/24,21.5,25.8,19.4
1998/4/25,15.1,19.7,12.3
1998/4/26,13.7,17.9,9.8
1998/4/27,14.0,19.7,8.4
1998/4/28,17.7,25.4,10.4
1998/4/29,19.6,26.1,15.6
1998/4/30,18.1,25.7,13.5
1998/5/1,23.1,28.4,13.1
