ダウンロードした時刻：2019/10/10 16:13:38

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,11.8,16.1,5.9
1981/12/2,5.1,7.8,3.2
1981/12/3,6.9,11.5,3.0
1981/12/4,9.5,13.4,5.6
1981/12/5,10.8,14.2,7.2
1981/12/6,11.1,14.6,8.1
1981/12/7,8.9,12.3,5.9
1981/12/8,8.6,11.8,5.0
1981/12/9,9.7,12.0,7.9
1981/12/10,9.6,13.1,6.5
1981/12/11,10.5,14.8,7.6
1981/12/12,11.3,13.5,7.8
1981/12/13,9.0,11.1,7.2
1981/12/14,6.0,8.6,4.0
1981/12/15,4.6,6.8,3.1
1981/12/16,7.1,10.8,3.3
1981/12/17,9.1,13.0,6.2
1981/12/18,9.6,13.8,6.1
1981/12/19,13.2,16.9,8.2
1981/12/20,7.9,11.7,5.6
1981/12/21,9.3,12.8,6.8
1981/12/22,10.9,13.9,7.0
1981/12/23,12.4,15.9,9.6
1981/12/24,8.5,11.4,4.7
1981/12/25,8.5,11.8,4.0
1981/12/26,11.9,15.4,7.4
1981/12/27,13.1,17.4,9.8
1981/12/28,13.7,17.8,9.9
1981/12/29,15.0,17.2,12.5
1981/12/30,11.3,15.0,7.6
1981/12/31,9.7,11.5,7.2
1982/1/1,9.4,12.6,6.0
1982/1/2,8.0,11.0,4.8
1982/1/3,8.2,11.9,3.6
1982/1/4,13.5,16.2,9.5
1982/1/5,12.0,16.3,5.8
1982/1/6,7.4,10.6,4.3
1982/1/7,6.4,10.7,1.8
1982/1/8,5.4,8.9,1.0
1982/1/9,9.7,13.5,4.0
1982/1/10,9.0,12.8,5.7
1982/1/11,10.4,13.8,5.4
1982/1/12,14.1,17.0,10.1
1982/1/13,7.3,10.8,3.9
1982/1/14,5.3,9.3,1.4
1982/1/15,6.3,10.5,2.3
1982/1/16,5.4,8.6,3.4
1982/1/17,4.8,8.8,1.2
1982/1/18,5.5,10.7,1.2
1982/1/19,3.6,5.3,2.4
1982/1/20,4.2,7.1,1.6
1982/1/21,6.9,10.2,3.5
1982/1/22,9.1,13.0,5.3
1982/1/23,8.9,11.5,5.7
1982/1/24,7.8,10.9,3.2
1982/1/25,7.7,11.4,4.1
1982/1/26,7.3,11.1,3.2
1982/1/27,7.8,11.1,5.6
1982/1/28,4.3,7.1,1.5
1982/1/29,0.7,3.5,-1.4
1982/1/30,2.5,6.4,-0.3
1982/1/31,4.9,9.0,0.0
1982/2/1,6.2,8.7,4.2
1982/2/2,4.2,8.4,1.6
1982/2/3,6.4,9.8,0.7
1982/2/4,7.6,9.0,5.8
1982/2/5,6.6,10.3,2.9
1982/2/6,6.7,10.5,3.1
1982/2/7,3.0,6.2,1.2
1982/2/8,5.0,9.6,1.7
1982/2/9,5.3,9.5,0.8
1982/2/10,6.0,9.0,3.2
1982/2/11,7.0,10.6,1.7
1982/2/12,8.9,11.3,7.2
1982/2/13,8.4,12.2,5.8
1982/2/14,5.2,9.8,2.1
1982/2/15,5.2,9.6,1.5
1982/2/16,7.8,11.9,2.5
1982/2/17,6.5,7.5,5.6
1982/2/18,8.4,12.6,4.0
1982/2/19,11.1,14.9,7.5
1982/2/20,16.3,20.6,13.1
1982/2/21,11.3,14.1,7.7
1982/2/22,8.9,13.2,5.1
1982/2/23,9.1,12.3,5.9
1982/2/24,7.0,11.9,4.2
1982/2/25,6.3,11.1,3.1
1982/2/26,5.1,9.3,1.9
1982/2/27,7.6,12.0,2.3
1982/2/28,8.8,12.7,6.0
1982/3/1,9.3,12.5,6.6
1982/3/2,6.3,10.0,3.2
1982/3/3,6.2,10.2,2.6
1982/3/4,11.4,14.8,4.9
1982/3/5,15.3,17.0,13.0
1982/3/6,11.7,14.7,8.9
1982/3/7,7.8,11.9,4.8
1982/3/8,7.5,11.2,4.3
1982/3/9,8.5,13.3,3.9
1982/3/10,10.0,14.0,5.0
1982/3/11,12.4,17.2,7.7
1982/3/12,11.8,14.4,8.4
1982/3/13,13.3,17.2,10.3
1982/3/14,13.5,17.1,8.2
1982/3/15,15.9,18.3,13.7
1982/3/16,17.3,20.7,15.4
1982/3/17,14.2,16.7,11.2
1982/3/18,13.6,17.9,8.5
1982/3/19,11.0,13.4,7.6
1982/3/20,12.7,14.1,11.8
1982/3/21,13.3,17.1,10.1
1982/3/22,13.7,18.2,8.0
1982/3/23,17.0,19.7,13.3
1982/3/24,14.4,20.6,6.4
1982/3/25,6.6,10.5,3.9
1982/3/26,7.1,11.7,2.1
1982/3/27,8.7,12.4,4.8
1982/3/28,10.9,15.2,6.3
1982/3/29,12.0,16.2,7.5
1982/3/30,15.1,18.8,9.9
1982/3/31,14.3,17.2,10.9
