ダウンロードした時刻：2019/10/10 16:26:25

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,13.3,16.3,9.0
1981/12/2,8.2,10.3,6.5
1981/12/3,9.5,12.5,6.4
1981/12/4,12.3,16.3,8.5
1981/12/5,14.8,17.9,10.1
1981/12/6,15.3,17.9,12.1
1981/12/7,12.7,14.1,11.7
1981/12/8,11.9,13.9,10.8
1981/12/9,13.3,15.4,11.8
1981/12/10,11.8,15.3,8.8
1981/12/11,13.8,17.6,8.4
1981/12/12,14.5,16.2,12.7
1981/12/13,12.3,14.3,11.0
1981/12/14,9.9,11.5,9.1
1981/12/15,8.8,10.8,4.9
1981/12/16,9.9,13.4,5.4
1981/12/17,12.4,14.2,7.3
1981/12/18,14.9,17.5,13.1
1981/12/19,13.4,15.9,11.2
1981/12/20,11.1,12.6,8.6
1981/12/21,13.0,15.5,11.1
1981/12/22,13.9,18.0,9.1
1981/12/23,14.8,16.1,11.0
1981/12/24,11.0,13.7,7.6
1981/12/25,11.5,15.1,8.3
1981/12/26,13.1,16.7,8.4
1981/12/27,16.4,20.7,10.9
1981/12/28,16.6,20.0,13.6
1981/12/29,15.9,17.8,14.0
1981/12/30,13.3,15.8,10.0
1981/12/31,12.4,13.3,10.6
1982/1/1,10.8,12.2,10.0
1982/1/2,10.6,13.6,8.9
1982/1/3,15.0,17.3,9.4
1982/1/4,16.5,17.4,15.8
1982/1/5,14.3,16.7,11.4
1982/1/6,11.9,15.2,7.3
1982/1/7,10.0,12.3,6.6
1982/1/8,11.2,14.2,6.6
1982/1/9,14.5,16.5,12.0
1982/1/10,13.8,16.1,12.4
1982/1/11,13.6,18.4,7.5
1982/1/12,14.8,17.9,11.8
1982/1/13,11.2,14.4,9.0
1982/1/14,9.4,11.0,8.6
1982/1/15,10.2,12.9,8.4
1982/1/16,8.0,12.0,5.8
1982/1/17,6.0,8.2,4.6
1982/1/18,8.4,12.8,3.7
1982/1/19,6.4,7.9,4.8
1982/1/20,8.5,10.6,6.8
1982/1/21,10.5,12.5,7.8
1982/1/22,14.0,17.2,11.1
1982/1/23,11.5,14.8,8.0
1982/1/24,13.2,15.8,9.0
1982/1/25,12.2,15.4,10.0
1982/1/26,11.1,13.2,9.6
1982/1/27,10.6,12.9,8.9
1982/1/28,6.6,9.2,4.9
1982/1/29,4.5,6.2,3.4
1982/1/30,6.0,9.0,0.9
1982/1/31,9.5,11.8,6.1
1982/2/1,9.5,12.2,8.5
1982/2/2,8.4,11.0,6.9
1982/2/3,10.9,13.4,7.6
1982/2/4,14.2,18.4,10.9
1982/2/5,11.5,14.7,9.9
1982/2/6,8.4,10.1,7.3
1982/2/7,8.3,10.9,6.3
1982/2/8,9.8,13.3,8.0
1982/2/9,10.3,13.2,8.1
1982/2/10,9.8,10.3,8.2
1982/2/11,10.6,13.6,8.0
1982/2/12,11.0,12.1,9.6
1982/2/13,11.7,14.7,8.7
1982/2/14,9.4,11.5,7.2
1982/2/15,9.2,12.7,6.8
1982/2/16,11.7,13.6,8.5
1982/2/17,12.8,14.5,9.7
1982/2/18,12.3,15.1,7.8
1982/2/19,16.8,19.7,12.5
1982/2/20,17.2,19.0,15.1
1982/2/21,14.4,16.9,12.0
1982/2/22,12.5,15.6,10.8
1982/2/23,13.1,16.0,11.2
1982/2/24,11.1,13.7,7.8
1982/2/25,10.3,14.0,5.9
1982/2/26,10.6,13.5,7.3
1982/2/27,11.6,15.0,7.8
1982/2/28,15.1,17.9,12.2
1982/3/1,13.4,15.7,10.7
1982/3/2,10.5,13.1,9.0
1982/3/3,9.8,13.7,5.2
1982/3/4,15.1,18.8,9.1
1982/3/5,17.7,20.6,13.6
1982/3/6,13.7,16.2,12.0
1982/3/7,10.2,12.1,9.0
1982/3/8,10.6,13.1,8.7
1982/3/9,12.2,15.0,10.0
1982/3/10,13.5,17.4,9.1
1982/3/11,15.0,19.1,8.1
1982/3/12,17.0,18.0,15.7
1982/3/13,16.3,19.1,14.1
1982/3/14,17.1,20.4,14.2
1982/3/15,18.3,20.8,16.5
1982/3/16,17.1,19.0,15.3
1982/3/17,16.8,20.3,12.1
1982/3/18,16.7,19.2,15.6
1982/3/19,16.3,18.1,14.4
1982/3/20,17.8,19.8,16.5
1982/3/21,15.6,17.5,14.3
1982/3/22,16.8,21.9,9.9
1982/3/23,19.2,21.7,16.0
1982/3/24,17.9,19.9,13.6
1982/3/25,12.0,14.6,9.8
1982/3/26,13.6,15.7,10.6
1982/3/27,12.5,14.2,10.9
1982/3/28,13.0,14.1,12.3
1982/3/29,14.9,19.2,11.8
1982/3/30,17.5,21.0,13.3
1982/3/31,15.9,19.7,13.4
