ダウンロードした時刻：2019/10/10 16:21:21

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,10.5,14.8,5.9
1990/12/2,8.0,10.8,6.0
1990/12/3,6.7,9.5,4.0
1990/12/4,6.9,12.2,4.0
1990/12/5,7.7,14.8,2.5
1990/12/6,8.9,16.7,3.3
1990/12/7,10.2,17.8,5.0
1990/12/8,10.5,18.6,4.4
1990/12/9,10.1,12.8,6.6
1990/12/10,9.6,13.1,6.9
1990/12/11,8.5,11.8,6.8
1990/12/12,6.9,11.6,3.1
1990/12/13,6.6,10.8,0.7
1990/12/14,10.9,14.9,8.1
1990/12/15,9.2,12.7,4.9
1990/12/16,5.8,10.8,2.1
1990/12/17,4.7,7.9,0.8
1990/12/18,6.7,11.7,3.5
1990/12/19,5.9,8.9,1.8
1990/12/20,7.6,9.5,4.8
1990/12/21,9.6,15.4,5.9
1990/12/22,9.9,15.0,5.3
1990/12/23,6.2,9.0,2.6
1990/12/24,5.0,10.8,0.4
1990/12/25,6.2,11.5,-0.4
1990/12/26,5.5,11.0,1.9
1990/12/27,3.9,7.4,0.3
1990/12/28,3.3,6.1,-1.1
1990/12/29,4.0,7.9,1.2
1990/12/30,5.3,10.0,0.0
1990/12/31,8.7,10.8,5.3
1991/1/1,12.6,16.9,10.2
1991/1/2,8.6,12.1,4.1
1991/1/3,4.2,8.9,1.4
1991/1/4,4.7,7.4,1.8
1991/1/5,4.2,6.5,2.6
1991/1/6,4.2,8.5,0.0
1991/1/7,4.5,10.5,-1.5
1991/1/8,4.4,7.8,2.6
1991/1/9,4.3,9.4,0.1
1991/1/10,5.7,10.6,-0.6
1991/1/11,7.1,8.8,6.0
1991/1/12,6.1,9.1,4.6
1991/1/13,4.3,6.8,2.1
1991/1/14,3.1,6.9,-1.0
1991/1/15,4.1,10.0,-1.1
1991/1/16,5.8,10.1,1.9
1991/1/17,7.8,13.1,3.8
1991/1/18,4.8,10.8,-1.0
1991/1/19,6.3,10.9,1.9
1991/1/20,9.1,12.5,5.9
1991/1/21,11.9,13.8,10.0
1991/1/22,10.3,12.2,8.1
1991/1/23,8.0,11.5,4.7
1991/1/24,7.5,11.1,4.4
1991/1/25,8.2,10.9,6.2
1991/1/26,5.7,9.4,2.5
1991/1/27,4.4,10.0,-0.4
1991/1/28,4.2,8.0,1.3
1991/1/29,5.3,10.7,1.5
1991/1/30,5.5,11.6,0.9
1991/1/31,6.0,10.9,2.8
1991/2/1,5.5,12.2,0.3
1991/2/2,5.5,11.5,1.7
1991/2/3,4.5,9.9,-1.2
1991/2/4,5.7,10.9,2.0
1991/2/5,4.7,10.5,0.4
1991/2/6,4.8,9.3,-0.1
1991/2/7,7.2,12.4,3.4
1991/2/8,7.2,14.8,2.1
1991/2/9,6.3,11.4,0.0
1991/2/10,12.1,15.7,8.4
1991/2/11,9.6,13.6,6.5
1991/2/12,7.7,13.3,3.1
1991/2/13,6.7,10.8,2.9
1991/2/14,9.3,11.3,6.9
1991/2/15,10.6,12.5,7.6
1991/2/16,6.4,9.0,3.5
1991/2/17,5.3,9.4,2.7
1991/2/18,4.2,6.8,1.7
1991/2/19,4.5,6.9,0.2
1991/2/20,2.9,8.1,-0.6
1991/2/21,2.1,6.2,0.2
1991/2/22,1.4,9.2,-3.2
1991/2/23,-0.5,2.7,-3.4
1991/2/24,0.4,4.9,-1.9
1991/2/25,1.3,8.0,-4.0
1991/2/26,2.8,9.9,-3.4
1991/2/27,4.3,9.5,-1.4
1991/2/28,10.2,13.1,7.3
1991/3/1,7.5,12.4,3.7
1991/3/2,6.6,13.2,1.0
1991/3/3,7.0,14.6,0.6
1991/3/4,6.6,9.7,3.2
1991/3/5,12.3,16.8,8.3
1991/3/6,13.5,19.4,8.5
1991/3/7,10.5,14.9,6.5
1991/3/8,11.0,14.8,8.7
1991/3/9,11.5,15.1,7.7
1991/3/10,11.4,19.0,4.3
1991/3/11,11.8,16.8,10.0
1991/3/12,10.7,14.8,8.3
1991/3/13,11.6,19.0,5.9
1991/3/14,8.4,12.1,5.0
1991/3/15,7.3,13.1,2.0
1991/3/16,7.7,11.9,5.4
1991/3/17,8.7,13.9,5.1
1991/3/18,8.6,16.0,1.9
1991/3/19,11.3,18.4,3.2
1991/3/20,14.9,18.0,13.0
1991/3/21,11.3,15.4,8.3
1991/3/22,12.2,15.3,8.4
1991/3/23,12.3,15.7,8.5
1991/3/24,12.7,20.9,6.1
1991/3/25,12.1,13.8,10.0
1991/3/26,13.9,15.4,12.3
1991/3/27,14.7,17.1,13.0
1991/3/28,11.9,13.8,9.6
1991/3/29,12.7,19.3,7.0
1991/3/30,11.7,13.1,10.2
1991/3/31,10.6,15.1,7.0
