ダウンロードした時刻：2019/10/10 15:36:10

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,6.3,8.4,2.3
1989/12/2,7.0,11.4,1.4
1989/12/3,11.6,14.1,8.3
1989/12/4,10.7,15.8,3.8
1989/12/5,4.1,5.6,3.2
1989/12/6,4.0,6.1,1.9
1989/12/7,5.4,8.9,0.3
1989/12/8,4.9,11.7,0.6
1989/12/9,1.0,3.3,-1.2
1989/12/10,3.0,5.3,0.5
1989/12/11,2.9,6.9,0.2
1989/12/12,1.2,3.4,-0.7
1989/12/13,0.7,2.4,-1.3
1989/12/14,0.8,3.2,-3.3
1989/12/15,5.1,7.7,2.2
1989/12/16,5.6,7.3,3.7
1989/12/17,4.9,7.6,2.4
1989/12/18,-0.8,2.4,-4.2
1989/12/19,-3.4,-2.0,-4.4
1989/12/20,-0.9,0.5,-3.1
1989/12/21,0.2,2.6,-2.0
1989/12/22,1.2,2.7,0.1
1989/12/23,1.3,2.6,0.1
1989/12/24,1.3,6.7,-1.6
1989/12/25,1.2,7.9,-3.3
1989/12/26,5.1,10.2,-0.7
1989/12/27,3.4,6.9,0.4
1989/12/28,1.8,3.3,0.0
1989/12/29,2.8,4.2,0.9
1989/12/30,1.8,6.0,0.4
1989/12/31,0.4,1.4,-0.7
1990/1/1,-0.5,0.7,-1.3
1990/1/2,-0.7,0.9,-2.3
1990/1/3,0.1,1.6,-1.3
1990/1/4,0.2,1.2,-2.1
1990/1/5,2.1,4.0,0.4
1990/1/6,1.6,3.8,-0.4
1990/1/7,0.8,2.0,-2.4
1990/1/8,3.4,6.0,1.1
1990/1/9,3.3,5.6,1.6
1990/1/10,5.2,11.1,1.3
1990/1/11,3.4,10.0,-0.7
1990/1/12,4.2,9.2,-0.6
1990/1/13,-0.6,3.1,-3.9
1990/1/14,-2.4,-0.3,-3.9
1990/1/15,-2.1,0.3,-3.4
1990/1/16,-3.4,0.4,-5.8
1990/1/17,-1.4,1.6,-6.0
1990/1/18,1.3,7.1,-2.7
1990/1/19,0.9,3.4,-2.8
1990/1/20,-3.7,-2.3,-5.5
1990/1/21,-3.4,-0.3,-6.1
1990/1/22,-1.9,1.4,-5.6
1990/1/23,-5.7,-2.7,-10.1
1990/1/24,-5.7,-1.3,-10.0
1990/1/25,-5.8,-3.2,-7.5
1990/1/26,-5.5,-3.7,-7.1
1990/1/27,-3.9,-2.1,-5.0
1990/1/28,-3.2,-0.9,-5.5
1990/1/29,-2.3,0.4,-5.4
1990/1/30,-2.2,0.7,-3.8
1990/1/31,-3.1,-1.2,-5.0
1990/2/1,-2.9,0.7,-4.8
1990/2/2,-2.2,1.4,-6.9
1990/2/3,-0.2,3.9,-5.5
1990/2/4,0.3,3.2,-2.8
1990/2/5,0.1,3.8,-4.3
1990/2/6,1.5,5.0,-3.0
1990/2/7,2.3,4.9,0.1
1990/2/8,0.6,2.4,-0.7
1990/2/9,0.5,2.9,-1.5
1990/2/10,2.1,5.8,-3.6
1990/2/11,7.1,10.1,3.5
1990/2/12,2.9,6.5,0.6
1990/2/13,1.0,2.7,-0.8
1990/2/14,0.9,3.6,-1.1
1990/2/15,3.2,8.1,-2.6
1990/2/16,4.2,8.3,1.9
1990/2/17,4.2,6.9,1.0
1990/2/18,3.4,8.0,-0.5
1990/2/19,5.3,7.7,-0.5
1990/2/20,8.7,11.0,6.8
1990/2/21,5.9,8.5,5.2
1990/2/22,5.3,7.6,3.1
1990/2/23,7.3,12.7,2.4
1990/2/24,6.8,8.4,5.3
1990/2/25,6.0,8.0,4.3
1990/2/26,5.0,7.1,2.9
1990/2/27,2.2,4.4,1.0
1990/2/28,1.5,4.2,-1.9
1990/3/1,1.8,7.9,-3.3
1990/3/2,5.2,10.6,-0.3
1990/3/3,4.5,7.5,1.4
1990/3/4,4.8,7.8,2.7
1990/3/5,4.5,6.1,1.1
1990/3/6,3.9,7.4,1.2
1990/3/7,2.1,3.7,0.5
1990/3/8,2.0,3.2,0.2
1990/3/9,7.0,9.5,3.1
1990/3/10,6.9,10.8,1.8
1990/3/11,8.1,11.8,2.3
1990/3/12,6.6,12.4,1.6
1990/3/13,1.5,2.9,0.0
1990/3/14,4.2,7.6,-0.1
1990/3/15,5.1,8.1,2.9
1990/3/16,4.8,7.4,2.1
1990/3/17,4.7,7.9,1.7
1990/3/18,4.1,9.2,-0.6
1990/3/19,6.1,10.1,-2.0
1990/3/20,7.9,10.0,5.3
1990/3/21,5.2,7.1,2.6
1990/3/22,4.4,8.5,0.5
1990/3/23,6.7,12.8,-0.7
1990/3/24,5.3,8.0,2.1
1990/3/25,1.8,6.2,-0.8
1990/3/26,0.6,4.2,-2.5
1990/3/27,4.5,8.4,-0.9
1990/3/28,8.5,11.6,4.0
1990/3/29,8.4,15.8,0.9
1990/3/30,7.8,13.8,1.0
1990/3/31,10.5,15.4,4.5
