ダウンロードした時刻：2019/10/10 15:57:23

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,11.6,18.7,7.1
2010/12/2,13.1,16.6,7.5
2010/12/3,14.6,20.3,9.2
2010/12/4,10.4,14.3,7.6
2010/12/5,10.8,17.5,5.6
2010/12/6,10.2,15.0,5.0
2010/12/7,10.5,13.2,8.5
2010/12/8,9.5,13.9,7.2
2010/12/9,8.2,11.8,5.9
2010/12/10,8.4,13.2,5.4
2010/12/11,9.1,12.9,4.2
2010/12/12,9.9,13.3,6.4
2010/12/13,8.8,11.6,7.2
2010/12/14,13.5,16.7,11.4
2010/12/15,8.0,11.9,4.2
2010/12/16,4.9,7.6,3.2
2010/12/17,5.4,10.3,2.7
2010/12/18,7.8,12.0,3.9
2010/12/19,6.1,9.9,1.9
2010/12/20,8.2,12.6,4.6
2010/12/21,8.2,12.3,3.6
2010/12/22,12.3,15.5,10.1
2010/12/23,10.9,14.1,9.3
2010/12/24,8.3,11.4,3.5
2010/12/25,3.4,6.0,1.9
2010/12/26,4.2,7.5,1.9
2010/12/27,4.8,9.0,1.1
2010/12/28,6.1,9.6,1.0
2010/12/29,6.6,9.7,3.9
2010/12/30,3.9,5.4,1.9
2010/12/31,2.1,3.7,0.8
2011/1/1,4.0,7.2,0.7
2011/1/2,6.2,10.3,3.3
2011/1/3,4.4,7.9,0.7
2011/1/4,5.4,9.3,2.1
2011/1/5,6.0,10.0,1.1
2011/1/6,4.7,9.2,1.6
2011/1/7,1.9,4.2,0.2
2011/1/8,3.9,9.1,0.5
2011/1/9,6.6,11.3,1.0
2011/1/10,2.3,4.8,0.7
2011/1/11,4.0,8.4,0.0
2011/1/12,4.9,8.9,2.4
2011/1/13,3.7,7.5,1.2
2011/1/14,4.2,9.1,-0.6
2011/1/15,4.7,7.5,-0.1
2011/1/16,0.5,4.8,-3.0
2011/1/17,3.7,7.6,-0.1
2011/1/18,4.7,8.4,2.4
2011/1/19,4.6,8.4,2.1
2011/1/20,4.5,8.6,1.8
2011/1/21,4.1,7.1,2.6
2011/1/22,5.9,10.9,1.9
2011/1/23,5.0,8.3,2.9
2011/1/24,4.5,10.3,0.5
2011/1/25,3.9,7.2,1.8
2011/1/26,4.7,8.4,1.8
2011/1/27,3.3,7.3,1.1
2011/1/28,3.0,5.8,0.4
2011/1/29,3.6,9.6,-1.2
2011/1/30,1.5,5.7,-1.2
2011/1/31,2.0,6.5,-1.4
2011/2/1,4.7,8.8,0.2
2011/2/2,4.5,8.5,1.6
2011/2/3,6.0,11.1,1.4
2011/2/4,7.2,13.6,2.0
2011/2/5,6.6,12.9,1.2
2011/2/6,6.5,10.1,2.3
2011/2/7,8.0,12.7,4.6
2011/2/8,6.0,9.5,1.7
2011/2/9,7.3,11.7,4.7
2011/2/10,4.7,8.1,2.8
2011/2/11,2.4,3.7,0.2
2011/2/12,4.3,8.9,1.5
2011/2/13,2.9,6.5,0.0
2011/2/14,1.5,5.4,-0.2
2011/2/15,4.6,8.1,1.4
2011/2/16,4.1,8.9,-1.2
2011/2/17,6.1,9.3,1.6
2011/2/18,7.5,10.8,4.7
2011/2/19,5.8,9.2,2.8
2011/2/20,6.9,13.4,1.9
2011/2/21,8.6,14.4,4.9
2011/2/22,7.2,11.6,1.7
2011/2/23,9.0,11.9,4.5
2011/2/24,10.2,11.8,8.8
2011/2/25,11.7,19.9,6.9
2011/2/26,7.2,12.8,3.5
2011/2/27,9.6,13.5,4.1
2011/2/28,10.6,13.8,9.0
2011/3/1,8.0,9.5,6.6
2011/3/2,6.9,10.1,3.8
2011/3/3,2.8,6.4,1.0
2011/3/4,2.9,6.9,0.3
2011/3/5,6.1,12.1,2.0
2011/3/6,7.8,14.7,1.3
2011/3/7,7.2,11.8,4.4
2011/3/8,6.9,11.4,4.5
2011/3/9,5.6,11.9,2.2
2011/3/10,4.4,8.5,1.2
2011/3/11,4.7,10.0,1.0
2011/3/12,6.5,9.9,2.2
2011/3/13,8.0,14.0,2.0
2011/3/14,10.6,14.0,5.8
2011/3/15,13.8,20.1,8.4
2011/3/16,4.9,8.5,0.8
2011/3/17,2.5,6.7,0.2
2011/3/18,5.3,10.9,0.2
2011/3/19,9.0,13.7,4.4
2011/3/20,10.5,14.2,6.5
2011/3/21,11.8,14.0,9.1
2011/3/22,10.6,16.0,6.6
2011/3/23,6.2,10.1,3.1
2011/3/24,6.2,12.3,1.9
2011/3/25,6.0,9.9,1.2
2011/3/26,4.5,8.4,1.3
2011/3/27,5.8,10.7,1.3
2011/3/28,7.2,13.1,1.8
2011/3/29,8.7,14.6,2.1
2011/3/30,10.3,16.2,5.1
2011/3/31,11.4,17.5,6.4
