ダウンロードした時刻：2017/07/24 15:44:24

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,3.7,7.6,0.8
2009/1/2,4.6,10.7,0.6
2009/1/3,5.3,9.8,1.3
2009/1/4,6.0,11.5,-0.3
2009/1/5,7.9,11.8,4.4
2009/1/6,6.8,10.4,3.3
2009/1/7,5.4,7.7,2.9
2009/1/8,6.1,10.8,1.2
2009/1/9,6.7,10.6,3.8
2009/1/10,4.5,7.6,2.2
2009/1/11,3.0,6.7,0.3
2009/1/12,2.8,5.6,0.6
2009/1/13,3.1,7.6,-0.3
2009/1/14,2.9,8.7,-2.0
2009/1/15,2.8,7.7,-1.2
2009/1/16,4.1,9.6,-1.4
2009/1/17,5.7,11.0,0.3
2009/1/18,5.8,8.6,2.1
2009/1/19,8.1,12.3,3.1
2009/1/20,5.5,10.3,1.1
2009/1/21,4.5,7.2,2.1
2009/1/22,4.8,7.6,1.1
2009/1/23,7.5,11.8,2.6
2009/1/24,1.5,4.1,-0.4
2009/1/25,2.7,7.8,-1.8
2009/1/26,4.4,9.0,-0.1
2009/1/27,5.0,9.6,0.5
2009/1/28,5.3,10.6,-0.2
2009/1/29,8.3,13.6,2.3
2009/1/30,11.2,13.0,9.2
2009/1/31,9.2,11.8,5.3
2009/2/1,5.6,8.0,2.2
2009/2/2,4.9,9.9,0.0
2009/2/3,4.3,6.1,1.5
2009/2/4,6.5,10.6,2.7
2009/2/5,6.5,12.7,0.7
2009/2/6,7.8,11.2,3.9
2009/2/7,5.5,11.0,0.0
2009/2/8,6.3,11.3,2.2
2009/2/9,4.8,10.3,-0.2
2009/2/10,8.3,13.9,3.6
2009/2/11,8.1,13.8,3.1
2009/2/12,8.5,13.5,4.3
2009/2/13,11.1,16.2,5.6
2009/2/14,14.4,18.9,9.5
2009/2/15,11.1,17.0,4.9
2009/2/16,7.1,10.3,1.6
2009/2/17,3.1,7.4,0.1
2009/2/18,5.4,10.2,0.5
2009/2/19,5.0,8.9,2.5
2009/2/20,6.5,12.5,3.4
2009/2/21,5.7,9.5,2.7
2009/2/22,4.7,7.8,0.8
2009/2/23,9.4,14.0,7.0
2009/2/24,7.5,9.7,5.3
2009/2/25,11.3,15.7,9.0
2009/2/26,9.5,11.9,7.5
2009/2/27,5.4,8.6,3.3
2009/2/28,7.6,12.7,1.8
2009/3/1,9.6,14.7,5.8
2009/3/2,5.9,10.7,2.9
2009/3/3,3.8,4.7,1.2
2009/3/4,7.5,12.2,3.9
2009/3/5,8.1,13.5,2.3
2009/3/6,11.2,15.1,6.7
2009/3/7,8.7,13.5,5.0
2009/3/8,9.0,12.3,5.4
2009/3/9,8.5,11.4,5.2
2009/3/10,10.2,16.4,4.7
2009/3/11,8.3,13.3,4.0
2009/3/12,7.8,12.5,2.0
2009/3/13,10.0,13.4,6.0
2009/3/14,7.9,12.5,3.3
2009/3/15,7.6,12.5,1.4
2009/3/16,10.8,16.5,4.1
2009/3/17,13.7,19.5,6.3
2009/3/18,14.2,21.1,7.3
2009/3/19,15.8,20.8,9.9
2009/3/20,13.3,16.9,6.5
2009/3/21,10.4,16.6,3.2
2009/3/22,13.9,16.4,11.7
2009/3/23,10.4,13.2,7.0
2009/3/24,9.3,14.7,3.7
2009/3/25,7.9,14.3,4.1
2009/3/26,7.9,13.8,1.0
2009/3/27,9.3,15.1,6.2
2009/3/28,7.7,11.7,3.2
2009/3/29,8.3,12.8,5.0
2009/3/30,9.0,14.1,3.3
2009/3/31,9.9,15.5,4.8
2009/4/1,8.7,12.6,5.5
2009/4/2,9.3,14.3,4.9
2009/4/3,10.2,16.1,3.0
2009/4/4,10.4,11.4,9.5
2009/4/5,12.3,18.2,7.2
2009/4/6,13.6,20.0,6.2
2009/4/7,14.9,21.3,7.7
2009/4/8,16.5,23.4,9.5
2009/4/9,17.1,23.9,9.5
2009/4/10,17.5,24.7,10.1
2009/4/11,18.8,26.0,10.7
2009/4/12,18.6,25.2,11.2
2009/4/13,19.2,25.9,13.0
2009/4/14,16.1,18.1,15.0
2009/4/15,17.9,23.4,14.4
2009/4/16,16.1,18.7,14.4
2009/4/17,17.0,21.3,13.8
2009/4/18,18.4,25.7,11.2
2009/4/19,20.0,28.1,12.9
2009/4/20,19.8,24.8,17.6
2009/4/21,20.5,25.3,16.3
2009/4/22,18.0,23.8,13.4
2009/4/23,14.5,18.9,11.1
2009/4/24,14.2,19.4,7.9
2009/4/25,14.8,16.8,13.4
2009/4/26,12.1,15.9,9.1
2009/4/27,12.0,17.4,5.9
2009/4/28,13.3,19.2,7.3
2009/4/29,15.3,22.5,7.3
2009/4/30,16.8,24.6,9.3
2009/5/1,17.9,24.3,11.1
