ダウンロードした時刻：2019/10/10 16:00:58

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,9.9,14.7,5.2
2013/12/2,10.5,15.2,6.5
2013/12/3,10.8,15.6,6.7
2013/12/4,10.9,15.0,7.6
2013/12/5,11.1,15.4,7.0
2013/12/6,12.0,17.7,6.9
2013/12/7,10.7,14.2,8.1
2013/12/8,9.0,10.6,7.4
2013/12/9,8.4,10.7,5.8
2013/12/10,9.8,13.5,5.9
2013/12/11,9.7,13.1,5.7
2013/12/12,9.4,13.0,6.8
2013/12/13,9.3,13.9,4.2
2013/12/14,7.3,11.3,4.4
2013/12/15,7.4,11.6,3.9
2013/12/16,8.2,12.6,5.2
2013/12/17,9.0,12.0,6.8
2013/12/18,6.2,7.8,2.9
2013/12/19,6.1,7.2,3.0
2013/12/20,6.2,11.2,3.3
2013/12/21,6.5,10.7,2.3
2013/12/22,7.5,11.9,4.7
2013/12/23,6.3,8.9,4.0
2013/12/24,7.7,12.0,4.2
2013/12/25,6.5,9.6,3.3
2013/12/26,6.2,10.7,3.5
2013/12/27,6.7,8.8,4.5
2013/12/28,5.6,9.8,2.3
2013/12/29,5.1,9.0,1.1
2013/12/30,5.9,10.5,1.5
2013/12/31,7.2,13.0,1.9
2014/1/1,9.2,14.7,3.2
2014/1/2,8.4,12.6,5.0
2014/1/3,6.3,9.5,4.1
2014/1/4,6.9,11.8,3.3
2014/1/5,5.3,7.3,3.9
2014/1/6,5.4,10.7,2.5
2014/1/7,5.8,9.4,2.1
2014/1/8,7.9,13.5,3.1
2014/1/9,6.5,10.3,2.8
2014/1/10,3.6,6.3,1.7
2014/1/11,4.4,8.0,0.6
2014/1/12,5.2,10.5,1.1
2014/1/13,5.0,9.3,2.0
2014/1/14,4.1,7.5,1.4
2014/1/15,3.0,4.4,1.5
2014/1/16,4.2,8.4,-0.4
2014/1/17,5.6,9.9,3.2
2014/1/18,5.0,7.6,2.7
2014/1/19,4.3,7.9,2.0
2014/1/20,4.8,8.8,1.1
2014/1/21,6.0,10.7,1.9
2014/1/22,5.3,9.2,1.9
2014/1/23,6.0,10.6,1.5
2014/1/24,7.1,13.4,1.9
2014/1/25,8.7,13.2,3.6
2014/1/26,10.3,15.1,2.8
2014/1/27,4.6,7.3,1.1
2014/1/28,8.8,14.8,1.5
2014/1/29,8.2,11.7,4.3
2014/1/30,11.5,16.4,5.5
2014/1/31,10.8,15.5,5.6
2014/2/1,7.8,11.6,4.7
2014/2/2,8.7,12.4,5.6
2014/2/3,12.7,19.1,7.0
2014/2/4,5.2,12.6,0.5
2014/2/5,1.7,5.4,-0.4
2014/2/6,2.5,5.9,-0.5
2014/2/7,4.2,7.7,1.7
2014/2/8,0.3,4.6,-1.1
2014/2/9,5.0,9.0,1.3
2014/2/10,5.7,8.5,3.5
2014/2/11,3.3,4.7,2.2
2014/2/12,4.9,8.9,2.7
2014/2/13,4.9,6.7,2.4
2014/2/14,1.1,4.9,-0.3
2014/2/15,4.2,7.9,-0.3
2014/2/16,7.1,11.0,3.4
2014/2/17,6.4,12.3,3.3
2014/2/18,4.6,8.8,2.3
2014/2/19,4.5,8.6,1.8
2014/2/20,4.5,6.9,0.7
2014/2/21,5.5,10.5,2.5
2014/2/22,5.0,8.9,1.9
2014/2/23,5.8,9.3,3.3
2014/2/24,6.5,9.1,4.1
2014/2/25,7.7,12.5,3.0
2014/2/26,9.0,14.8,3.6
2014/2/27,9.9,14.5,6.4
2014/2/28,14.3,18.9,9.1
2014/3/1,9.1,12.1,6.8
2014/3/2,5.6,7.7,4.7
2014/3/3,6.3,10.0,4.0
2014/3/4,6.9,11.0,2.9
2014/3/5,6.1,8.8,4.3
2014/3/6,5.6,8.9,2.7
2014/3/7,4.1,9.0,1.6
2014/3/8,5.3,9.9,1.1
2014/3/9,6.2,10.4,3.4
2014/3/10,4.9,9.7,2.0
2014/3/11,5.8,10.5,1.0
2014/3/12,10.9,17.1,3.2
2014/3/13,13.6,17.9,8.4
2014/3/14,9.8,17.0,6.4
2014/3/15,7.9,12.2,4.8
2014/3/16,10.6,17.2,4.3
2014/3/17,11.6,17.1,6.9
2014/3/18,14.7,19.8,8.5
2014/3/19,10.5,13.5,9.0
2014/3/20,7.8,10.1,6.4
2014/3/21,9.9,14.2,7.1
2014/3/22,9.2,13.8,4.6
2014/3/23,11.1,16.2,6.5
2014/3/24,12.6,18.7,6.5
2014/3/25,16.2,22.1,11.1
2014/3/26,15.6,18.2,13.3
2014/3/27,12.2,15.4,10.1
2014/3/28,14.4,20.7,8.0
2014/3/29,16.7,21.4,13.2
2014/3/30,16.1,18.3,14.5
2014/3/31,15.8,20.9,12.2
