ダウンロードした時刻：2019/10/10 16:21:57

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,13.4,19.0,8.4
2018/12/2,14.2,19.2,9.6
2018/12/3,16.5,18.0,15.0
2018/12/4,18.8,24.6,16.5
2018/12/5,15.6,18.6,11.5
2018/12/6,13.1,14.8,11.3
2018/12/7,9.1,12.7,5.1
2018/12/8,5.3,7.0,3.6
2018/12/9,5.1,7.6,3.0
2018/12/10,6.7,11.0,2.9
2018/12/11,8.8,11.2,6.6
2018/12/12,8.9,11.3,4.0
2018/12/13,5.3,8.4,2.1
2018/12/14,6.9,10.3,3.5
2018/12/15,5.8,12.4,0.8
2018/12/16,6.6,9.7,3.0
2018/12/17,10.0,13.8,7.6
2018/12/18,8.6,12.2,5.4
2018/12/19,8.4,14.3,2.5
2018/12/20,11.6,14.7,9.6
2018/12/21,13.1,16.8,9.7
2018/12/22,15.0,19.3,12.0
2018/12/23,12.0,13.6,7.9
2018/12/24,8.1,13.0,4.3
2018/12/25,7.5,13.6,1.3
2018/12/26,9.0,10.3,7.4
2018/12/27,8.5,11.6,4.4
2018/12/28,2.7,5.2,-0.1
2018/12/29,2.6,6.3,-1.0
2018/12/30,3.3,6.5,-0.3
2018/12/31,6.2,11.8,2.5
2019/1/1,5.7,8.8,2.7
2019/1/2,5.5,9.2,0.6
2019/1/3,4.3,11.1,-0.8
2019/1/4,5.5,10.6,-0.5
2019/1/5,8.1,11.7,4.7
2019/1/6,7.5,13.1,3.6
2019/1/7,6.7,12.9,1.1
2019/1/8,7.0,11.9,3.6
2019/1/9,6.8,10.3,4.6
2019/1/10,5.9,8.4,4.1
2019/1/11,7.8,11.4,4.2
2019/1/12,9.6,13.5,6.3
2019/1/13,9.8,12.8,6.5
2019/1/14,8.5,14.1,3.5
2019/1/15,7.7,11.6,4.6
2019/1/16,5.9,9.3,2.2
2019/1/17,5.1,9.7,0.1
2019/1/18,6.4,12.0,0.8
2019/1/19,6.7,11.1,0.0
2019/1/20,9.7,14.8,3.9
2019/1/21,6.4,11.8,2.3
2019/1/22,6.3,12.4,1.4
2019/1/23,7.1,13.8,1.5
2019/1/24,7.7,14.6,2.0
2019/1/25,7.3,13.7,2.2
2019/1/26,4.3,7.4,0.9
2019/1/27,3.5,10.3,-2.8
2019/1/28,6.3,11.7,1.1
2019/1/29,6.9,13.3,1.3
2019/1/30,7.9,12.7,1.7
2019/1/31,8.3,9.3,6.8
2019/2/1,5.9,8.4,3.5
2019/2/2,5.9,11.7,0.3
2019/2/3,12.0,18.1,5.5
2019/2/4,10.5,13.7,5.0
2019/2/5,9.0,14.0,4.2
2019/2/6,11.5,16.2,8.3
2019/2/7,10.2,13.2,6.8
2019/2/8,8.0,11.6,5.0
2019/2/9,6.0,8.4,3.7
2019/2/10,7.1,12.3,1.7
2019/2/11,6.8,9.0,3.8
2019/2/12,5.9,12.1,0.5
2019/2/13,7.9,12.8,4.1
2019/2/14,6.8,10.9,3.6
2019/2/15,5.2,7.7,1.9
2019/2/16,6.9,9.5,4.0
2019/2/17,6.5,12.4,2.7
2019/2/18,7.0,11.8,1.1
2019/2/19,12.2,19.4,7.5
2019/2/20,10.4,13.6,7.4
2019/2/21,9.9,14.8,6.3
2019/2/22,9.8,12.9,7.5
2019/2/23,11.2,15.6,7.7
2019/2/24,10.3,16.4,6.1
2019/2/25,10.9,17.3,5.4
2019/2/26,11.1,17.6,5.7
2019/2/27,10.5,13.0,7.2
2019/2/28,11.0,14.9,8.3
2019/3/1,10.2,15.8,5.2
2019/3/2,9.8,13.5,6.2
2019/3/3,10.5,12.1,8.7
2019/3/4,10.9,13.8,7.5
2019/3/5,10.9,18.0,3.9
2019/3/6,11.1,11.8,10.2
2019/3/7,9.4,13.1,5.7
2019/3/8,9.0,15.2,4.0
2019/3/9,10.9,17.9,2.7
2019/3/10,11.9,13.4,10.7
2019/3/11,13.0,18.1,8.8
2019/3/12,11.8,15.7,8.7
2019/3/13,8.8,12.0,5.7
2019/3/14,7.8,12.4,2.4
2019/3/15,8.5,15.5,1.6
2019/3/16,10.1,15.4,6.6
2019/3/17,10.4,17.2,5.5
2019/3/18,9.9,15.6,2.8
2019/3/19,12.7,17.9,8.4
2019/3/20,13.7,20.7,5.9
2019/3/21,17.2,22.7,13.6
2019/3/22,13.0,16.3,9.8
2019/3/23,10.5,15.1,8.0
2019/3/24,9.8,14.9,5.1
2019/3/25,8.2,11.8,4.0
2019/3/26,12.8,19.8,6.8
2019/3/27,14.0,20.9,7.2
2019/3/28,16.6,21.9,13.5
2019/3/29,16.3,22.1,11.8
2019/3/30,16.0,22.4,11.8
2019/3/31,10.3,13.7,8.3
