ダウンロードした時刻：2019/10/10 15:43:48

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,6.6,9.3,4.0
2000/12/2,7.5,12.1,3.6
2000/12/3,7.5,13.0,3.5
2000/12/4,5.3,8.1,2.0
2000/12/5,5.7,11.4,0.2
2000/12/6,4.6,6.7,1.1
2000/12/7,3.5,8.6,0.4
2000/12/8,4.4,7.0,0.9
2000/12/9,7.7,10.2,4.5
2000/12/10,8.0,15.0,3.6
2000/12/11,3.5,6.6,0.2
2000/12/12,2.1,4.0,0.3
2000/12/13,1.7,4.3,0.5
2000/12/14,4.1,7.1,1.8
2000/12/15,6.8,9.6,2.5
2000/12/16,8.4,13.1,5.1
2000/12/17,5.0,9.6,1.3
2000/12/18,6.0,12.1,0.2
2000/12/19,9.2,13.6,6.6
2000/12/20,8.3,10.8,6.1
2000/12/21,7.2,10.0,4.6
2000/12/22,5.2,8.1,2.5
2000/12/23,8.0,13.5,1.9
2000/12/24,4.7,9.4,0.6
2000/12/25,1.8,4.8,0.1
2000/12/26,0.3,1.2,-1.4
2000/12/27,2.6,4.7,0.5
2000/12/28,2.5,4.2,0.5
2000/12/29,3.0,5.6,1.6
2000/12/30,3.4,8.0,-0.4
2000/12/31,4.9,8.7,0.3
2001/1/1,3.5,6.6,1.4
2001/1/2,3.3,6.4,0.3
2001/1/3,1.4,2.5,0.3
2001/1/4,1.3,2.7,-0.1
2001/1/5,2.5,3.7,1.0
2001/1/6,1.6,3.4,-0.3
2001/1/7,1.6,3.6,-0.7
2001/1/8,1.6,3.2,-0.4
2001/1/9,2.7,5.3,-1.6
2001/1/10,5.3,8.8,2.6
2001/1/11,3.3,8.2,0.2
2001/1/12,0.3,1.9,-0.6
2001/1/13,-0.7,1.1,-2.2
2001/1/14,-1.6,0.7,-3.8
2001/1/15,-1.1,1.2,-3.4
2001/1/16,0.1,2.1,-1.5
2001/1/17,0.0,1.6,-1.1
2001/1/18,-0.7,1.2,-2.3
2001/1/19,-0.9,1.3,-3.8
2001/1/20,0.2,3.1,-3.8
2001/1/21,2.9,6.1,0.3
2001/1/22,2.3,3.7,0.7
2001/1/23,0.5,1.5,-0.4
2001/1/24,2.0,4.6,-0.2
2001/1/25,1.1,4.5,-2.8
2001/1/26,2.3,4.1,1.0
2001/1/27,1.9,4.0,0.5
2001/1/28,3.9,6.1,1.3
2001/1/29,2.6,4.8,0.2
2001/1/30,1.5,3.7,-0.1
2001/1/31,2.3,4.0,0.3
2001/2/1,3.5,6.6,1.1
2001/2/2,0.2,1.8,-1.1
2001/2/3,1.0,3.3,-0.8
2001/2/4,0.9,3.5,-1.4
2001/2/5,1.9,7.4,-3.9
2001/2/6,2.0,3.9,0.5
2001/2/7,2.3,4.3,0.0
2001/2/8,1.3,3.6,-1.0
2001/2/9,1.2,4.7,-3.2
2001/2/10,0.9,4.8,-1.5
2001/2/11,0.4,4.9,-1.8
2001/2/12,-0.3,2.1,-3.1
2001/2/13,-0.5,1.0,-1.2
2001/2/14,-1.6,-0.5,-3.0
2001/2/15,-0.5,3.1,-3.0
2001/2/16,0.4,3.3,-1.8
2001/2/17,0.8,2.9,-0.7
2001/2/18,3.8,7.5,0.9
2001/2/19,4.3,7.3,1.4
2001/2/20,2.6,5.9,-0.7
2001/2/21,3.8,9.9,-2.6
2001/2/22,7.9,12.4,4.0
2001/2/23,6.3,13.2,2.5
2001/2/24,3.1,4.1,1.7
2001/2/25,0.9,4.2,-2.0
2001/2/26,1.6,5.9,-1.5
2001/2/27,4.5,10.3,0.4
2001/2/28,6.0,9.0,2.4
2001/3/1,5.7,7.2,2.6
2001/3/2,3.8,6.7,1.6
2001/3/3,5.1,8.1,0.7
2001/3/4,6.5,10.8,2.4
2001/3/5,3.4,5.9,0.7
2001/3/6,5.6,8.3,2.6
2001/3/7,5.0,9.0,0.9
2001/3/8,1.4,4.9,-0.8
2001/3/9,0.4,2.9,-1.8
2001/3/10,-0.1,2.2,-2.0
2001/3/11,0.6,3.1,-1.6
2001/3/12,1.4,5.1,-1.2
2001/3/13,1.7,4.5,-1.6
2001/3/14,6.3,14.6,-0.6
2001/3/15,5.3,10.5,3.3
2001/3/16,5.2,9.4,1.9
2001/3/17,7.0,13.1,-0.1
2001/3/18,8.6,12.6,4.8
2001/3/19,11.4,15.4,7.1
2001/3/20,11.7,18.4,4.8
2001/3/21,8.4,12.4,4.4
2001/3/22,11.4,19.9,1.9
2001/3/23,9.2,13.8,5.0
2001/3/24,10.7,18.6,3.1
2001/3/25,13.5,19.1,7.2
2001/3/26,8.8,12.3,6.5
2001/3/27,5.8,8.2,3.4
2001/3/28,5.7,11.1,3.1
2001/3/29,4.5,6.8,2.9
2001/3/30,5.3,9.3,2.9
2001/3/31,4.4,8.7,2.1
