ダウンロードした時刻：2019/10/10 15:57:56

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,13.5,19.4,7.9
1998/12/2,13.1,15.8,11.2
1998/12/3,9.4,11.8,7.5
1998/12/4,9.4,12.1,6.3
1998/12/5,10.8,12.4,9.3
1998/12/6,12.2,16.6,8.8
1998/12/7,13.5,18.0,9.2
1998/12/8,11.4,12.9,9.0
1998/12/9,8.9,12.7,5.6
1998/12/10,7.6,12.2,4.9
1998/12/11,7.3,10.9,4.1
1998/12/12,6.3,10.0,3.3
1998/12/13,8.6,14.3,2.3
1998/12/14,10.7,14.7,6.4
1998/12/15,11.8,15.5,9.1
1998/12/16,10.7,12.8,9.2
1998/12/17,11.9,16.9,8.2
1998/12/18,10.5,16.1,6.8
1998/12/19,11.0,16.2,5.9
1998/12/20,10.6,15.0,6.4
1998/12/21,8.0,12.7,4.4
1998/12/22,9.8,15.0,4.2
1998/12/23,11.2,15.9,7.9
1998/12/24,8.5,12.9,5.3
1998/12/25,7.4,13.3,3.7
1998/12/26,8.7,15.2,3.9
1998/12/27,8.0,13.0,4.3
1998/12/28,8.1,13.9,3.1
1998/12/29,9.6,15.7,5.1
1998/12/30,8.5,11.8,5.5
1998/12/31,6.2,10.1,3.3
1999/1/1,5.1,9.2,2.2
1999/1/2,6.0,10.1,1.9
1999/1/3,6.7,11.1,3.5
1999/1/4,6.2,11.2,2.8
1999/1/5,6.8,13.3,2.9
1999/1/6,8.5,14.6,2.0
1999/1/7,8.8,13.2,3.4
1999/1/8,2.4,5.3,0.6
1999/1/9,1.3,4.0,-0.7
1999/1/10,3.4,6.6,0.3
1999/1/11,5.0,9.2,2.8
1999/1/12,4.5,7.7,1.9
1999/1/13,5.1,10.2,1.6
1999/1/14,6.2,9.8,3.6
1999/1/15,4.5,5.8,3.3
1999/1/16,6.2,10.0,2.9
1999/1/17,6.5,12.3,2.6
1999/1/18,7.7,14.1,3.5
1999/1/19,7.8,12.0,4.1
1999/1/20,10.0,14.7,6.8
1999/1/21,6.3,10.7,3.1
1999/1/22,6.3,12.0,2.6
1999/1/23,8.9,15.1,3.2
1999/1/24,7.9,10.9,6.4
1999/1/25,8.8,13.3,5.7
1999/1/26,8.8,13.6,5.4
1999/1/27,8.3,12.4,5.2
1999/1/28,8.7,14.1,4.6
1999/1/29,4.7,8.2,2.7
1999/1/30,3.9,8.5,0.2
1999/1/31,6.0,11.2,1.1
1999/2/1,7.0,9.0,5.0
1999/2/2,6.3,10.2,2.2
1999/2/3,1.6,5.5,-2.2
1999/2/4,0.7,6.9,-4.1
1999/2/5,3.0,8.1,-3.1
1999/2/6,4.6,9.2,1.3
1999/2/7,6.4,11.5,1.4
1999/2/8,8.8,14.7,4.6
1999/2/9,8.1,14.2,2.7
1999/2/10,8.3,13.7,4.1
1999/2/11,5.6,7.4,4.6
1999/2/12,4.3,7.8,1.6
1999/2/13,2.2,6.8,-0.9
1999/2/14,2.9,8.8,-1.3
1999/2/15,5.4,10.3,1.4
1999/2/16,7.3,13.6,2.5
1999/2/17,9.5,16.5,2.0
1999/2/18,9.3,14.7,5.0
1999/2/19,7.2,12.4,2.4
1999/2/20,4.5,9.7,0.2
1999/2/21,4.2,9.2,1.0
1999/2/22,4.8,10.0,0.2
1999/2/23,7.4,12.9,3.4
1999/2/24,6.6,9.2,4.6
1999/2/25,9.9,15.7,5.7
1999/2/26,10.5,16.3,5.2
1999/2/27,11.1,17.3,2.2
1999/2/28,5.4,10.8,1.2
1999/3/1,9.1,14.9,3.5
1999/3/2,11.0,16.1,5.3
1999/3/3,11.9,18.1,7.8
1999/3/4,12.1,17.1,6.6
1999/3/5,12.7,14.8,9.9
1999/3/6,11.9,18.0,8.2
1999/3/7,9.8,11.2,7.2
1999/3/8,9.6,14.5,6.8
1999/3/9,8.1,10.5,6.6
1999/3/10,8.2,10.3,6.7
1999/3/11,6.8,9.1,3.6
1999/3/12,8.4,13.6,2.9
1999/3/13,10.0,14.1,4.3
1999/3/14,13.5,19.8,6.8
1999/3/15,15.0,17.2,13.5
1999/3/16,15.8,23.4,11.7
1999/3/17,14.8,19.4,11.4
1999/3/18,16.0,21.3,10.8
1999/3/19,15.5,16.2,14.7
1999/3/20,8.5,14.9,5.1
1999/3/21,7.2,9.1,5.1
1999/3/22,6.4,9.5,1.7
1999/3/23,7.0,12.4,1.0
1999/3/24,10.4,16.1,4.0
1999/3/25,12.5,16.9,8.6
1999/3/26,14.9,18.4,12.7
1999/3/27,13.9,16.7,10.5
1999/3/28,10.6,15.9,5.9
1999/3/29,7.8,12.7,4.4
1999/3/30,8.5,13.2,4.4
1999/3/31,12.2,18.4,7.5
