ダウンロードした時刻：2019/10/10 15:58:06

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,10.3,15.1,5.0
1981/12/2,6.8,12.3,0.8
1981/12/3,5.5,11.1,-1.4
1981/12/4,7.5,14.9,2.1
1981/12/5,10.0,16.1,2.4
1981/12/6,9.3,13.7,3.9
1981/12/7,8.2,13.0,3.6
1981/12/8,7.8,12.8,2.2
1981/12/9,7.0,13.1,1.8
1981/12/10,7.8,13.1,2.0
1981/12/11,7.1,10.4,4.2
1981/12/12,9.3,14.1,3.6
1981/12/13,9.2,13.7,5.5
1981/12/14,5.0,9.9,0.9
1981/12/15,4.1,9.8,0.2
1981/12/16,4.5,11.3,-2.4
1981/12/17,6.3,12.0,0.7
1981/12/18,6.5,12.3,0.2
1981/12/19,9.1,14.7,1.7
1981/12/20,8.9,13.4,3.0
1981/12/21,6.6,13.0,-0.6
1981/12/22,7.8,15.2,1.4
1981/12/23,10.0,16.2,1.7
1981/12/24,11.1,16.0,6.5
1981/12/25,7.7,12.9,3.0
1981/12/26,7.0,12.5,1.2
1981/12/27,8.8,15.0,2.9
1981/12/28,9.2,17.0,2.4
1981/12/29,10.3,15.1,3.4
1981/12/30,11.1,15.0,6.8
1981/12/31,7.9,10.1,4.7
1982/1/1,7.3,13.7,1.8
1982/1/2,7.4,12.6,1.4
1982/1/3,7.7,11.4,3.7
1982/1/4,10.3,11.9,6.8
1982/1/5,13.7,18.5,10.4
1982/1/6,7.6,10.4,4.5
1982/1/7,5.1,11.6,0.5
1982/1/8,2.9,7.1,-1.2
1982/1/9,6.8,12.9,-2.0
1982/1/10,7.3,12.7,1.1
1982/1/11,8.7,13.1,4.8
1982/1/12,10.1,13.1,5.8
1982/1/13,8.2,14.9,2.7
1982/1/14,5.0,10.8,0.4
1982/1/15,5.7,11.2,0.3
1982/1/16,4.8,11.0,-1.2
1982/1/17,4.7,9.0,-0.5
1982/1/18,4.3,8.9,1.2
1982/1/19,4.4,7.7,1.6
1982/1/20,4.0,9.7,-0.2
1982/1/21,4.2,11.7,-2.2
1982/1/22,7.5,13.0,-0.6
1982/1/23,8.4,16.7,1.1
1982/1/24,5.7,11.2,-1.6
1982/1/25,8.7,12.0,2.8
1982/1/26,6.4,10.9,0.5
1982/1/27,7.0,12.5,1.7
1982/1/28,5.1,10.8,-0.3
1982/1/29,2.5,6.7,-1.9
1982/1/30,1.0,6.3,-5.4
1982/1/31,3.4,7.5,-4.1
1982/2/1,7.1,12.9,2.2
1982/2/2,3.8,8.6,-1.7
1982/2/3,4.9,10.3,-0.7
1982/2/4,5.5,8.8,2.7
1982/2/5,5.3,8.4,2.6
1982/2/6,5.4,11.6,0.0
1982/2/7,3.6,7.2,-1.0
1982/2/8,3.1,8.0,-2.3
1982/2/9,4.2,9.3,-2.5
1982/2/10,5.5,10.9,0.6
1982/2/11,4.4,9.9,-2.6
1982/2/12,6.7,10.4,2.8
1982/2/13,7.0,11.7,3.4
1982/2/14,5.8,9.6,1.1
1982/2/15,5.5,10.0,0.7
1982/2/16,6.1,10.9,-0.2
1982/2/17,6.1,8.3,3.9
1982/2/18,8.0,11.9,3.7
1982/2/19,9.1,13.6,4.5
1982/2/20,13.7,21.7,8.9
1982/2/21,10.4,13.4,8.6
1982/2/22,9.2,12.4,6.3
1982/2/23,9.2,11.9,6.0
1982/2/24,6.6,9.0,4.3
1982/2/25,4.9,8.6,1.4
1982/2/26,3.9,9.5,-1.7
1982/2/27,6.5,11.2,0.6
1982/2/28,8.0,12.5,0.8
1982/3/1,8.1,11.9,5.2
1982/3/2,6.5,12.9,0.5
1982/3/3,4.9,10.4,-2.5
1982/3/4,8.9,15.7,-1.0
1982/3/5,12.5,17.7,8.5
1982/3/6,11.9,14.5,8.9
1982/3/7,7.8,12.0,3.9
1982/3/8,6.8,11.8,3.0
1982/3/9,7.5,13.9,0.6
1982/3/10,7.7,13.0,1.2
1982/3/11,9.4,15.5,1.9
1982/3/12,10.6,14.8,3.9
1982/3/13,12.9,17.4,8.6
1982/3/14,11.1,12.9,10.0
1982/3/15,11.4,14.1,9.1
1982/3/16,16.3,20.5,12.1
1982/3/17,12.9,16.8,10.0
1982/3/18,12.1,15.7,9.7
1982/3/19,10.0,13.2,7.9
1982/3/20,9.5,11.6,7.2
1982/3/21,11.6,15.2,8.7
1982/3/22,12.2,18.1,5.1
1982/3/23,14.2,22.0,5.7
1982/3/24,17.5,25.3,10.1
1982/3/25,9.0,12.2,5.9
1982/3/26,8.0,11.1,3.4
1982/3/27,8.1,11.9,5.0
1982/3/28,9.6,14.6,3.9
1982/3/29,9.7,13.5,6.0
1982/3/30,12.9,20.4,4.1
1982/3/31,14.8,20.2,9.9
