ダウンロードした時刻：2019/10/10 15:39:03

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,8.8,16.8,4.4
1993/12/2,7.6,13.6,2.9
1993/12/3,8.6,14.2,4.0
1993/12/4,3.1,4.6,2.3
1993/12/5,2.4,5.1,0.0
1993/12/6,1.0,5.9,-2.8
1993/12/7,2.6,7.5,-1.2
1993/12/8,2.1,7.2,-2.3
1993/12/9,4.5,8.6,1.1
1993/12/10,4.9,7.4,2.8
1993/12/11,4.6,8.7,2.9
1993/12/12,3.6,7.6,0.0
1993/12/13,5.7,10.0,0.7
1993/12/14,2.5,5.5,-1.0
1993/12/15,-1.0,1.2,-2.2
1993/12/16,-0.8,3.1,-4.1
1993/12/17,0.3,3.9,-2.1
1993/12/18,-1.1,0.6,-2.6
1993/12/19,0.5,4.6,-2.7
1993/12/20,-0.4,5.1,-4.9
1993/12/21,3.5,7.3,0.8
1993/12/22,-1.5,1.8,-3.2
1993/12/23,-1.6,0.7,-4.3
1993/12/24,2.0,5.3,0.5
1993/12/25,1.9,3.9,0.3
1993/12/26,0.2,1.9,-1.0
1993/12/27,2.3,7.0,-1.3
1993/12/28,0.3,2.6,-1.1
1993/12/29,1.9,4.9,-1.3
1993/12/30,3.2,7.9,0.1
1993/12/31,3.1,10.4,-0.8
1994/1/1,-0.1,1.2,-1.9
1994/1/2,3.3,7.2,-1.4
1994/1/3,4.3,7.0,2.1
1994/1/4,2.3,5.0,0.2
1994/1/5,-2.1,0.9,-4.6
1994/1/6,-1.7,4.0,-5.0
1994/1/7,-1.7,2.8,-5.4
1994/1/8,-1.9,1.8,-5.0
1994/1/9,1.5,6.9,-2.9
1994/1/10,1.7,6.3,-1.9
1994/1/11,0.1,3.6,-3.1
1994/1/12,1.2,3.3,-1.0
1994/1/13,-0.3,1.8,-1.9
1994/1/14,0.9,6.0,-1.3
1994/1/15,-0.5,2.7,-2.6
1994/1/16,3.1,8.2,-2.0
1994/1/17,3.1,9.7,-1.5
1994/1/18,0.0,2.2,-2.8
1994/1/19,-3.1,-2.1,-4.4
1994/1/20,-1.9,1.1,-5.2
1994/1/21,-2.6,0.9,-6.4
1994/1/22,-0.4,4.1,-5.2
1994/1/23,-0.7,2.0,-3.5
1994/1/24,-2.7,0.1,-4.5
1994/1/25,0.5,5.1,-4.0
1994/1/26,3.5,7.7,0.4
1994/1/27,-0.2,4.3,-4.2
1994/1/28,-2.5,0.0,-4.8
1994/1/29,-2.0,2.2,-4.1
1994/1/30,-3.5,1.1,-6.1
1994/1/31,-3.7,0.9,-8.0
1994/2/1,-1.2,2.7,-5.1
1994/2/2,-2.2,0.8,-3.8
1994/2/3,-3.6,-2.2,-4.8
1994/2/4,-2.0,-0.1,-4.3
1994/2/5,0.5,6.2,-3.7
1994/2/6,1.3,7.2,-2.6
1994/2/7,1.8,7.7,-3.3
1994/2/8,2.6,6.6,-1.7
1994/2/9,3.6,8.1,0.5
1994/2/10,1.2,3.9,-1.9
1994/2/11,-1.1,0.8,-2.5
1994/2/12,-2.1,-1.2,-3.6
1994/2/13,-4.0,-1.2,-5.2
1994/2/14,-1.4,0.5,-4.6
1994/2/15,1.9,5.0,-0.6
1994/2/16,1.5,5.4,-1.1
1994/2/17,0.4,2.5,-1.5
1994/2/18,3.0,8.1,-1.9
1994/2/19,5.0,10.2,0.6
1994/2/20,2.1,8.6,-3.3
1994/2/21,3.2,6.3,-0.3
1994/2/22,0.4,4.3,-1.5
1994/2/23,-1.7,1.0,-3.7
1994/2/24,0.6,5.1,-3.4
1994/2/25,2.6,5.9,0.4
1994/2/26,2.3,6.1,-0.2
1994/2/27,2.0,6.3,-1.3
1994/2/28,1.6,3.8,-1.5
1994/3/1,2.1,6.8,-1.7
1994/3/2,0.7,4.2,-2.8
1994/3/3,2.3,7.9,-3.5
1994/3/4,1.2,5.5,-2.3
1994/3/5,0.2,4.5,-3.1
1994/3/6,-0.7,2.6,-3.0
1994/3/7,1.2,7.5,-4.9
1994/3/8,2.6,6.0,-1.6
1994/3/9,5.0,8.6,2.4
1994/3/10,0.8,4.4,-1.5
1994/3/11,0.1,5.8,-2.6
1994/3/12,1.9,5.7,-0.9
1994/3/13,0.2,4.0,-1.3
1994/3/14,0.7,5.2,-2.4
1994/3/15,0.3,5.3,-3.8
1994/3/16,3.7,9.4,-2.1
1994/3/17,2.8,6.3,0.4
1994/3/18,2.8,8.3,-1.5
1994/3/19,3.7,12.1,-3.9
1994/3/20,2.6,6.5,-0.6
1994/3/21,1.4,5.0,-1.8
1994/3/22,3.3,8.2,-0.8
1994/3/23,2.5,4.7,0.2
1994/3/24,5.3,9.9,2.6
1994/3/25,3.0,8.1,-0.7
1994/3/26,1.7,6.1,-0.8
1994/3/27,3.1,7.0,-0.6
1994/3/28,9.1,14.8,3.4
1994/3/29,4.8,9.5,1.8
1994/3/30,3.7,8.8,-0.7
1994/3/31,4.7,13.0,-2.5
