ダウンロードした時刻：2019/10/10 16:19:03

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,9.0,11.0,7.3
1989/12/2,11.5,13.8,7.5
1989/12/3,13.8,18.3,10.1
1989/12/4,15.3,19.4,10.6
1989/12/5,14.0,18.3,10.6
1989/12/6,12.8,16.7,9.6
1989/12/7,12.3,17.4,9.4
1989/12/8,8.7,11.6,7.7
1989/12/9,8.3,10.6,6.7
1989/12/10,9.3,13.2,5.9
1989/12/11,12.6,15.6,8.8
1989/12/12,13.0,16.1,9.2
1989/12/13,10.4,12.4,8.3
1989/12/14,8.2,10.8,5.3
1989/12/15,8.6,12.0,5.8
1989/12/16,10.2,13.7,7.0
1989/12/17,11.5,14.5,7.9
1989/12/18,11.1,15.0,8.3
1989/12/19,8.1,10.8,5.5
1989/12/20,8.7,12.3,4.7
1989/12/21,10.6,13.3,9.0
1989/12/22,10.2,12.7,7.8
1989/12/23,10.2,12.7,7.3
1989/12/24,9.8,11.3,9.2
1989/12/25,10.6,13.0,8.6
1989/12/26,9.3,11.0,6.2
1989/12/27,5.8,7.0,4.6
1989/12/28,6.2,7.5,4.4
1989/12/29,7.4,9.6,5.8
1989/12/30,6.4,9.5,4.5
1989/12/31,5.3,6.7,4.0
1990/1/1,7.1,9.5,4.7
1990/1/2,7.4,8.7,5.1
1990/1/3,5.5,7.3,4.2
1990/1/4,5.7,8.0,4.0
1990/1/5,6.9,9.1,3.8
1990/1/6,7.9,10.2,5.7
1990/1/7,7.2,10.6,4.1
1990/1/8,7.2,9.2,3.6
1990/1/9,9.7,11.2,8.1
1990/1/10,11.8,14.9,9.5
1990/1/11,9.8,11.8,8.7
1990/1/12,9.6,10.8,8.1
1990/1/13,5.6,9.2,3.2
1990/1/14,5.2,7.8,2.6
1990/1/15,4.1,6.6,1.8
1990/1/16,5.1,7.8,1.6
1990/1/17,6.4,9.7,3.9
1990/1/18,9.7,14.0,4.6
1990/1/19,8.4,11.6,5.7
1990/1/20,4.5,5.7,3.6
1990/1/21,4.3,6.8,2.7
1990/1/22,5.5,8.2,2.7
1990/1/23,0.8,4.3,-0.1
1990/1/24,0.0,2.3,-1.6
1990/1/25,0.5,2.0,-0.8
1990/1/26,1.5,3.6,-0.1
1990/1/27,3.4,6.1,1.4
1990/1/28,4.7,6.9,1.5
1990/1/29,11.2,14.9,6.9
1990/1/30,8.4,10.2,6.4
1990/1/31,5.0,6.4,4.0
1990/2/1,5.5,6.2,4.7
1990/2/2,6.3,8.6,3.4
1990/2/3,7.0,7.7,6.2
1990/2/4,8.0,9.7,6.7
1990/2/5,8.6,12.2,5.6
1990/2/6,8.5,11.3,6.8
1990/2/7,9.4,13.2,5.5
1990/2/8,8.0,9.8,6.9
1990/2/9,8.0,11.8,5.0
1990/2/10,10.3,14.2,6.5
1990/2/11,11.0,14.5,8.3
1990/2/12,9.2,11.8,5.9
1990/2/13,7.5,11.1,4.1
1990/2/14,6.9,8.3,6.1
1990/2/15,9.6,13.8,6.1
1990/2/16,9.4,12.4,7.4
1990/2/17,9.4,13.1,6.1
1990/2/18,10.2,12.0,7.5
1990/2/19,12.3,14.0,11.3
1990/2/20,10.9,13.5,9.3
1990/2/21,10.4,13.3,7.0
1990/2/22,11.8,12.8,10.7
1990/2/23,12.1,13.5,11.1
1990/2/24,10.0,11.1,9.3
1990/2/25,9.6,10.9,8.3
1990/2/26,10.3,12.3,8.6
1990/2/27,9.2,13.1,7.5
1990/2/28,7.7,9.1,5.9
1990/3/1,8.3,9.4,6.8
1990/3/2,10.3,11.9,9.2
1990/3/3,9.4,12.7,7.3
1990/3/4,9.1,12.9,5.5
1990/3/5,8.3,11.4,6.7
1990/3/6,9.3,11.4,5.6
1990/3/7,7.7,10.6,3.7
1990/3/8,7.8,11.2,4.1
1990/3/9,9.8,14.0,4.6
1990/3/10,11.4,15.8,6.3
1990/3/11,11.9,15.0,8.2
1990/3/12,9.6,14.9,6.3
1990/3/13,9.5,13.6,5.6
1990/3/14,10.9,14.1,8.0
1990/3/15,12.9,14.9,10.9
1990/3/16,10.5,12.3,8.1
1990/3/17,10.7,14.1,6.4
1990/3/18,8.6,12.4,5.8
1990/3/19,10.4,13.9,5.5
1990/3/20,13.0,15.4,10.5
1990/3/21,13.5,18.4,9.9
1990/3/22,13.5,17.2,10.1
1990/3/23,15.0,18.5,11.6
1990/3/24,13.1,15.7,10.9
1990/3/25,9.7,13.1,6.9
1990/3/26,10.1,15.0,6.2
1990/3/27,11.7,14.5,8.4
1990/3/28,11.9,12.5,11.4
1990/3/29,13.6,16.0,11.7
1990/3/30,13.8,17.7,11.5
1990/3/31,14.1,17.4,12.5
