ダウンロードした時刻：2019/10/10 15:33:42

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,-1.2,-0.1,-2.1
1981/12/2,-0.4,2.1,-2.7
1981/12/3,1.2,3.8,-1.3
1981/12/4,5.0,7.0,3.8
1981/12/5,3.7,7.6,1.2
1981/12/6,2.4,3.0,1.4
1981/12/7,0.8,2.7,-1.6
1981/12/8,1.6,2.6,0.8
1981/12/9,1.6,2.8,-0.1
1981/12/10,3.0,4.1,1.3
1981/12/11,6.0,7.8,3.6
1981/12/12,5.5,7.1,1.8
1981/12/13,-0.4,3.6,-2.5
1981/12/14,-2.2,-0.7,-3.7
1981/12/15,2.7,6.3,-1.5
1981/12/16,2.3,5.0,-1.7
1981/12/17,3.1,4.3,1.0
1981/12/18,2.3,3.7,1.0
1981/12/19,4.6,6.8,2.3
1981/12/20,3.7,6.6,1.6
1981/12/21,4.5,5.6,2.5
1981/12/22,7.8,9.8,5.6
1981/12/23,6.2,8.3,1.7
1981/12/24,-2.7,2.2,-4.8
1981/12/25,1.7,6.6,-3.5
1981/12/26,4.2,6.3,-0.5
1981/12/27,6.4,9.5,1.3
1981/12/28,2.5,6.2,-2.1
1981/12/29,3.8,8.9,-2.1
1981/12/30,2.1,4.8,0.5
1981/12/31,0.4,2.1,-0.7
1982/1/1,1.1,3.4,0.0
1982/1/2,-1.3,1.2,-3.7
1982/1/3,0.3,2.2,-1.8
1982/1/4,5.8,9.1,2.2
1982/1/5,0.9,6.3,-3.1
1982/1/6,-2.1,0.1,-3.2
1982/1/7,-2.9,0.0,-5.2
1982/1/8,-0.1,1.6,-3.0
1982/1/9,3.2,5.4,0.0
1982/1/10,-0.4,1.7,-2.0
1982/1/11,3.1,5.8,0.1
1982/1/12,1.7,7.7,-4.1
1982/1/13,-4.7,-3.6,-5.9
1982/1/14,-4.8,-3.6,-6.4
1982/1/15,-5.8,-4.4,-7.0
1982/1/16,-5.4,-2.6,-10.5
1982/1/17,-2.8,-1.6,-5.3
1982/1/18,-1.0,1.8,-2.5
1982/1/19,-0.5,4.3,-3.9
1982/1/20,-2.6,0.4,-5.3
1982/1/21,1.1,2.9,-0.8
1982/1/22,-1.6,-0.3,-2.5
1982/1/23,-2.2,-0.7,-3.6
1982/1/24,0.5,1.8,-1.2
1982/1/25,-2.0,1.7,-5.8
1982/1/26,-2.0,0.1,-5.5
1982/1/27,-1.1,2.0,-4.4
1982/1/28,-0.8,1.6,-1.9
1982/1/29,-1.5,1.3,-4.0
1982/1/30,-3.0,-1.1,-4.5
1982/1/31,-0.5,1.0,-3.7
1982/2/1,-3.9,-0.1,-7.7
1982/2/2,-3.6,-0.6,-7.6
1982/2/3,0.4,2.8,-2.7
1982/2/4,-5.5,-2.4,-7.4
1982/2/5,-5.5,-3.5,-8.7
1982/2/6,-5.6,-3.8,-7.5
1982/2/7,-4.5,-3.4,-6.1
1982/2/8,-5.8,-4.8,-7.2
1982/2/9,-5.3,-4.1,-8.0
1982/2/10,-3.8,-2.5,-5.6
1982/2/11,-2.1,-0.2,-4.4
1982/2/12,-0.8,0.8,-5.4
1982/2/13,-2.3,1.6,-8.0
1982/2/14,-1.8,0.2,-5.2
1982/2/15,-1.2,-0.3,-3.5
1982/2/16,0.1,0.5,-1.0
1982/2/17,-0.3,1.1,-1.6
1982/2/18,1.2,2.4,-1.3
1982/2/19,1.7,3.9,-2.8
1982/2/20,2.5,3.9,1.1
1982/2/21,2.4,4.2,-0.1
1982/2/22,0.7,2.8,-1.9
1982/2/23,-0.7,1.2,-3.0
1982/2/24,-0.9,1.0,-3.4
1982/2/25,-3.3,-1.5,-5.4
1982/2/26,-2.5,-0.1,-4.3
1982/2/27,3.1,5.1,-0.5
1982/2/28,4.7,5.7,3.5
1982/3/1,2.6,4.6,-0.7
1982/3/2,0.8,4.0,-2.3
1982/3/3,1.3,3.6,-3.6
1982/3/4,5.6,7.0,2.6
1982/3/5,4.2,5.6,2.8
1982/3/6,-1.2,3.2,-3.6
1982/3/7,-2.7,-1.5,-4.2
1982/3/8,0.1,1.8,-3.1
1982/3/9,1.4,3.4,0.0
1982/3/10,4.9,7.6,0.1
1982/3/11,2.1,3.7,0.1
1982/3/12,2.0,6.4,-3.0
1982/3/13,2.6,5.7,-2.8
1982/3/14,1.8,5.1,-4.1
1982/3/15,4.5,10.7,-0.6
1982/3/16,4.1,8.2,1.5
1982/3/17,1.2,2.5,-0.1
1982/3/18,1.4,3.3,-0.5
1982/3/19,2.0,3.6,-0.6
1982/3/20,2.3,6.2,-1.9
1982/3/21,3.3,4.8,1.2
1982/3/22,2.5,5.4,-1.2
1982/3/23,3.3,6.6,0.4
1982/3/24,1.3,3.7,-0.1
1982/3/25,1.3,3.0,-0.4
1982/3/26,0.6,2.5,-1.4
1982/3/27,1.5,2.7,-1.2
1982/3/28,3.6,5.4,0.0
1982/3/29,6.3,8.1,3.4
1982/3/30,9.0,12.5,5.6
1982/3/31,5.4,7.1,1.6
