ダウンロードした時刻：2019/10/10 16:15:13

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,8.4,13.6,3.8
1988/12/2,8.4,14.3,4.1
1988/12/3,9.3,15.4,3.6
1988/12/4,10.3,13.5,7.1
1988/12/5,6.7,10.6,2.6
1988/12/6,5.1,11.2,0.5
1988/12/7,8.6,15.4,2.7
1988/12/8,11.4,18.0,4.7
1988/12/9,10.1,15.3,5.7
1988/12/10,6.8,9.4,3.3
1988/12/11,8.2,11.1,5.2
1988/12/12,7.8,13.6,3.9
1988/12/13,8.8,15.8,2.7
1988/12/14,9.1,13.9,5.0
1988/12/15,5.1,7.9,1.9
1988/12/16,3.0,5.2,0.3
1988/12/17,4.5,8.6,-0.2
1988/12/18,6.4,10.6,1.3
1988/12/19,10.8,15.7,6.4
1988/12/20,10.6,14.0,6.2
1988/12/21,10.1,14.1,5.7
1988/12/22,7.0,12.4,3.6
1988/12/23,6.7,12.9,1.7
1988/12/24,9.0,12.7,3.4
1988/12/25,7.8,11.7,2.3
1988/12/26,5.2,10.6,0.5
1988/12/27,6.3,11.1,1.0
1988/12/28,7.0,10.8,3.2
1988/12/29,5.4,10.3,0.0
1988/12/30,6.3,12.0,1.1
1988/12/31,8.2,12.5,3.6
1989/1/1,7.0,10.1,1.5
1989/1/2,5.0,10.7,-0.1
1989/1/3,8.3,12.1,4.6
1989/1/4,6.9,11.7,2.4
1989/1/5,5.1,10.2,1.3
1989/1/6,7.3,13.0,0.0
1989/1/7,10.6,16.7,7.4
1989/1/8,13.7,17.0,11.1
1989/1/9,11.4,12.8,10.4
1989/1/10,10.7,15.6,6.8
1989/1/11,9.7,11.3,6.6
1989/1/12,9.6,12.1,4.9
1989/1/13,7.7,10.8,2.8
1989/1/14,7.9,9.2,6.5
1989/1/15,5.7,10.6,1.8
1989/1/16,5.7,11.6,0.0
1989/1/17,7.4,12.9,2.9
1989/1/18,8.7,11.1,4.6
1989/1/19,13.4,17.8,9.5
1989/1/20,12.8,17.6,9.5
1989/1/21,10.0,14.5,5.9
1989/1/22,8.0,10.6,4.1
1989/1/23,8.1,10.2,5.8
1989/1/24,7.7,11.7,4.8
1989/1/25,6.8,12.0,2.5
1989/1/26,7.1,9.3,4.1
1989/1/27,4.9,9.7,1.7
1989/1/28,3.4,5.7,1.0
1989/1/29,3.4,7.6,-0.8
1989/1/30,5.2,11.3,-1.4
1989/1/31,8.1,14.9,1.1
1989/2/1,6.3,9.5,1.6
1989/2/2,3.1,6.0,0.3
1989/2/3,3.9,8.1,0.7
1989/2/4,4.7,11.0,-0.2
1989/2/5,5.4,11.8,-0.6
1989/2/6,6.4,12.3,2.7
1989/2/7,7.5,13.3,1.0
1989/2/8,8.4,10.2,6.5
1989/2/9,9.9,12.0,8.5
1989/2/10,5.6,8.5,1.4
1989/2/11,5.4,8.3,0.9
1989/2/12,6.1,10.3,1.8
1989/2/13,5.2,10.4,1.1
1989/2/14,5.9,12.2,-0.2
1989/2/15,8.4,13.2,1.3
1989/2/16,11.8,15.6,8.6
1989/2/17,11.7,12.9,10.3
1989/2/18,9.5,12.8,6.9
1989/2/19,7.5,11.7,4.3
1989/2/20,9.1,13.9,2.7
1989/2/21,9.5,10.8,8.7
1989/2/22,9.3,13.4,7.2
1989/2/23,6.7,8.5,4.9
1989/2/24,7.2,8.8,4.7
1989/2/25,10.7,15.0,8.4
1989/2/26,7.4,11.3,2.4
1989/2/27,7.4,13.4,0.5
1989/2/28,11.7,20.5,6.6
1989/3/1,10.9,15.4,6.2
1989/3/2,8.5,14.6,2.0
1989/3/3,13.1,21.0,7.5
1989/3/4,12.5,19.2,8.6
1989/3/5,8.9,12.8,6.4
1989/3/6,6.4,10.9,2.6
1989/3/7,5.1,7.7,3.3
1989/3/8,5.2,10.1,1.7
1989/3/9,4.9,9.4,0.0
1989/3/10,5.9,11.5,0.4
1989/3/11,7.9,13.1,2.6
1989/3/12,10.8,16.2,4.4
1989/3/13,10.5,11.8,9.7
1989/3/14,12.1,16.4,8.4
1989/3/15,10.5,15.4,5.6
1989/3/16,9.5,13.4,3.3
1989/3/17,8.0,11.6,3.6
1989/3/18,7.1,13.6,0.8
1989/3/19,8.8,15.5,2.0
1989/3/20,9.8,15.5,4.9
1989/3/21,8.9,14.6,3.0
1989/3/22,9.1,14.1,3.2
1989/3/23,9.5,14.4,2.6
1989/3/24,11.0,15.2,8.5
1989/3/25,10.7,14.0,7.5
1989/3/26,9.8,13.3,5.0
1989/3/27,10.2,14.2,8.2
1989/3/28,8.6,11.6,4.8
1989/3/29,9.2,14.5,2.8
1989/3/30,12.1,16.9,5.5
1989/3/31,14.0,19.1,10.3
