ダウンロードした時刻：2019/10/10 16:24:38

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,6.1,14.8,-0.2
1989/12/2,9.0,16.5,1.9
1989/12/3,10.4,18.8,4.3
1989/12/4,11.6,20.5,4.2
1989/12/5,11.3,20.0,6.3
1989/12/6,10.7,19.8,4.7
1989/12/7,11.8,22.0,5.2
1989/12/8,8.6,12.3,3.0
1989/12/9,6.2,14.3,0.6
1989/12/10,6.4,16.6,-0.3
1989/12/11,8.8,18.3,2.2
1989/12/12,11.3,18.8,5.7
1989/12/13,10.1,16.6,4.9
1989/12/14,9.0,12.9,5.4
1989/12/15,7.9,16.1,2.8
1989/12/16,8.5,17.6,2.4
1989/12/17,9.0,16.9,2.7
1989/12/18,9.7,16.8,3.8
1989/12/19,6.6,11.7,1.9
1989/12/20,6.4,15.5,0.0
1989/12/21,10.9,17.2,5.5
1989/12/22,10.2,13.4,5.7
1989/12/23,10.2,17.5,5.2
1989/12/24,10.0,13.8,5.1
1989/12/25,10.0,17.2,3.8
1989/12/26,9.4,15.0,4.9
1989/12/27,5.5,11.0,-0.6
1989/12/28,4.3,12.7,-3.1
1989/12/29,5.8,11.1,3.2
1989/12/30,5.9,10.0,1.7
1989/12/31,3.4,9.2,-1.2
1990/1/1,4.8,12.9,-2.3
1990/1/2,7.0,12.0,3.5
1990/1/3,4.2,9.0,-0.6
1990/1/4,4.2,12.7,-2.1
1990/1/5,4.8,14.6,-2.3
1990/1/6,6.1,13.3,0.8
1990/1/7,4.1,13.6,-3.0
1990/1/8,6.2,13.2,-0.9
1990/1/9,11.0,13.6,7.3
1990/1/10,13.1,20.3,7.8
1990/1/11,9.1,16.4,2.5
1990/1/12,10.3,15.5,8.0
1990/1/13,6.7,11.5,1.4
1990/1/14,5.4,13.5,-0.5
1990/1/15,3.4,7.8,-0.5
1990/1/16,4.7,11.0,-0.1
1990/1/17,4.1,13.6,-2.4
1990/1/18,8.9,17.4,1.5
1990/1/19,9.9,15.4,6.5
1990/1/20,4.7,10.2,-0.1
1990/1/21,4.2,12.1,-0.9
1990/1/22,5.8,12.7,0.1
1990/1/23,2.4,5.5,-1.9
1990/1/24,0.4,5.8,-4.5
1990/1/25,0.7,5.9,-3.9
1990/1/26,1.9,9.7,-4.2
1990/1/27,3.6,11.7,-1.5
1990/1/28,4.8,11.4,-2.1
1990/1/29,12.9,18.5,7.2
1990/1/30,10.8,13.9,8.8
1990/1/31,7.1,8.9,6.1
1990/2/1,8.1,11.5,5.8
1990/2/2,8.0,14.2,1.9
1990/2/3,8.1,10.3,6.6
1990/2/4,8.6,11.7,7.0
1990/2/5,9.8,14.3,5.0
1990/2/6,8.9,11.9,6.3
1990/2/7,10.8,15.7,7.7
1990/2/8,7.6,9.0,5.7
1990/2/9,9.0,15.7,3.7
1990/2/10,10.7,16.8,4.4
1990/2/11,12.7,16.3,9.2
1990/2/12,10.0,15.2,4.9
1990/2/13,8.5,14.5,0.9
1990/2/14,7.8,8.8,5.8
1990/2/15,10.9,14.8,7.9
1990/2/16,10.3,14.7,7.3
1990/2/17,7.5,16.5,1.1
1990/2/18,9.6,14.5,4.1
1990/2/19,14.3,17.4,10.6
1990/2/20,12.7,21.8,5.5
1990/2/21,10.1,16.7,4.2
1990/2/22,12.0,14.5,8.9
1990/2/23,15.7,17.4,14.2
1990/2/24,13.8,18.6,11.0
1990/2/25,11.4,13.5,9.8
1990/2/26,11.4,16.3,8.3
1990/2/27,11.6,15.8,9.0
1990/2/28,8.7,10.1,7.6
1990/3/1,9.6,11.8,8.1
1990/3/2,12.4,17.1,9.3
1990/3/3,10.0,13.8,5.2
1990/3/4,9.4,18.1,2.1
1990/3/5,9.3,16.2,3.6
1990/3/6,8.7,15.6,2.7
1990/3/7,9.8,17.8,5.2
1990/3/8,6.4,15.4,0.0
1990/3/9,8.4,16.4,1.7
1990/3/10,9.8,18.5,2.1
1990/3/11,12.2,18.2,5.2
1990/3/12,10.7,15.4,3.0
1990/3/13,7.9,17.1,0.5
1990/3/14,11.2,16.3,4.4
1990/3/15,15.6,21.6,9.8
1990/3/16,11.1,17.8,5.3
1990/3/17,9.0,16.0,3.3
1990/3/18,10.5,16.7,4.5
1990/3/19,9.4,17.6,0.9
1990/3/20,12.0,20.2,4.6
1990/3/21,13.1,20.6,5.7
1990/3/22,14.5,21.1,6.8
1990/3/23,14.9,18.3,11.0
1990/3/24,15.4,18.2,13.2
1990/3/25,10.7,13.3,8.7
1990/3/26,10.2,17.9,4.7
1990/3/27,11.8,19.5,3.0
1990/3/28,13.8,16.2,11.2
1990/3/29,16.3,21.3,12.3
1990/3/30,14.0,18.7,8.9
1990/3/31,14.5,18.5,12.3
