ダウンロードした時刻：2019/10/10 15:54:44

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,2.2,10.5,-3.9
1988/12/2,4.1,13.0,-1.3
1988/12/3,2.7,12.0,-4.0
1988/12/4,2.5,5.8,-2.1
1988/12/5,4.2,9.0,-0.9
1988/12/6,1.9,10.8,-4.2
1988/12/7,1.0,10.4,-4.4
1988/12/8,1.9,12.2,-5.3
1988/12/9,3.8,13.5,-2.6
1988/12/10,2.2,6.1,-2.1
1988/12/11,3.8,9.3,-0.1
1988/12/12,1.9,10.7,-4.2
1988/12/13,-0.4,4.3,-3.4
1988/12/14,2.6,13.0,-6.0
1988/12/15,1.9,5.0,-1.2
1988/12/16,-1.6,1.2,-3.0
1988/12/17,0.0,6.5,-4.7
1988/12/18,-0.5,9.0,-7.9
1988/12/19,2.3,9.4,-3.6
1988/12/20,6.4,12.3,1.1
1988/12/21,3.0,10.5,-2.6
1988/12/22,1.2,8.2,-4.5
1988/12/23,0.9,9.1,-6.1
1988/12/24,4.0,12.7,-4.0
1988/12/25,3.8,8.4,-3.0
1988/12/26,-0.9,7.5,-7.0
1988/12/27,0.4,8.4,-6.8
1988/12/28,2.0,7.8,-3.4
1988/12/29,-0.1,7.0,-6.0
1988/12/30,0.8,8.4,-5.6
1988/12/31,0.3,6.1,-5.6
1989/1/1,2.4,7.6,-1.8
1989/1/2,2.2,10.9,-3.4
1989/1/3,2.5,10.9,-4.2
1989/1/4,1.4,7.9,-3.5
1989/1/5,-0.8,6.9,-7.2
1989/1/6,0.2,7.8,-7.1
1989/1/7,4.9,11.6,-1.7
1989/1/8,6.5,8.1,4.9
1989/1/9,7.8,9.4,6.3
1989/1/10,9.0,15.4,4.4
1989/1/11,9.0,14.3,5.6
1989/1/12,6.7,8.9,3.3
1989/1/13,3.4,9.4,0.5
1989/1/14,2.7,6.4,0.0
1989/1/15,2.2,6.5,-1.8
1989/1/16,1.7,9.4,-2.7
1989/1/17,1.2,9.8,-5.5
1989/1/18,2.8,10.0,-5.1
1989/1/19,5.8,12.9,2.5
1989/1/20,11.7,13.6,8.8
1989/1/21,6.8,13.3,0.6
1989/1/22,3.3,9.0,-2.0
1989/1/23,0.7,2.5,0.1
1989/1/24,2.5,9.1,-1.7
1989/1/25,1.7,8.1,-3.6
1989/1/26,2.6,6.9,-0.8
1989/1/27,2.2,7.8,-1.8
1989/1/28,-2.1,1.2,-6.3
1989/1/29,-1.9,6.1,-8.9
1989/1/30,1.6,10.7,-6.7
1989/1/31,6.1,13.7,-1.3
1989/2/1,4.5,7.1,1.0
1989/2/2,0.1,5.1,-2.8
1989/2/3,-0.6,6.2,-6.0
1989/2/4,-0.7,5.8,-6.7
1989/2/5,0.4,8.7,-6.7
1989/2/6,2.3,11.8,-3.5
1989/2/7,3.7,12.1,-3.8
1989/2/8,3.2,8.2,-2.3
1989/2/9,8.3,15.4,4.7
1989/2/10,3.9,10.0,-0.4
1989/2/11,0.8,7.4,-4.2
1989/2/12,1.8,8.9,-3.0
1989/2/13,1.1,8.8,-5.1
1989/2/14,1.8,9.4,-5.0
1989/2/15,3.7,11.7,-4.5
1989/2/16,6.3,7.8,3.3
1989/2/17,7.8,10.1,5.9
1989/2/18,5.8,8.0,4.7
1989/2/19,5.8,11.9,2.7
1989/2/20,5.7,9.5,0.4
1989/2/21,6.6,10.3,3.5
1989/2/22,4.0,10.6,0.3
1989/2/23,3.4,10.1,-2.6
1989/2/24,5.0,7.7,1.6
1989/2/25,6.8,12.3,4.1
1989/2/26,6.7,13.0,0.0
1989/2/27,4.4,12.7,-2.6
1989/2/28,8.2,14.6,1.7
1989/3/1,9.2,13.1,2.3
1989/3/2,6.4,15.7,-1.6
1989/3/3,6.6,11.5,0.5
1989/3/4,12.1,16.6,7.4
1989/3/5,3.6,11.0,1.1
1989/3/6,4.9,10.5,0.2
1989/3/7,4.3,10.0,1.6
1989/3/8,2.5,7.0,-0.7
1989/3/9,2.8,10.1,-3.2
1989/3/10,3.7,12.2,-3.3
1989/3/11,4.2,12.0,-3.5
1989/3/12,7.0,15.4,-2.0
1989/3/13,5.8,7.8,4.0
1989/3/14,9.7,16.3,5.5
1989/3/15,6.7,13.1,1.2
1989/3/16,5.4,13.4,-1.7
1989/3/17,3.5,9.6,0.4
1989/3/18,3.4,11.5,-2.5
1989/3/19,4.3,13.4,-2.7
1989/3/20,5.5,14.2,-1.3
1989/3/21,6.4,15.1,-1.0
1989/3/22,5.7,12.4,1.3
1989/3/23,6.0,15.1,-2.2
1989/3/24,6.6,12.1,3.8
1989/3/25,8.8,15.5,2.8
1989/3/26,7.2,14.4,-1.2
1989/3/27,6.3,11.3,4.5
1989/3/28,6.4,13.1,3.5
1989/3/29,6.2,13.0,1.4
1989/3/30,7.2,16.7,-2.0
1989/3/31,7.2,10.0,4.0
