ダウンロードした時刻：2019/10/10 16:05:55

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,8.2,15.0,4.2
2001/12/2,5.4,10.3,1.6
2001/12/3,8.5,14.7,3.6
2001/12/4,9.0,14.2,4.6
2001/12/5,8.1,14.9,2.0
2001/12/6,8.3,10.9,4.8
2001/12/7,6.1,7.8,5.2
2001/12/8,7.2,12.6,3.5
2001/12/9,7.0,8.1,5.8
2001/12/10,6.1,7.1,4.5
2001/12/11,7.0,10.0,4.5
2001/12/12,6.5,12.5,1.5
2001/12/13,9.1,13.2,6.1
2001/12/14,2.2,6.5,0.6
2001/12/15,2.2,4.4,0.6
2001/12/16,4.6,10.2,2.0
2001/12/17,3.8,9.1,-0.6
2001/12/18,4.5,6.6,2.4
2001/12/19,4.6,10.1,1.3
2001/12/20,4.7,7.3,2.6
2001/12/21,5.5,10.5,2.3
2001/12/22,2.0,6.3,0.3
2001/12/23,1.9,6.2,0.0
2001/12/24,2.7,10.9,-1.8
2001/12/25,1.5,6.0,-1.5
2001/12/26,5.0,7.6,1.9
2001/12/27,6.1,11.5,3.3
2001/12/28,3.7,9.6,1.0
2001/12/29,4.8,10.1,0.8
2001/12/30,2.3,8.4,0.4
2001/12/31,3.2,10.1,-0.2
2002/1/1,3.5,8.5,-0.9
2002/1/2,-0.6,2.4,-2.9
2002/1/3,0.4,2.8,-1.8
2002/1/4,2.8,7.0,0.6
2002/1/5,3.1,6.1,1.4
2002/1/6,2.2,3.9,0.8
2002/1/7,4.8,10.4,-0.9
2002/1/8,2.0,4.8,-0.4
2002/1/9,2.3,6.0,0.2
2002/1/10,4.5,10.7,-1.2
2002/1/11,6.4,12.0,2.9
2002/1/12,5.9,15.1,0.3
2002/1/13,6.5,11.3,2.4
2002/1/14,8.1,14.0,5.1
2002/1/15,10.8,18.2,5.2
2002/1/16,10.3,13.5,7.2
2002/1/17,5.8,7.3,4.1
2002/1/18,5.3,6.9,4.3
2002/1/19,5.1,7.1,3.4
2002/1/20,5.9,11.8,-0.8
2002/1/21,8.1,10.1,4.5
2002/1/22,4.2,8.1,0.3
2002/1/23,2.3,5.6,-0.6
2002/1/24,1.9,4.7,-1.1
2002/1/25,2.2,4.0,0.7
2002/1/26,2.7,4.5,1.5
2002/1/27,5.3,8.6,2.1
2002/1/28,4.1,9.1,0.2
2002/1/29,0.7,3.5,-0.3
2002/1/30,0.7,4.1,-2.7
2002/1/31,1.7,5.2,-0.9
2002/2/1,2.3,8.8,-2.0
2002/2/2,2.5,8.6,-2.0
2002/2/3,4.4,8.8,2.1
2002/2/4,4.8,10.2,1.5
2002/2/5,3.8,9.2,0.1
2002/2/6,4.4,14.2,-0.6
2002/2/7,5.4,12.8,-0.2
2002/2/8,6.3,14.3,-1.4
2002/2/9,3.4,8.8,0.3
2002/2/10,0.9,4.2,0.0
2002/2/11,0.2,1.0,-0.4
2002/2/12,1.1,3.7,-1.3
2002/2/13,0.5,3.7,-1.6
2002/2/14,1.0,2.4,0.1
2002/2/15,1.6,5.3,-1.9
2002/2/16,1.7,9.9,-3.1
2002/2/17,1.4,4.7,-1.2
2002/2/18,2.1,6.1,0.3
2002/2/19,2.3,4.2,0.1
2002/2/20,4.1,10.4,0.7
2002/2/21,4.2,11.8,-1.3
2002/2/22,5.6,11.3,2.9
2002/2/23,5.9,11.7,3.2
2002/2/24,3.1,6.4,-0.1
2002/2/25,4.0,12.6,-2.0
2002/2/26,6.0,12.5,1.9
2002/2/27,5.7,9.7,1.3
2002/2/28,8.5,11.3,6.3
2002/3/1,8.8,14.3,5.1
2002/3/2,6.3,12.4,3.9
2002/3/3,4.4,8.9,-0.9
2002/3/4,4.7,14.4,-3.3
2002/3/5,5.4,7.0,2.8
2002/3/6,7.4,12.0,4.4
2002/3/7,4.1,7.9,1.7
2002/3/8,3.8,9.0,0.0
2002/3/9,5.8,18.0,-2.0
2002/3/10,8.5,19.1,0.3
2002/3/11,8.8,15.8,4.1
2002/3/12,8.3,17.1,0.9
2002/3/13,7.4,15.3,1.4
2002/3/14,11.3,20.7,1.0
2002/3/15,14.7,17.8,9.2
2002/3/16,11.0,17.7,6.8
2002/3/17,11.2,20.6,5.0
2002/3/18,8.4,15.0,3.0
2002/3/19,10.3,19.4,0.7
2002/3/20,11.2,20.0,4.3
2002/3/21,13.7,20.5,6.7
2002/3/22,9.5,11.9,7.7
2002/3/23,5.8,9.3,1.0
2002/3/24,4.7,10.5,1.2
2002/3/25,5.8,14.6,-0.1
2002/3/26,10.8,19.9,0.6
2002/3/27,10.1,12.5,6.3
2002/3/28,8.8,16.7,0.5
2002/3/29,13.5,19.0,9.0
2002/3/30,11.8,16.9,6.8
2002/3/31,11.0,18.2,5.8
