ダウンロードした時刻：2019/10/10 16:11:32

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,13.9,16.0,11.9
1982/12/2,12.9,16.2,8.5
1982/12/3,12.0,16.8,8.4
1982/12/4,10.7,15.7,6.4
1982/12/5,11.4,16.3,7.7
1982/12/6,5.9,10.9,3.6
1982/12/7,6.1,9.9,1.3
1982/12/8,8.6,12.4,4.3
1982/12/9,8.0,12.4,4.4
1982/12/10,9.5,14.9,4.3
1982/12/11,13.4,17.7,7.7
1982/12/12,9.6,14.1,5.0
1982/12/13,6.8,10.1,4.0
1982/12/14,8.5,10.5,5.2
1982/12/15,8.0,11.0,4.9
1982/12/16,7.7,11.7,3.6
1982/12/17,8.4,11.9,5.3
1982/12/18,5.3,8.7,1.9
1982/12/19,4.6,9.2,0.6
1982/12/20,6.0,11.2,0.6
1982/12/21,7.3,11.7,2.2
1982/12/22,9.2,11.1,7.0
1982/12/23,10.5,12.1,9.1
1982/12/24,10.8,12.5,8.2
1982/12/25,10.2,12.7,7.4
1982/12/26,6.4,7.7,5.7
1982/12/27,7.6,10.7,4.4
1982/12/28,6.7,10.9,3.0
1982/12/29,6.5,11.6,1.5
1982/12/30,8.0,13.3,4.4
1982/12/31,6.3,8.7,3.9
1983/1/1,5.7,8.8,3.2
1983/1/2,5.9,9.2,1.9
1983/1/3,6.3,9.6,4.9
1983/1/4,6.4,10.5,2.7
1983/1/5,7.1,8.9,3.5
1983/1/6,9.9,12.9,7.9
1983/1/7,9.8,13.0,6.5
1983/1/8,10.0,13.2,5.3
1983/1/9,5.8,8.3,4.0
1983/1/10,3.6,5.7,1.5
1983/1/11,4.5,7.4,0.3
1983/1/12,6.7,9.4,4.3
1983/1/13,6.6,9.4,4.2
1983/1/14,5.7,7.9,2.3
1983/1/15,5.6,8.7,3.5
1983/1/16,5.5,9.9,0.5
1983/1/17,6.0,10.2,1.7
1983/1/18,7.0,8.5,5.2
1983/1/19,6.1,8.5,3.5
1983/1/20,3.3,6.0,1.4
1983/1/21,3.1,6.8,-0.2
1983/1/22,0.9,4.1,-1.3
1983/1/23,2.6,5.7,-2.5
1983/1/24,5.9,9.1,3.2
1983/1/25,4.9,9.8,-0.1
1983/1/26,6.9,11.4,1.1
1983/1/27,6.8,11.5,1.8
1983/1/28,7.7,12.3,2.5
1983/1/29,8.7,12.9,2.9
1983/1/30,8.1,14.8,4.3
1983/1/31,5.2,8.7,2.1
1983/2/1,6.9,13.2,-0.3
1983/2/2,9.0,10.5,8.1
1983/2/3,6.7,10.1,3.7
1983/2/4,5.5,8.8,2.9
1983/2/5,5.4,10.0,-0.2
1983/2/6,8.8,11.8,3.8
1983/2/7,8.1,11.2,5.0
1983/2/8,6.4,8.5,4.2
1983/2/9,6.3,8.5,4.7
1983/2/10,4.5,7.1,1.9
1983/2/11,4.1,7.0,0.9
1983/2/12,3.7,6.9,1.0
1983/2/13,2.0,5.5,0.3
1983/2/14,2.2,6.4,-2.2
1983/2/15,6.8,13.4,1.0
1983/2/16,6.8,11.3,1.6
1983/2/17,7.8,10.7,6.1
1983/2/18,5.3,8.4,0.3
1983/2/19,3.2,6.4,0.3
1983/2/20,3.6,6.8,1.6
1983/2/21,2.9,6.4,-0.5
1983/2/22,4.9,9.1,0.8
1983/2/23,6.1,11.3,-0.1
1983/2/24,6.0,10.1,3.2
1983/2/25,6.3,10.2,3.3
1983/2/26,5.0,8.8,2.8
1983/2/27,5.6,9.8,2.6
1983/2/28,6.6,11.9,0.2
1983/3/1,7.7,13.6,1.8
1983/3/2,11.1,16.3,7.5
1983/3/3,9.9,14.1,6.6
1983/3/4,7.2,10.3,5.5
1983/3/5,4.9,7.6,2.8
1983/3/6,4.8,9.1,0.3
1983/3/7,3.7,7.8,1.0
1983/3/8,3.4,7.8,0.2
1983/3/9,6.1,11.6,-0.7
1983/3/10,7.1,10.4,4.6
1983/3/11,9.9,15.1,6.4
1983/3/12,10.1,15.5,3.6
1983/3/13,9.7,12.3,6.3
1983/3/14,4.9,7.5,2.5
1983/3/15,6.6,11.4,0.6
1983/3/16,9.2,13.9,6.3
1983/3/17,8.3,11.3,5.8
1983/3/18,5.3,7.4,3.8
1983/3/19,7.8,13.3,2.1
1983/3/20,10.5,16.1,3.5
1983/3/21,11.9,15.0,10.0
1983/3/22,13.4,20.6,7.2
1983/3/23,12.9,14.4,11.1
1983/3/24,11.4,14.6,8.4
1983/3/25,8.6,11.9,6.1
1983/3/26,9.1,14.4,3.4
1983/3/27,10.7,14.8,7.4
1983/3/28,11.1,16.9,8.2
1983/3/29,9.9,13.4,7.9
1983/3/30,10.8,13.1,8.6
1983/3/31,13.0,18.3,8.7
