ダウンロードした時刻：2019/10/10 16:05:31

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,10.6,15.6,5.8
1982/12/2,9.7,15.1,5.0
1982/12/3,8.9,14.5,3.9
1982/12/4,7.0,16.2,2.9
1982/12/5,10.2,15.8,3.5
1982/12/6,3.8,7.5,0.8
1982/12/7,4.9,9.5,0.5
1982/12/8,5.9,10.8,3.0
1982/12/9,6.2,12.7,1.1
1982/12/10,7.7,14.8,3.6
1982/12/11,13.8,21.0,3.9
1982/12/12,5.4,10.8,0.8
1982/12/13,3.8,7.2,1.7
1982/12/14,3.9,10.7,0.2
1982/12/15,4.3,11.6,-1.4
1982/12/16,4.7,10.8,-0.5
1982/12/17,5.5,9.4,2.2
1982/12/18,2.1,5.5,-1.7
1982/12/19,2.7,9.1,-1.8
1982/12/20,3.9,11.9,-1.4
1982/12/21,3.8,11.9,-1.8
1982/12/22,6.3,11.8,0.7
1982/12/23,8.1,11.4,4.9
1982/12/24,8.2,13.3,3.6
1982/12/25,6.2,8.6,3.0
1982/12/26,4.9,7.3,3.3
1982/12/27,5.9,10.8,3.5
1982/12/28,4.1,10.9,0.0
1982/12/29,5.1,12.1,-1.6
1982/12/30,6.3,8.0,5.0
1982/12/31,3.7,5.9,2.8
1983/1/1,4.0,6.2,3.1
1983/1/2,4.3,8.5,1.6
1983/1/3,4.5,7.1,2.2
1983/1/4,5.3,10.5,2.2
1983/1/5,7.8,12.8,2.3
1983/1/6,8.2,10.9,5.0
1983/1/7,7.8,13.5,3.3
1983/1/8,7.9,14.5,2.8
1983/1/9,2.0,4.1,0.6
1983/1/10,0.0,1.4,-0.8
1983/1/11,0.7,3.6,-1.3
1983/1/12,2.2,7.3,-1.8
1983/1/13,2.3,7.1,-0.9
1983/1/14,2.4,5.4,0.4
1983/1/15,2.5,5.4,1.0
1983/1/16,3.2,10.8,-0.9
1983/1/17,4.4,10.4,0.0
1983/1/18,5.3,7.7,3.4
1983/1/19,3.1,6.1,-0.1
1983/1/20,-0.6,1.4,-3.4
1983/1/21,-0.5,4.8,-5.1
1983/1/22,-0.9,1.1,-2.3
1983/1/23,0.3,4.1,-3.7
1983/1/24,2.3,3.8,0.7
1983/1/25,2.0,9.4,-0.9
1983/1/26,3.6,9.8,-0.4
1983/1/27,4.4,10.9,1.1
1983/1/28,4.2,13.1,-1.1
1983/1/29,4.9,14.7,-0.4
1983/1/30,4.9,12.7,2.8
1983/1/31,3.0,7.1,-2.1
1983/2/1,4.2,12.4,-3.7
1983/2/2,6.6,8.4,5.8
1983/2/3,4.9,7.1,3.2
1983/2/4,2.8,6.6,-1.7
1983/2/5,1.8,9.8,-4.0
1983/2/6,5.2,13.6,-1.3
1983/2/7,2.9,6.4,0.3
1983/2/8,2.5,6.2,-1.2
1983/2/9,1.3,2.9,-0.1
1983/2/10,0.1,2.2,-1.8
1983/2/11,1.2,6.1,-1.7
1983/2/12,-0.3,2.9,-2.5
1983/2/13,-1.4,0.3,-2.5
1983/2/14,-0.3,3.7,-2.2
1983/2/15,3.5,9.3,-2.9
1983/2/16,1.5,8.6,-2.7
1983/2/17,0.8,2.9,-2.1
1983/2/18,2.0,7.6,-0.9
1983/2/19,1.5,5.0,-2.4
1983/2/20,0.9,5.4,-2.6
1983/2/21,0.1,2.3,-3.4
1983/2/22,1.8,7.3,-1.7
1983/2/23,2.1,8.4,-3.4
1983/2/24,2.5,4.5,0.5
1983/2/25,3.0,6.5,0.7
1983/2/26,3.5,6.5,1.0
1983/2/27,4.2,9.0,-1.2
1983/2/28,4.8,12.4,-0.4
1983/3/1,5.5,13.0,-2.6
1983/3/2,14.7,21.8,5.8
1983/3/3,7.6,12.8,5.3
1983/3/4,4.6,9.7,0.5
1983/3/5,2.4,5.6,0.5
1983/3/6,3.7,8.5,0.1
1983/3/7,1.4,4.3,0.1
1983/3/8,1.7,5.0,-0.6
1983/3/9,4.2,10.9,-1.6
1983/3/10,5.1,6.4,4.1
1983/3/11,6.4,12.6,1.6
1983/3/12,7.9,14.6,0.1
1983/3/13,7.0,9.6,3.5
1983/3/14,2.6,5.0,0.8
1983/3/15,5.5,12.7,0.0
1983/3/16,5.5,10.5,1.1
1983/3/17,6.7,13.3,3.5
1983/3/18,2.3,5.2,0.3
1983/3/19,4.1,12.3,-1.6
1983/3/20,9.2,19.2,-1.6
1983/3/21,11.8,16.9,8.7
1983/3/22,10.8,19.0,6.6
1983/3/23,12.0,14.2,6.1
1983/3/24,9.0,11.8,7.1
1983/3/25,6.9,10.7,3.8
1983/3/26,6.4,11.5,1.9
1983/3/27,8.8,13.5,5.3
1983/3/28,8.3,13.3,4.8
1983/3/29,7.4,11.1,3.1
1983/3/30,8.7,11.6,5.8
1983/3/31,10.3,16.1,4.8
