ダウンロードした時刻：2019/10/10 15:40:50

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,4.5,8.6,1.7
2000/12/2,3.8,10.8,-1.2
2000/12/3,5.3,12.2,0.6
2000/12/4,4.8,8.1,0.2
2000/12/5,4.1,13.0,-2.7
2000/12/6,3.5,7.4,0.7
2000/12/7,3.0,6.9,-0.1
2000/12/8,4.1,9.3,-2.4
2000/12/9,6.1,11.9,1.9
2000/12/10,8.1,16.0,0.2
2000/12/11,2.3,8.0,-2.0
2000/12/12,-0.8,0.9,-2.1
2000/12/13,2.1,6.2,-2.4
2000/12/14,2.3,4.9,-0.6
2000/12/15,7.1,9.9,3.6
2000/12/16,7.1,13.5,3.3
2000/12/17,4.1,8.2,-0.1
2000/12/18,3.5,10.1,-1.4
2000/12/19,7.6,16.2,4.1
2000/12/20,7.0,10.2,3.9
2000/12/21,6.2,10.5,3.3
2000/12/22,3.5,8.0,-0.6
2000/12/23,2.2,9.4,-2.7
2000/12/24,4.1,8.1,-0.4
2000/12/25,1.6,6.0,-1.9
2000/12/26,-2.0,-0.4,-3.0
2000/12/27,0.4,4.1,-2.9
2000/12/28,0.5,3.2,-2.3
2000/12/29,1.6,3.2,-1.4
2000/12/30,0.5,6.5,-3.6
2000/12/31,3.3,8.0,-0.5
2001/1/1,2.6,7.1,0.1
2001/1/2,2.2,5.4,-1.1
2001/1/3,0.1,2.0,-1.2
2001/1/4,-1.1,0.4,-2.9
2001/1/5,0.6,4.2,-3.3
2001/1/6,0.0,2.5,-3.2
2001/1/7,0.6,2.9,-1.6
2001/1/8,-0.3,1.4,-1.8
2001/1/9,0.2,2.1,-1.8
2001/1/10,3.4,7.6,0.7
2001/1/11,2.2,8.1,-3.4
2001/1/12,-1.0,1.9,-2.4
2001/1/13,-1.8,0.5,-3.2
2001/1/14,-3.8,0.4,-7.3
2001/1/15,-4.0,0.5,-9.0
2001/1/16,-2.5,1.9,-6.4
2001/1/17,-2.8,0.1,-6.1
2001/1/18,-3.6,-0.5,-7.5
2001/1/19,-2.3,1.0,-5.2
2001/1/20,-2.5,1.4,-7.2
2001/1/21,0.7,4.8,-3.6
2001/1/22,1.3,2.8,-1.4
2001/1/23,-0.4,3.7,-4.2
2001/1/24,0.6,3.9,-2.3
2001/1/25,-0.2,3.9,-4.3
2001/1/26,3.2,6.2,0.8
2001/1/27,-0.1,1.2,-1.6
2001/1/28,2.2,6.8,-1.1
2001/1/29,0.8,3.4,-2.3
2001/1/30,1.4,6.7,-3.2
2001/1/31,2.0,4.9,-0.3
2001/2/1,1.7,5.2,0.2
2001/2/2,-0.4,1.7,-2.2
2001/2/3,-0.9,1.6,-2.6
2001/2/4,-0.2,3.6,-2.9
2001/2/5,1.3,8.5,-4.5
2001/2/6,2.0,7.9,-2.6
2001/2/7,1.1,3.4,-1.3
2001/2/8,0.7,4.4,-1.3
2001/2/9,0.3,5.2,-5.2
2001/2/10,2.0,7.5,-1.5
2001/2/11,-1.0,4.1,-3.5
2001/2/12,-1.9,1.7,-4.7
2001/2/13,-1.9,1.5,-5.7
2001/2/14,-1.5,1.5,-4.4
2001/2/15,-1.5,2.6,-6.1
2001/2/16,-0.7,8.1,-5.0
2001/2/17,0.7,5.1,-2.5
2001/2/18,3.0,10.6,-2.3
2001/2/19,4.1,7.5,0.6
2001/2/20,2.2,6.5,-1.1
2001/2/21,3.5,10.5,-3.5
2001/2/22,8.1,13.8,1.9
2001/2/23,7.3,14.8,1.0
2001/2/24,1.1,4.4,-0.3
2001/2/25,-0.1,3.8,-3.0
2001/2/26,0.3,3.8,-3.7
2001/2/27,4.6,10.7,0.0
2001/2/28,6.5,12.4,-0.2
2001/3/1,4.2,6.9,0.9
2001/3/2,2.8,6.4,0.0
2001/3/3,5.5,9.4,2.0
2001/3/4,5.5,7.2,2.3
2001/3/5,1.8,3.8,0.6
2001/3/6,3.6,7.3,0.6
2001/3/7,3.4,9.6,0.4
2001/3/8,0.8,5.0,-2.0
2001/3/9,0.6,4.6,-2.3
2001/3/10,1.2,7.2,-1.9
2001/3/11,0.2,4.3,-2.5
2001/3/12,0.8,7.0,-3.6
2001/3/13,1.6,6.0,-1.6
2001/3/14,4.7,13.9,-3.5
2001/3/15,5.5,12.3,1.8
2001/3/16,5.0,10.3,0.8
2001/3/17,4.3,11.2,-2.7
2001/3/18,8.0,12.9,4.6
2001/3/19,11.2,16.9,3.8
2001/3/20,12.0,19.8,4.9
2001/3/21,11.1,15.3,4.8
2001/3/22,10.7,19.1,1.1
2001/3/23,9.5,14.3,4.2
2001/3/24,11.3,21.4,1.1
2001/3/25,13.7,19.3,7.0
2001/3/26,9.7,12.8,6.4
2001/3/27,5.7,7.4,3.4
2001/3/28,5.4,9.6,2.4
2001/3/29,1.7,4.7,0.3
2001/3/30,2.8,8.1,0.2
2001/3/31,3.2,6.9,-0.5
