ダウンロードした時刻：2019/10/10 15:46:31

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,3.3,5.1,0.6
2011/12/2,4.5,8.3,0.5
2011/12/3,10.7,14.8,7.8
2011/12/4,6.6,11.5,3.4
2011/12/5,4.1,6.4,1.2
2011/12/6,3.3,6.9,0.2
2011/12/7,4.7,7.8,2.1
2011/12/8,3.8,5.8,2.6
2011/12/9,1.3,5.9,-2.2
2011/12/10,1.3,7.0,-3.4
2011/12/11,3.5,9.7,-1.5
2011/12/12,4.1,10.6,-1.6
2011/12/13,3.0,5.7,-0.3
2011/12/14,2.3,10.0,-3.4
2011/12/15,3.0,9.5,-2.1
2011/12/16,1.3,4.5,-1.8
2011/12/17,-0.8,2.8,-3.8
2011/12/18,0.0,4.5,-4.0
2011/12/19,0.6,4.1,-1.0
2011/12/20,-0.1,2.3,-1.6
2011/12/21,0.3,6.0,-3.0
2011/12/22,1.4,6.6,-1.8
2011/12/23,-0.7,2.6,-4.4
2011/12/24,-0.9,4.2,-6.2
2011/12/25,-1.4,1.6,-3.8
2011/12/26,-2.4,-1.1,-3.3
2011/12/27,-2.0,1.4,-4.6
2011/12/28,-1.7,2.8,-5.7
2011/12/29,-0.9,4.7,-6.6
2011/12/30,-0.4,3.2,-2.4
2011/12/31,-0.9,4.2,-4.6
2012/1/1,-0.2,6.7,-4.7
2012/1/2,-1.6,1.4,-4.1
2012/1/3,-1.9,2.7,-6.9
2012/1/4,-1.9,-0.1,-3.3
2012/1/5,-2.2,0.5,-5.3
2012/1/6,-2.5,1.3,-8.0
2012/1/7,-1.0,2.7,-4.0
2012/1/8,-1.8,2.4,-5.5
2012/1/9,-1.1,5.0,-5.3
2012/1/10,0.5,4.9,-2.7
2012/1/11,-2.0,1.6,-5.1
2012/1/12,-3.7,1.1,-7.2
2012/1/13,-2.3,3.2,-8.2
2012/1/14,-1.8,1.5,-3.5
2012/1/15,-0.9,3.4,-3.3
2012/1/16,-1.1,1.7,-4.2
2012/1/17,-1.0,3.7,-3.9
2012/1/18,-1.3,5.6,-7.0
2012/1/19,0.8,4.9,-4.6
2012/1/20,2.1,3.9,0.8
2012/1/21,1.6,3.5,0.2
2012/1/22,2.2,6.4,-0.4
2012/1/23,0.5,3.8,-3.2
2012/1/24,-2.7,1.1,-4.5
2012/1/25,-1.8,3.4,-5.0
2012/1/26,-3.5,-1.5,-5.1
2012/1/27,-3.5,-1.7,-5.3
2012/1/28,-3.9,-1.8,-5.3
2012/1/29,-3.8,-2.0,-5.0
2012/1/30,-3.2,-0.5,-5.4
2012/1/31,-2.8,1.1,-5.5
2012/2/1,-1.6,1.1,-5.4
2012/2/2,-5.0,-1.9,-7.5
2012/2/3,-4.8,0.9,-10.4
2012/2/4,-2.2,3.7,-7.1
2012/2/5,-0.5,3.2,-4.0
2012/2/6,0.9,6.9,-5.8
2012/2/7,2.9,4.7,1.6
2012/2/8,-0.9,3.4,-3.2
2012/2/9,-2.5,0.2,-4.0
2012/2/10,-0.8,4.0,-4.1
2012/2/11,-2.1,0.7,-5.0
2012/2/12,-2.7,1.2,-4.9
2012/2/13,-1.4,3.0,-5.6
2012/2/14,1.8,6.4,-0.4
2012/2/15,0.6,4.0,-2.6
2012/2/16,-1.2,3.7,-3.7
2012/2/17,-2.1,1.6,-4.5
2012/2/18,-4.5,-0.6,-7.4
2012/2/19,-4.1,2.9,-9.9
2012/2/20,-1.9,5.4,-8.3
2012/2/21,0.2,7.3,-6.0
2012/2/22,3.7,10.1,-2.2
2012/2/23,6.7,12.4,3.8
2012/2/24,3.4,7.7,1.5
2012/2/25,1.2,2.3,0.2
2012/2/26,-0.8,1.5,-3.5
2012/2/27,-2.8,1.3,-6.1
2012/2/28,-2.0,3.8,-8.3
2012/2/29,0.6,4.6,-1.6
2012/3/1,4.0,10.8,-0.5
2012/3/2,2.5,5.6,0.3
2012/3/3,2.5,6.0,-0.6
2012/3/4,3.1,9.6,-1.0
2012/3/5,5.7,8.7,2.5
2012/3/6,7.5,14.1,4.5
2012/3/7,5.6,8.9,3.5
2012/3/8,5.1,9.0,2.6
2012/3/9,2.6,5.0,0.1
2012/3/10,1.5,5.0,0.0
2012/3/11,3.1,9.7,-1.0
2012/3/12,-1.0,1.0,-2.3
2012/3/13,-1.5,2.7,-5.6
2012/3/14,0.5,7.9,-5.8
2012/3/15,1.0,6.6,-1.4
2012/3/16,4.7,11.9,-2.4
2012/3/17,7.5,10.6,5.2
2012/3/18,7.0,9.3,4.6
2012/3/19,0.5,4.7,-2.4
2012/3/20,0.9,8.5,-4.5
2012/3/21,1.6,8.1,-3.1
2012/3/22,4.0,13.9,-3.1
2012/3/23,5.9,8.3,2.9
2012/3/24,5.7,11.5,0.9
2012/3/25,2.3,7.8,0.0
2012/3/26,1.0,5.0,-1.5
2012/3/27,3.9,12.1,-3.4
2012/3/28,1.4,3.8,-1.7
2012/3/29,6.7,15.6,-1.3
2012/3/30,12.1,21.2,3.0
2012/3/31,7.1,14.7,-0.3
