ダウンロードした時刻：2017/07/24 15:42:35

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,6.1,9.1,3.9
1983/1/2,4.5,6.5,3.4
1983/1/3,5.2,8.0,3.5
1983/1/4,7.0,10.4,2.6
1983/1/5,12.4,15.3,8.8
1983/1/6,8.3,14.2,7.6
1983/1/7,7.9,10.4,7.0
1983/1/8,11.6,14.3,8.1
1983/1/9,7.4,10.6,5.2
1983/1/10,4.1,6.9,1.7
1983/1/11,4.7,8.7,1.3
1983/1/12,7.0,9.7,4.1
1983/1/13,7.4,11.3,5.2
1983/1/14,5.3,9.2,2.1
1983/1/15,5.8,8.7,2.9
1983/1/16,5.8,7.8,3.7
1983/1/17,7.8,10.3,4.2
1983/1/18,5.2,7.8,3.8
1983/1/19,7.1,10.7,4.3
1983/1/20,5.2,9.0,3.2
1983/1/21,4.3,7.5,1.6
1983/1/22,2.7,6.6,0.7
1983/1/23,2.6,7.1,-1.0
1983/1/24,5.9,10.5,1.7
1983/1/25,7.3,11.1,3.6
1983/1/26,8.4,13.8,4.3
1983/1/27,8.0,11.6,4.0
1983/1/28,8.2,11.4,5.4
1983/1/29,10.7,14.4,6.5
1983/1/30,11.1,15.5,6.1
1983/1/31,7.5,11.0,3.8
1983/2/1,9.0,13.5,4.5
1983/2/2,6.3,8.6,5.3
1983/2/3,6.6,9.9,4.4
1983/2/4,5.8,8.6,4.0
1983/2/5,7.0,11.2,4.1
1983/2/6,8.8,11.8,5.2
1983/2/7,8.4,11.6,5.6
1983/2/8,5.8,8.6,3.5
1983/2/9,6.4,9.6,4.3
1983/2/10,5.5,9.1,2.5
1983/2/11,4.6,7.6,1.4
1983/2/12,4.9,8.0,2.6
1983/2/13,3.3,7.0,1.1
1983/2/14,3.5,5.1,-0.2
1983/2/15,7.6,11.3,4.0
1983/2/16,7.4,10.5,4.4
1983/2/17,3.9,6.6,2.7
1983/2/18,7.3,12.5,3.2
1983/2/19,3.4,7.1,0.9
1983/2/20,4.5,8.4,1.9
1983/2/21,4.1,8.4,1.3
1983/2/22,4.9,9.0,0.3
1983/2/23,6.4,10.8,2.4
1983/2/24,4.3,7.6,2.9
1983/2/25,5.9,10.6,3.5
1983/2/26,4.6,8.4,2.2
1983/2/27,5.6,10.8,2.3
1983/2/28,7.2,11.9,3.8
1983/3/1,9.3,13.7,4.8
1983/3/2,9.4,16.4,6.7
1983/3/3,12.6,16.4,8.8
1983/3/4,7.2,9.8,5.6
1983/3/5,4.8,8.7,1.2
1983/3/6,6.6,10.5,2.0
1983/3/7,5.7,10.1,2.1
1983/3/8,4.5,8.0,2.1
1983/3/9,5.9,10.2,0.9
1983/3/10,7.2,8.6,5.7
1983/3/11,10.3,16.2,6.1
1983/3/12,10.0,12.4,6.2
1983/3/13,10.9,14.1,7.9
1983/3/14,6.9,9.9,2.7
1983/3/15,7.0,11.8,2.5
1983/3/16,7.7,9.3,6.3
1983/3/17,7.5,13.3,6.1
1983/3/18,6.7,10.8,2.6
1983/3/19,6.7,11.7,1.5
1983/3/20,10.5,15.3,5.7
1983/3/21,11.3,16.1,7.8
1983/3/22,11.3,16.8,7.4
1983/3/23,12.5,15.1,9.3
1983/3/24,10.8,16.4,7.2
1983/3/25,7.0,7.8,5.9
1983/3/26,8.6,11.6,6.4
1983/3/27,5.7,7.9,4.7
1983/3/28,8.1,10.5,6.1
1983/3/29,7.5,9.5,6.4
1983/3/30,7.9,10.8,6.0
1983/3/31,9.7,12.9,7.4
1983/4/1,10.2,16.0,6.4
1983/4/2,12.2,15.6,9.8
1983/4/3,13.6,18.7,10.3
1983/4/4,12.9,15.9,9.8
1983/4/5,11.4,14.7,9.0
1983/4/6,13.5,19.0,9.2
1983/4/7,14.6,19.0,11.0
1983/4/8,12.2,13.4,11.0
1983/4/9,12.1,16.0,10.1
1983/4/10,13.4,16.1,10.5
1983/4/11,15.2,18.2,12.2
1983/4/12,12.1,14.8,10.2
1983/4/13,12.3,17.1,9.6
1983/4/14,13.7,17.1,10.1
1983/4/15,16.0,18.0,13.1
1983/4/16,15.3,18.5,11.4
1983/4/17,9.6,11.5,8.9
1983/4/18,11.9,16.5,9.2
1983/4/19,15.4,18.6,9.7
1983/4/20,16.5,19.7,12.0
1983/4/21,12.8,15.8,10.8
1983/4/22,14.9,18.5,11.8
1983/4/23,15.7,18.0,13.5
1983/4/24,15.5,20.2,11.8
1983/4/25,17.1,21.9,13.0
1983/4/26,17.9,22.2,14.8
1983/4/27,18.2,20.5,16.8
1983/4/28,18.9,22.2,17.4
1983/4/29,18.9,19.7,18.3
1983/4/30,13.2,19.6,10.7
1983/5/1,14.1,16.6,10.3
