ダウンロードした時刻：2019/10/10 16:08:09

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,11.5,17.1,7.4
2018/12/2,11.7,17.2,6.7
2018/12/3,14.8,17.2,12.2
2018/12/4,18.2,22.7,14.9
2018/12/5,14.7,18.9,10.3
2018/12/6,12.2,14.4,10.1
2018/12/7,11.1,15.4,7.0
2018/12/8,7.0,10.6,3.6
2018/12/9,4.8,7.9,2.7
2018/12/10,5.1,8.6,3.0
2018/12/11,6.8,11.6,1.3
2018/12/12,8.9,12.7,5.4
2018/12/13,6.8,10.1,4.0
2018/12/14,5.6,8.6,3.8
2018/12/15,5.1,8.2,2.7
2018/12/16,5.4,9.6,0.6
2018/12/17,8.8,13.4,6.3
2018/12/18,7.4,11.7,4.9
2018/12/19,7.5,12.6,2.4
2018/12/20,8.4,10.9,5.8
2018/12/21,9.4,14.6,4.2
2018/12/22,11.2,14.5,8.8
2018/12/23,11.0,14.8,7.0
2018/12/24,7.6,11.3,3.4
2018/12/25,5.6,11.2,1.0
2018/12/26,7.4,10.5,4.2
2018/12/27,7.6,10.8,4.4
2018/12/28,2.7,5.9,0.4
2018/12/29,2.6,6.7,0.0
2018/12/30,3.4,7.3,1.0
2018/12/31,3.8,7.0,1.9
2019/1/1,5.2,10.1,0.6
2019/1/2,5.1,8.5,2.5
2019/1/3,4.2,8.4,0.9
2019/1/4,5.2,10.1,0.7
2019/1/5,7.1,11.3,5.3
2019/1/6,5.2,7.8,3.5
2019/1/7,5.0,9.2,0.9
2019/1/8,6.1,11.9,1.6
2019/1/9,3.7,6.2,0.9
2019/1/10,3.1,5.9,-0.9
2019/1/11,6.0,11.0,3.0
2019/1/12,4.7,7.9,2.3
2019/1/13,5.4,11.4,2.0
2019/1/14,6.0,12.1,2.2
2019/1/15,5.1,7.8,1.8
2019/1/16,5.7,9.2,3.2
2019/1/17,6.0,11.1,1.6
2019/1/18,5.1,8.4,2.3
2019/1/19,5.6,11.9,0.7
2019/1/20,6.6,9.2,5.0
2019/1/21,5.7,9.6,3.4
2019/1/22,5.7,9.6,2.6
2019/1/23,6.1,12.0,1.0
2019/1/24,5.4,7.9,3.4
2019/1/25,5.4,9.1,1.8
2019/1/26,2.4,6.5,0.1
2019/1/27,3.1,7.4,-0.2
2019/1/28,4.0,8.1,0.6
2019/1/29,4.3,7.8,1.8
2019/1/30,5.1,11.7,0.3
2019/1/31,5.0,6.3,3.7
2019/2/1,3.8,7.8,1.6
2019/2/2,5.5,12.9,0.2
2019/2/3,6.1,10.5,1.6
2019/2/4,9.2,12.7,4.9
2019/2/5,7.2,12.7,3.0
2019/2/6,8.3,13.4,6.0
2019/2/7,10.4,14.2,6.5
2019/2/8,5.7,9.2,2.9
2019/2/9,4.2,7.9,1.9
2019/2/10,3.1,5.6,1.3
2019/2/11,3.6,5.3,1.9
2019/2/12,5.4,8.5,3.4
2019/2/13,6.0,11.3,3.1
2019/2/14,3.8,6.2,1.5
2019/2/15,3.7,7.1,-0.4
2019/2/16,6.4,11.5,4.1
2019/2/17,4.9,8.7,1.9
2019/2/18,5.8,12.7,0.0
2019/2/19,8.9,11.2,6.3
2019/2/20,11.3,15.7,8.0
2019/2/21,7.6,9.0,6.5
2019/2/22,8.6,13.5,5.4
2019/2/23,8.4,12.5,4.2
2019/2/24,7.9,15.1,2.1
2019/2/25,10.2,18.0,4.2
2019/2/26,9.0,13.7,4.8
2019/2/27,8.2,13.4,2.8
2019/2/28,10.1,12.0,8.7
2019/3/1,9.6,14.9,5.9
2019/3/2,8.5,15.5,3.2
2019/3/3,8.7,10.3,6.7
2019/3/4,9.3,12.1,7.5
2019/3/5,10.8,16.7,4.9
2019/3/6,10.6,16.5,8.0
2019/3/7,8.8,12.6,3.4
2019/3/8,6.1,10.8,2.8
2019/3/9,8.4,15.9,0.9
2019/3/10,10.5,13.2,6.7
2019/3/11,11.0,14.6,7.4
2019/3/12,9.6,16.4,4.4
2019/3/13,7.3,11.7,3.0
2019/3/14,5.5,9.6,1.9
2019/3/15,8.0,15.6,1.2
2019/3/16,7.0,12.4,3.3
2019/3/17,5.8,11.9,3.1
2019/3/18,8.1,15.1,1.2
2019/3/19,11.1,15.1,7.7
2019/3/20,13.3,21.2,5.5
2019/3/21,15.6,20.4,11.3
2019/3/22,11.1,16.7,7.2
2019/3/23,7.3,11.6,3.0
2019/3/24,7.1,12.1,2.8
2019/3/25,9.5,14.8,3.1
2019/3/26,11.7,18.6,6.0
2019/3/27,13.5,19.9,5.8
2019/3/28,11.7,15.6,6.3
2019/3/29,11.0,17.1,5.9
2019/3/30,11.8,15.4,10.0
2019/3/31,9.8,13.5,7.0
