ダウンロードした時刻：2017/07/24 15:46:14

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,7.8,11.0,4.8
1983/1/2,8.0,10.0,6.8
1983/1/3,8.2,10.7,6.2
1983/1/4,7.5,9.4,5.2
1983/1/5,9.8,11.2,7.7
1983/1/6,11.1,14.1,9.2
1983/1/7,11.4,14.3,8.7
1983/1/8,7.3,11.8,3.7
1983/1/9,3.8,5.0,3.2
1983/1/10,3.1,4.6,1.9
1983/1/11,5.7,7.9,4.2
1983/1/12,6.1,8.2,3.5
1983/1/13,6.4,7.7,5.1
1983/1/14,6.3,9.0,4.7
1983/1/15,7.1,9.6,5.1
1983/1/16,7.8,10.9,4.8
1983/1/17,6.8,8.0,5.7
1983/1/18,8.4,9.9,6.5
1983/1/19,5.6,8.5,2.3
1983/1/20,1.9,3.4,0.1
1983/1/21,2.4,3.8,0.3
1983/1/22,1.9,2.9,0.4
1983/1/23,4.8,7.7,1.8
1983/1/24,6.8,9.6,3.9
1983/1/25,6.9,11.5,2.9
1983/1/26,8.4,12.0,5.7
1983/1/27,8.2,11.8,4.7
1983/1/28,9.9,12.8,7.5
1983/1/29,11.3,15.4,7.4
1983/1/30,8.9,15.8,5.7
1983/1/31,6.3,8.9,4.2
1983/2/1,7.8,9.2,5.2
1983/2/2,10.2,11.9,8.4
1983/2/3,7.6,10.5,5.3
1983/2/4,6.3,9.9,3.0
1983/2/5,8.2,9.6,6.8
1983/2/6,10.1,13.3,5.9
1983/2/7,7.5,10.2,6.8
1983/2/8,6.4,9.1,4.2
1983/2/9,6.6,10.0,4.6
1983/2/10,3.4,5.3,2.4
1983/2/11,4.9,8.8,1.6
1983/2/12,3.3,6.7,2.2
1983/2/13,0.9,3.1,-0.1
1983/2/14,3.3,5.9,-0.6
1983/2/15,8.0,10.9,4.5
1983/2/16,6.4,9.2,2.3
1983/2/17,7.4,9.4,6.1
1983/2/18,2.5,9.0,-0.2
1983/2/19,3.1,4.8,1.1
1983/2/20,2.6,4.3,-0.6
1983/2/21,3.1,5.7,1.0
1983/2/22,4.4,8.7,-0.4
1983/2/23,4.8,7.7,3.0
1983/2/24,7.3,10.3,5.2
1983/2/25,8.0,10.5,5.0
1983/2/26,7.2,10.8,4.7
1983/2/27,6.9,10.8,3.2
1983/2/28,7.3,12.6,3.2
1983/3/1,8.4,11.0,5.8
1983/3/2,13.4,18.6,10.4
1983/3/3,9.7,11.0,8.9
1983/3/4,8.4,11.4,6.4
1983/3/5,6.1,8.7,2.9
1983/3/6,7.5,10.4,4.6
1983/3/7,7.1,10.1,2.3
1983/3/8,4.6,7.4,2.5
1983/3/9,6.4,9.6,3.2
1983/3/10,8.0,11.6,5.9
1983/3/11,9.5,13.7,5.3
1983/3/12,9.5,11.3,7.8
1983/3/13,8.9,11.7,5.1
1983/3/14,6.2,9.1,3.2
1983/3/15,7.5,11.0,3.9
1983/3/16,8.3,9.1,7.3
1983/3/17,7.7,10.3,5.4
1983/3/18,6.6,8.9,5.1
1983/3/19,8.3,12.0,4.1
1983/3/20,11.1,13.5,7.9
1983/3/21,12.7,15.2,11.2
1983/3/22,13.5,17.3,10.2
1983/3/23,13.5,14.9,12.1
1983/3/24,10.7,12.1,9.3
1983/3/25,9.5,12.7,6.5
1983/3/26,8.7,10.2,7.5
1983/3/27,10.6,14.3,6.8
1983/3/28,12.8,17.9,10.0
1983/3/29,11.8,13.9,10.9
1983/3/30,11.5,13.3,10.0
1983/3/31,10.4,11.2,9.8
1983/4/1,10.8,11.7,9.6
1983/4/2,12.6,17.9,9.9
1983/4/3,11.2,16.6,8.6
1983/4/4,12.2,14.6,9.1
1983/4/5,12.7,20.2,6.3
1983/4/6,14.2,19.5,9.0
1983/4/7,13.8,16.2,12.6
1983/4/8,16.1,21.9,12.1
1983/4/9,15.4,17.7,12.8
1983/4/10,14.6,17.0,13.4
1983/4/11,14.4,16.4,13.3
1983/4/12,13.9,16.0,12.0
1983/4/13,15.3,18.5,11.4
1983/4/14,16.9,18.3,15.7
1983/4/15,15.1,17.7,12.1
1983/4/16,12.2,13.3,10.9
1983/4/17,14.0,16.8,11.3
1983/4/18,15.4,19.6,11.1
1983/4/19,16.1,18.1,14.9
1983/4/20,14.9,17.3,12.9
1983/4/21,14.5,16.2,11.4
1983/4/22,16.1,18.4,14.0
1983/4/23,16.0,18.9,14.0
1983/4/24,16.9,24.8,11.4
1983/4/25,17.8,23.4,12.2
1983/4/26,20.2,24.6,16.1
1983/4/27,21.9,26.6,17.8
1983/4/28,24.1,29.7,17.5
1983/4/29,17.6,24.6,13.4
1983/4/30,13.9,16.8,11.4
1983/5/1,13.0,14.3,12.0
