ダウンロードした時刻：2019/10/10 15:50:05

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,5.1,10.8,-0.3
1985/12/2,8.0,14.9,2.8
1985/12/3,7.1,12.3,2.3
1985/12/4,8.6,13.6,2.9
1985/12/5,11.2,16.7,6.7
1985/12/6,9.9,17.6,4.7
1985/12/7,7.1,8.6,6.3
1985/12/8,7.2,10.6,3.8
1985/12/9,5.1,10.5,0.3
1985/12/10,1.7,6.5,-1.6
1985/12/11,2.4,7.0,-1.4
1985/12/12,2.8,7.5,-1.2
1985/12/13,2.2,7.2,-2.1
1985/12/14,4.4,13.0,-0.9
1985/12/15,3.1,7.8,-0.6
1985/12/16,0.5,6.3,-3.8
1985/12/17,1.1,6.9,-3.2
1985/12/18,1.9,7.1,-1.9
1985/12/19,3.6,11.6,-2.9
1985/12/20,3.0,7.2,-0.2
1985/12/21,2.2,6.7,-1.5
1985/12/22,2.5,6.6,-1.8
1985/12/23,5.8,11.0,0.2
1985/12/24,2.7,5.7,0.0
1985/12/25,2.4,6.8,-2.3
1985/12/26,5.5,10.0,1.8
1985/12/27,4.1,10.4,0.4
1985/12/28,4.1,9.7,-0.7
1985/12/29,3.8,9.3,-1.5
1985/12/30,7.3,12.8,-0.1
1985/12/31,8.8,13.2,3.4
1986/1/1,5.4,10.4,1.1
1986/1/2,3.3,9.2,-1.1
1986/1/3,1.1,6.4,-2.8
1986/1/4,2.5,5.1,-1.3
1986/1/5,2.3,6.3,-2.0
1986/1/6,-0.1,5.2,-5.3
1986/1/7,1.0,7.0,-3.1
1986/1/8,2.9,8.6,-1.4
1986/1/9,2.8,7.1,-2.1
1986/1/10,-0.5,5.8,-5.1
1986/1/11,-0.1,5.8,-5.1
1986/1/12,0.4,7.4,-5.2
1986/1/13,0.4,5.0,-4.4
1986/1/14,2.0,5.9,-1.3
1986/1/15,3.5,8.8,-0.4
1986/1/16,1.6,4.9,-2.4
1986/1/17,4.7,11.6,-1.2
1986/1/18,3.6,8.9,-0.4
1986/1/19,1.7,7.0,-2.4
1986/1/20,2.7,8.3,-4.1
1986/1/21,3.4,7.6,1.0
1986/1/22,0.5,5.4,-3.5
1986/1/23,0.8,6.9,-4.9
1986/1/24,0.3,5.8,-3.1
1986/1/25,0.2,6.4,-5.3
1986/1/26,-0.5,4.3,-5.1
1986/1/27,-0.5,6.0,-5.4
1986/1/28,0.6,8.1,-5.1
1986/1/29,2.3,8.4,-2.3
1986/1/30,1.4,6.6,-3.4
1986/1/31,4.2,9.3,0.1
1986/2/1,2.3,7.7,-1.1
1986/2/2,1.8,8.4,-3.0
1986/2/3,3.1,12.0,-2.6
1986/2/4,1.4,7.9,-2.5
1986/2/5,-0.2,8.1,-4.8
1986/2/6,0.3,6.3,-4.5
1986/2/7,0.9,6.0,-4.9
1986/2/8,0.3,4.4,-2.9
1986/2/9,0.4,7.7,-5.7
1986/2/10,0.6,5.7,-3.7
1986/2/11,0.2,3.0,-4.4
1986/2/12,2.7,7.8,-1.0
1986/2/13,3.8,10.1,-2.6
1986/2/14,8.1,14.2,0.8
1986/2/15,4.2,7.6,1.0
1986/2/16,-0.3,3.3,-3.1
1986/2/17,0.5,6.0,-6.0
1986/2/18,-1.2,2.2,-3.2
1986/2/19,1.3,6.6,-1.6
1986/2/20,2.4,7.7,-3.5
1986/2/21,1.2,5.5,-2.7
1986/2/22,1.6,6.4,-4.5
1986/2/23,3.9,9.9,-1.5
1986/2/24,1.9,7.1,-1.7
1986/2/25,0.0,5.5,-4.0
1986/2/26,2.0,7.3,-4.6
1986/2/27,2.8,8.4,-2.5
1986/2/28,2.3,7.7,-1.1
1986/3/1,3.3,8.7,-0.6
1986/3/2,3.1,8.9,-2.0
1986/3/3,2.2,10.0,-2.4
1986/3/4,2.7,8.7,-3.8
1986/3/5,3.2,7.4,1.4
1986/3/6,4.4,11.5,-0.5
1986/3/7,6.4,12.6,0.7
1986/3/8,8.3,15.2,1.7
1986/3/9,9.1,16.2,1.8
1986/3/10,10.4,14.2,6.0
1986/3/11,6.6,10.0,2.8
1986/3/12,5.9,11.3,1.2
1986/3/13,8.2,15.3,0.3
1986/3/14,3.6,7.2,0.3
1986/3/15,4.8,7.8,0.4
1986/3/16,8.2,16.4,3.3
1986/3/17,5.1,10.5,1.5
1986/3/18,6.0,11.2,-0.3
1986/3/19,6.1,8.7,2.7
1986/3/20,7.6,11.3,4.2
1986/3/21,5.9,10.7,2.1
1986/3/22,4.4,9.6,1.0
1986/3/23,1.6,4.4,0.4
1986/3/24,4.8,7.0,2.2
1986/3/25,4.5,9.1,1.8
1986/3/26,5.8,12.0,-0.9
1986/3/27,10.3,17.3,2.0
1986/3/28,6.5,10.5,1.2
1986/3/29,6.5,10.8,2.1
1986/3/30,6.3,8.5,2.1
1986/3/31,9.0,14.8,4.8
