ダウンロードした時刻：2019/10/10 16:25:30

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,15.5,19.6,11.3
2016/12/2,12.9,18.3,8.8
2016/12/3,14.0,20.1,8.6
2016/12/4,16.7,20.7,14.8
2016/12/5,15.3,20.4,11.5
2016/12/6,13.4,17.1,8.6
2016/12/7,10.7,16.9,5.6
2016/12/8,11.7,16.9,6.5
2016/12/9,13.3,20.7,8.4
2016/12/10,11.4,17.7,6.6
2016/12/11,11.3,17.0,5.8
2016/12/12,14.1,18.8,7.6
2016/12/13,15.8,18.1,13.7
2016/12/14,12.4,15.3,10.6
2016/12/15,9.7,13.3,6.8
2016/12/16,6.9,11.1,3.1
2016/12/17,8.2,15.1,2.5
2016/12/18,10.3,17.7,3.5
2016/12/19,14.1,19.7,8.6
2016/12/20,16.4,20.6,13.1
2016/12/21,18.9,22.3,15.3
2016/12/22,17.6,20.8,13.8
2016/12/23,12.3,14.8,9.7
2016/12/24,10.1,13.9,6.1
2016/12/25,13.4,18.7,8.0
2016/12/26,17.4,20.2,14.6
2016/12/27,12.8,20.3,8.1
2016/12/28,9.1,13.9,4.9
2016/12/29,8.8,13.1,4.5
2016/12/30,7.3,13.1,2.9
2016/12/31,8.7,15.9,2.6
2017/1/1,9.5,15.7,4.2
2017/1/2,12.4,19.1,6.8
2017/1/3,12.2,18.3,7.7
2017/1/4,11.1,19.1,4.8
2017/1/5,12.0,15.0,8.6
2017/1/6,10.3,12.3,8.1
2017/1/7,12.7,16.3,8.0
2017/1/8,15.5,20.4,12.2
2017/1/9,11.7,16.1,7.3
2017/1/10,8.8,12.8,5.8
2017/1/11,7.9,12.9,4.8
2017/1/12,8.1,11.8,5.4
2017/1/13,8.7,12.2,7.1
2017/1/14,7.1,10.9,4.3
2017/1/15,4.7,8.8,1.7
2017/1/16,5.4,11.6,0.0
2017/1/17,7.5,13.1,1.7
2017/1/18,9.8,11.5,7.5
2017/1/19,11.4,15.3,8.4
2017/1/20,8.3,11.6,4.5
2017/1/21,6.1,11.6,1.2
2017/1/22,6.5,12.0,4.1
2017/1/23,3.7,7.4,1.3
2017/1/24,3.8,8.8,-0.2
2017/1/25,4.6,11.4,-0.3
2017/1/26,6.4,13.8,0.3
2017/1/27,8.5,15.4,2.7
2017/1/28,10.5,16.0,4.9
2017/1/29,13.4,19.9,9.2
2017/1/30,12.4,20.1,4.8
2017/1/31,8.4,13.8,3.0
2017/2/1,8.8,13.3,5.3
2017/2/2,7.6,14.3,2.2
2017/2/3,9.1,17.0,1.4
2017/2/4,10.8,14.8,7.2
2017/2/5,12.5,16.2,10.0
2017/2/6,9.6,14.3,5.6
2017/2/7,8.7,14.8,4.0
2017/2/8,9.7,16.6,3.6
2017/2/9,6.4,9.6,3.2
2017/2/10,2.1,5.6,0.7
2017/2/11,4.1,8.4,0.6
2017/2/12,5.9,10.9,3.0
2017/2/13,6.8,13.8,1.1
2017/2/14,8.0,16.2,2.7
2017/2/15,8.2,14.8,2.5
2017/2/16,10.6,17.6,2.3
2017/2/17,15.5,22.4,11.4
2017/2/18,10.7,14.8,6.6
2017/2/19,8.9,14.8,2.8
2017/2/20,13.8,21.5,8.3
2017/2/21,10.1,15.4,6.4
2017/2/22,13.9,19.5,8.4
2017/2/23,11.4,17.2,8.1
2017/2/24,8.4,13.8,5.4
2017/2/25,7.8,14.7,2.0
2017/2/26,8.9,13.0,6.1
2017/2/27,9.4,15.8,3.7
2017/2/28,10.7,16.8,4.8
2017/3/1,9.8,12.4,7.3
2017/3/2,9.8,13.9,7.2
2017/3/3,9.4,16.2,3.5
2017/3/4,11.3,19.3,5.6
2017/3/5,10.7,12.4,8.3
2017/3/6,11.2,15.6,6.9
2017/3/7,8.5,13.8,4.3
2017/3/8,7.9,12.2,5.1
2017/3/9,8.9,14.6,4.7
2017/3/10,10.9,16.6,5.1
2017/3/11,11.4,18.3,4.7
2017/3/12,13.3,18.7,7.0
2017/3/13,12.5,14.6,11.6
2017/3/14,12.8,18.4,9.1
2017/3/15,10.5,15.8,6.9
2017/3/16,10.3,14.4,6.1
2017/3/17,12.5,20.1,6.5
2017/3/18,12.5,16.6,8.3
2017/3/19,15.4,19.5,12.6
2017/3/20,14.4,15.6,13.4
2017/3/21,14.1,18.2,10.4
2017/3/22,12.4,17.2,7.4
2017/3/23,10.7,12.8,9.5
2017/3/24,12.5,17.3,8.1
2017/3/25,10.4,12.5,8.5
2017/3/26,11.8,19.2,8.1
2017/3/27,10.8,16.2,8.2
2017/3/28,11.6,18.1,6.0
2017/3/29,12.1,15.6,8.9
2017/3/30,15.5,21.5,11.9
2017/3/31,12.7,14.1,11.4
