ダウンロードした時刻：2019/10/10 15:35:26

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,-1.2,1.2,-4.6
1981/12/2,0.4,3.3,-2.6
1981/12/3,-0.8,0.9,-4.0
1981/12/4,0.8,3.5,-4.5
1981/12/5,2.1,7.2,-1.2
1981/12/6,1.2,5.2,-2.2
1981/12/7,-0.2,3.7,-4.6
1981/12/8,0.2,3.0,-1.9
1981/12/9,0.5,2.6,-2.0
1981/12/10,1.5,3.8,-0.8
1981/12/11,2.2,7.1,-3.6
1981/12/12,4.8,8.6,0.6
1981/12/13,-1.3,2.3,-3.8
1981/12/14,-2.9,-0.7,-4.7
1981/12/15,-0.1,3.5,-3.1
1981/12/16,1.2,6.2,-2.5
1981/12/17,2.5,5.5,0.0
1981/12/18,3.1,5.0,2.0
1981/12/19,4.2,7.1,2.1
1981/12/20,2.8,6.3,0.5
1981/12/21,4.1,7.5,1.2
1981/12/22,5.9,10.4,-0.4
1981/12/23,6.0,10.9,3.2
1981/12/24,-2.1,3.2,-4.6
1981/12/25,-0.4,2.2,-3.6
1981/12/26,4.4,9.2,-0.3
1981/12/27,5.7,10.4,1.5
1981/12/28,4.6,8.5,-0.5
1981/12/29,4.4,8.7,0.0
1981/12/30,2.0,5.9,-1.9
1981/12/31,-0.6,2.4,-3.4
1982/1/1,0.4,6.1,-5.1
1982/1/2,-1.4,1.7,-3.6
1982/1/3,-0.3,3.0,-3.4
1982/1/4,3.4,6.9,-1.9
1982/1/5,3.0,7.6,-0.2
1982/1/6,-0.4,1.3,-1.6
1982/1/7,-2.9,-0.3,-5.4
1982/1/8,-1.4,1.7,-6.0
1982/1/9,2.2,6.0,0.1
1982/1/10,0.0,2.3,-1.7
1982/1/11,1.6,5.1,-1.7
1982/1/12,3.6,12.0,-1.8
1982/1/13,-3.5,-0.5,-5.2
1982/1/14,-4.8,-1.9,-7.4
1982/1/15,-4.9,-1.6,-7.6
1982/1/16,-5.6,-1.1,-9.4
1982/1/17,-4.1,0.4,-8.7
1982/1/18,-1.2,2.7,-5.4
1982/1/19,-2.0,0.9,-5.6
1982/1/20,-3.1,-0.8,-5.9
1982/1/21,2.2,6.0,-1.0
1982/1/22,0.3,3.9,-2.5
1982/1/23,-2.5,2.1,-4.7
1982/1/24,0.2,3.7,-4.0
1982/1/25,-1.8,0.3,-3.6
1982/1/26,-3.3,0.1,-6.2
1982/1/27,-1.2,3.0,-8.2
1982/1/28,0.1,4.3,-3.4
1982/1/29,-1.9,1.4,-5.7
1982/1/30,-3.8,-1.3,-5.7
1982/1/31,-1.7,2.6,-6.6
1982/2/1,-4.0,-1.3,-7.7
1982/2/2,-3.6,-0.4,-7.9
1982/2/3,0.1,4.4,-3.4
1982/2/4,-4.3,-0.7,-6.5
1982/2/5,-5.5,-2.1,-7.5
1982/2/6,-4.1,0.0,-9.0
1982/2/7,-5.6,-2.7,-8.0
1982/2/8,-6.4,-2.3,-9.4
1982/2/9,-5.6,-1.8,-8.7
1982/2/10,-3.8,0.3,-8.7
1982/2/11,-1.6,2.4,-6.3
1982/2/12,-0.6,3.8,-3.8
1982/2/13,-0.6,2.1,-2.6
1982/2/14,-2.0,0.7,-4.4
1982/2/15,-1.9,2.3,-5.2
1982/2/16,-0.9,4.3,-6.3
1982/2/17,-1.2,3.9,-5.9
1982/2/18,0.0,4.1,-3.3
1982/2/19,1.0,4.4,-2.9
1982/2/20,2.7,5.4,0.5
1982/2/21,3.0,6.1,0.7
1982/2/22,0.4,2.3,-0.8
1982/2/23,-0.8,2.1,-2.1
1982/2/24,-1.2,3.8,-4.5
1982/2/25,-3.8,-0.7,-6.1
1982/2/26,-4.6,-2.3,-6.0
1982/2/27,1.8,5.7,-4.9
1982/2/28,4.1,9.2,0.6
1982/3/1,2.0,6.2,-0.8
1982/3/2,0.7,4.5,-2.6
1982/3/3,1.3,4.8,-1.4
1982/3/4,5.1,9.1,1.0
1982/3/5,5.6,7.2,3.9
1982/3/6,0.9,5.8,-2.3
1982/3/7,-2.2,1.3,-3.9
1982/3/8,-0.4,4.1,-3.8
1982/3/9,1.0,6.6,-3.0
1982/3/10,4.4,9.8,-2.0
1982/3/11,3.8,9.7,-2.2
1982/3/12,1.8,8.1,-5.2
1982/3/13,2.8,8.4,-1.4
1982/3/14,0.2,4.9,-4.9
1982/3/15,6.0,9.5,-2.1
1982/3/16,7.8,12.1,2.3
1982/3/17,2.7,7.4,1.1
1982/3/18,0.1,1.5,-1.3
1982/3/19,2.4,7.0,-1.2
1982/3/20,2.5,6.4,-2.3
1982/3/21,1.3,3.0,0.2
1982/3/22,1.0,2.8,-0.1
1982/3/23,2.0,4.7,-2.0
1982/3/24,2.1,6.1,-1.4
1982/3/25,1.3,4.8,-1.6
1982/3/26,0.2,4.6,-2.1
1982/3/27,-0.1,5.2,-3.5
1982/3/28,2.5,7.7,-2.8
1982/3/29,5.1,11.7,-1.2
1982/3/30,10.8,17.9,2.1
1982/3/31,7.7,11.5,4.0
